tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-704419.889503,0.093923,191700000.0,-7500000.0,-7500000.0,65600000.0,89000000.0,268500000.0,184200000.0,95200000.0,-22800000.0,22800000.0,72395580.110497,65600000.0,744600000.0,103500000.0,49600000.0,49300000.0,1.32,1.330629,65600000.0,65600000.0,65600000.0,65600000.0,65600000.0,6800000.0,72400000.0,-8300000.0,-800000.0,-7500000.0,-22800000.0,22800000.0,103500000.0,433100000.0,46000000.0,46000000.0,46000000.0,46000000.0,29100000.0,358000000.0,,,,536600000.0,311500000.0,848100000.0,848100000.0,2022-10-31
307000.0,0.307,236900000.0,1000000.0,1000000.0,84600000.0,89700000.0,256800000.0,237900000.0,148200000.0,-26100000.0,26100000.0,83907000.0,84600000.0,709000000.0,149500000.0,49700000.0,49400000.0,1.7,1.71,84600000.0,84600000.0,84600000.0,84600000.0,84600000.0,37500000.0,122100000.0,-1300000.0,-2300000.0,1000000.0,-26100000.0,26100000.0,149500000.0,409000000.0,46500000.0,46500000.0,46500000.0,46500000.0,31600000.0,330900000.0,,,,558500000.0,300000000.0,858500000.0,858500000.0,2023-01-31
-1100400.0,0.393,185300000.0,-2800000.0,-2800000.0,39800000.0,90800000.0,250200000.0,182500000.0,91700000.0,-26100000.0,26100000.0,41499600.0,39800000.0,781100000.0,96300000.0,49800000.0,49500000.0,0.8,0.8,39800000.0,39800000.0,39800000.0,39800000.0,39800000.0,25800000.0,65600000.0,-4600000.0,-1800000.0,-2800000.0,-26100000.0,26100000.0,96300000.0,486600000.0,46500000.0,46500000.0,46500000.0,46500000.0,32600000.0,407500000.0,407500000.0,394100000.0,13400000.0,582900000.0,294500000.0,877400000.0,877400000.0,2023-04-30
-1212600.0,0.282,244400000.0,-4300000.0,-4300000.0,85300000.0,94500000.0,272400000.0,240100000.0,145600000.0,-26800000.0,26800000.0,88387400.0,85300000.0,778600000.0,151600000.0,49900000.0,49500000.0,1.71,1.72,85300000.0,85300000.0,85300000.0,85300000.0,85300000.0,33500000.0,118800000.0,-6000000.0,-1700000.0,-4300000.0,-26800000.0,26800000.0,151600000.0,458400000.0,46700000.0,46700000.0,46700000.0,46700000.0,36500000.0,375200000.0,375200000.0,361500000.0,13700000.0,610000000.0,320200000.0,930200000.0,930200000.0,2023-07-31
-185244.360902,0.205827,226300000.0,-900000.0,-900000.0,84500000.0,92700000.0,274400000.0,225400000.0,132700000.0,-26300000.0,26300000.0,85214755.639098,84500000.0,791400000.0,135700000.0,49900000.0,49524149.0,1.7,1.706238,84500000.0,84500000.0,84500000.0,84500000.0,84500000.0,21900000.0,106400000.0,-3000000.0,-2100000.0,-900000.0,-26300000.0,26300000.0,135700000.0,470800000.0,46500000.0,46500000.0,46500000.0,46500000.0,36700000.0,387600000.0,,,,606500000.0,320600000.0,927100000.0,927100000.0,2023-10-31
-388000.0,0.323333,247900000.0,-1200000.0,-1200000.0,81200000.0,96800000.0,261300000.0,246700000.0,149900000.0,-29900000.0,29900000.0,82012000.0,81200000.0,778500000.0,153100000.0,199900000.0,198700000.0,0.408656,0.408656,81200000.0,81200000.0,81200000.0,81200000.0,81200000.0,38800000.0,120000000.0,-3200000.0,-2000000.0,-1200000.0,-29900000.0,29900000.0,153100000.0,470700000.0,50300000.0,50300000.0,50300000.0,50300000.0,39500000.0,380900000.0,,,,623800000.0,307800000.0,931600000.0,931600000.0,2024-01-31
