preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,preferred_securities_outside_stock_equity,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,line_of_credit,payables_and_accrued_expenses,payables,other_payable,dueto_related_parties_current,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,financial_assets,investments_and_advances,other_investments,investmentin_financial_assets,held_to_maturity_securities,available_for_sale_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,current_assets,restricted_cash,prepaid_assets,receivables,duefrom_related_parties_current,taxes_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,treasury_shares_number,long_term_provisions,other_receivables
23000000.0,570276188.0,570276188.0,1553794000.0,6522000000.0,-3925000000.0,6919000000.0,-54854000000.0,-3925000000.0,664366000.0,397000000.0,554213000.0,6884000000.0,6197000000.0,5800000000.0,397000000.0,-12326000000.0,-12326000000.0,-2259000000.0,14982000000.0,0.0,0.0,0.0,253136000000.0,68768000000.0,5921000000.0,1032000000.0,55328000000.0,55328000000.0,6487000000.0,664366000.0,6487000000.0,184368000000.0,173653000000.0,173653000000.0,35000000.0,35000000.0,35000000.0,10680000000.0,10680000000.0,6707000000.0,998000000.0,2975000000.0,259333000000.0,129819000000.0,17744000000.0,5576000000.0,633660000.0,3309000000.0,98868000000.0,95414000000.0,2475000000.0,709000000.0,1766000000.0,979000000.0,4322000000.0,179215000.0,4322000000.0,877143000.0,-160654000.0,1037797000.0,1037797000.0,129514000000.0,1676000000.0,62098000.0,465000000.0,465000000.0,92610000.0,127373000000.0,117921000000.0,9452000000.0,2022-12-31,,,
,567394604.0,567394604.0,,6507000000.0,3749000000.0,14581000000.0,-54164000000.0,3749000000.0,,8074000000.0,,14547000000.0,16692000000.0,8618000000.0,8074000000.0,-6162000000.0,-6162000000.0,-172000000.0,14408000000.0,0.0,0.0,,253632000000.0,58133000000.0,8128000000.0,1042000000.0,42490000000.0,42490000000.0,6473000000.0,,6473000000.0,195499000000.0,181100000000.0,181100000000.0,34000000.0,34000000.0,34000000.0,14365000000.0,14365000000.0,10196000000.0,980000000.0,3189000000.0,270324000000.0,128989000000.0,15964000000.0,4836000000.0,,3956000000.0,99908000000.0,96851000000.0,2038000000.0,419000000.0,1619000000.0,1019000000.0,4325000000.0,,4325000000.0,,,,,141335000000.0,2209000000.0,,464000000.0,464000000.0,,138662000000.0,122786000000.0,15876000000.0,2023-03-31,,,
23000000.0,566809153.0,566809153.0,2448676000.0,6722000000.0,3900000000.0,14951000000.0,-49521000000.0,3900000000.0,701172000.0,8229000000.0,554213000.0,14918000000.0,17042000000.0,8813000000.0,8229000000.0,-6392000000.0,-6392000000.0,153000000.0,14468000000.0,0.0,0.0,554213000.0,264942000000.0,66527000000.0,9269000000.0,285000000.0,50284000000.0,50284000000.0,6689000000.0,701172000.0,6689000000.0,198415000000.0,184359000000.0,184359000000.0,33000000.0,33000000.0,33000000.0,14023000000.0,14023000000.0,9845000000.0,892000000.0,3286000000.0,281984000000.0,133090000000.0,16178000000.0,5166000000.0,594851000.0,5114000000.0,102303000000.0,99403000000.0,1857000000.0,248000000.0,1609000000.0,1043000000.0,4329000000.0,168435000.0,4329000000.0,954735000.0,-184258000.0,1138993000.0,1138993000.0,148894000000.0,2473000000.0,79061000.0,503000000.0,503000000.0,50801000.0,145918000000.0,133607000000.0,12311000000.0,2023-06-30,,,
,567565120.0,567565120.0,,7037000000.0,2721000000.0,14082000000.0,-50576000000.0,4118000000.0,,7045000000.0,1397000000.0,15448000000.0,17675000000.0,9233000000.0,8442000000.0,-8095000000.0,-8095000000.0,535000000.0,14605000000.0,1397000000.0,0.0,1397000000.0,265560000000.0,64277000000.0,10312000000.0,287000000.0,46672000000.0,46672000000.0,7006000000.0,,7006000000.0,201283000000.0,189065000000.0,189065000000.0,31000000.0,31000000.0,31000000.0,12187000000.0,12187000000.0,7652000000.0,878000000.0,3657000000.0,283235000000.0,132528000000.0,16785000000.0,5448000000.0,,4571000000.0,101400000000.0,98705000000.0,1620000000.0,0.0,1620000000.0,1075000000.0,4324000000.0,,4324000000.0,,,,,150707000000.0,1492000000.0,,508000000.0,508000000.0,,148707000000.0,135772000000.0,12935000000.0,2023-09-30,,,
,567762932.0,567762932.0,,8092000000.0,8317000000.0,20738000000.0,-39836000000.0,9715000000.0,,12646000000.0,1398000000.0,22105000000.0,25245000000.0,11201000000.0,14044000000.0,-5575000000.0,-5575000000.0,2972000000.0,15249000000.0,1398000000.0,0.0,1398000000.0,288243000000.0,71798000000.0,10450000000.0,,,,8061000000.0,,8061000000.0,216445000000.0,204670000000.0,204670000000.0,31000000.0,31000000.0,31000000.0,11744000000.0,11744000000.0,7536000000.0,870000000.0,3338000000.0,313488000000.0,136879000000.0,14571000000.0,5979000000.0,,5298000000.0,106702000000.0,104019000000.0,1611000000.0,0.0,1611000000.0,1072000000.0,4329000000.0,,4329000000.0,,,,,176609000000.0,1763000000.0,,4603000000.0,449000000.0,,170243000000.0,154315000000.0,15928000000.0,2023-12-31,0.0,53287000000.0,4154000000.0
