ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,preferred_securities_outside_stock_equity,derivative_product_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,commercial_paper,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,financial_assets,investments_and_advances,other_investments,investmentin_financial_assets,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,current_assets,other_current_assets,hedging_assets_current,inventory,receivables,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
1987000000.0,1987000000.0,63365000000.0,64966000000.0,33616000000.0,104195000000.0,-13205000000.0,33616000000.0,39229000000.0,94485000000.0,48326000000.0,9097000000.0,39229000000.0,-218000000.0,-218000000.0,26707000000.0,12720000000.0,20000000.0,20000000.0,110609000000.0,83914000000.0,2696000000.0,1110000000.0,2909000000.0,9072000000.0,9072000000.0,55256000000.0,55256000000.0,3245000000.0,26695000000.0,5634000000.0,560000000.0,560000000.0,9710000000.0,9710000000.0,8001000000.0,1709000000.0,10791000000.0,2479000000.0,719000000.0,8312000000.0,8312000000.0,158935000000.0,145445000000.0,4936000000.0,1832000000.0,1935000000.0,14078000000.0,7496000000.0,7496000000.0,6582000000.0,5613000000.0,759000000.0,4854000000.0,111059000000.0,-31263000000.0,142322000000.0,15675000000.0,13490000000.0,3272000000.0,1590000000.0,1934000000.0,5093000000.0,744000000.0,4349000000.0,-54000000.0,4403000000.0,1601000000.0,1601000000.0,2022-12-31
2023421945.0,2023421945.0,68366000000.0,70641000000.0,37712000000.0,113537000000.0,-11828000000.0,37712000000.0,42896000000.0,101903000000.0,52979000000.0,10083000000.0,42896000000.0,-200000000.0,-200000000.0,27862000000.0,15214000000.0,20000000.0,20000000.0,112378000000.0,87001000000.0,2978000000.0,,2488000000.0,9468000000.0,9468000000.0,59007000000.0,59007000000.0,3285000000.0,25377000000.0,4254000000.0,583000000.0,583000000.0,11634000000.0,11634000000.0,8791000000.0,2843000000.0,8906000000.0,2407000000.0,951000000.0,6499000000.0,6499000000.0,165357000000.0,151808000000.0,6980000000.0,1881000000.0,1910000000.0,14866000000.0,7862000000.0,,7004000000.0,5184000000.0,,5184000000.0,114929000000.0,-31994000000.0,146923000000.0,16264000000.0,13549000000.0,3745000000.0,1682000000.0,1915000000.0,3932000000.0,657000000.0,3275000000.0,-33000000.0,3308000000.0,2275000000.0,2275000000.0,2023-03-31
2023713997.0,2023713997.0,70596000000.0,72173000000.0,39609000000.0,116966000000.0,-11749000000.0,39609000000.0,44793000000.0,105775000000.0,54376000000.0,9583000000.0,44793000000.0,-200000000.0,-200000000.0,29711000000.0,15262000000.0,20000000.0,20000000.0,113899000000.0,89028000000.0,2971000000.0,,2022000000.0,9801000000.0,9801000000.0,60982000000.0,60982000000.0,3337000000.0,24871000000.0,3584000000.0,596000000.0,596000000.0,11191000000.0,11191000000.0,8905000000.0,2286000000.0,9500000000.0,3275000000.0,1364000000.0,6225000000.0,6225000000.0,168275000000.0,155153000000.0,7244000000.0,1929000000.0,1959000000.0,15287000000.0,8218000000.0,,7069000000.0,5184000000.0,,5184000000.0,117740000000.0,-32138000000.0,149878000000.0,17407000000.0,13122000000.0,3260000000.0,1760000000.0,1931000000.0,4594000000.0,1017000000.0,3577000000.0,-36000000.0,3613000000.0,1577000000.0,1577000000.0,2023-06-30
2051707741.0,2051707741.0,71754000000.0,73322000000.0,42052000000.0,120417000000.0,-14252000000.0,42052000000.0,47095000000.0,106278000000.0,56568000000.0,9473000000.0,47095000000.0,-227000000.0,-227000000.0,29984000000.0,17317000000.0,21000000.0,21000000.0,115106000000.0,86610000000.0,2817000000.0,,1876000000.0,9747000000.0,9747000000.0,59183000000.0,59183000000.0,3371000000.0,28496000000.0,3447000000.0,615000000.0,615000000.0,14139000000.0,14139000000.0,10154000000.0,3985000000.0,10295000000.0,3633000000.0,1662000000.0,6662000000.0,6662000000.0,171674000000.0,157430000000.0,8258000000.0,1974000000.0,2078000000.0,14012000000.0,8021000000.0,,5991000000.0,5043000000.0,,5043000000.0,120883000000.0,-32697000000.0,153580000000.0,18899000000.0,14244000000.0,3982000000.0,1659000000.0,2074000000.0,4961000000.0,927000000.0,4034000000.0,-49000000.0,4083000000.0,1568000000.0,1568000000.0,2023-09-30
2052000000.0,2052000000.0,70521000000.0,73211000000.0,40685000000.0,120679000000.0,-12602000000.0,40685000000.0,47468000000.0,108873000000.0,57768000000.0,10300000000.0,47468000000.0,-153000000.0,-153000000.0,30235000000.0,17365000000.0,21000000.0,21000000.0,119721000000.0,91758000000.0,2762000000.0,1256000000.0,2741000000.0,10142000000.0,10142000000.0,61405000000.0,61405000000.0,3403000000.0,27963000000.0,4184000000.0,638000000.0,638000000.0,11806000000.0,11806000000.0,7156000000.0,4650000000.0,11335000000.0,2831000000.0,970000000.0,8504000000.0,8504000000.0,177489000000.0,162128000000.0,6012000000.0,2112000000.0,1790000000.0,14854000000.0,8698000000.0,,6156000000.0,6783000000.0,1692000000.0,5091000000.0,125776000000.0,-33489000000.0,159265000000.0,18652000000.0,15361000000.0,2795000000.0,1730000000.0,2106000000.0,6040000000.0,944000000.0,3609000000.0,-52000000.0,3661000000.0,2690000000.0,2690000000.0,2023-12-31
2054532552.0,2054532552.0,78295000000.0,79937000000.0,43556000000.0,128578000000.0,-12123000000.0,43556000000.0,48641000000.0,114509000000.0,59389000000.0,10748000000.0,48641000000.0,-167000000.0,-167000000.0,31445000000.0,17342000000.0,21000000.0,21000000.0,120561000000.0,95758000000.0,3087000000.0,,2409000000.0,10641000000.0,10641000000.0,65868000000.0,65868000000.0,3463000000.0,24803000000.0,3164000000.0,663000000.0,663000000.0,14069000000.0,14069000000.0,9727000000.0,4342000000.0,6907000000.0,2622000000.0,1160000000.0,4285000000.0,4285000000.0,179950000000.0,167270000000.0,8124000000.0,2135000000.0,1666000000.0,15706000000.0,9173000000.0,,6533000000.0,5085000000.0,,5085000000.0,129193000000.0,-34110000000.0,163303000000.0,16682000000.0,12680000000.0,2251000000.0,1461000000.0,2131000000.0,5195000000.0,1004000000.0,3119000000.0,-63000000.0,3182000000.0,1642000000.0,1642000000.0,2024-03-31
