tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,depreciation_income_statement,selling_general_and_administration,general_and_administrative_expense,rent_and_landing_fees,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-1866588.119904,0.236636,510428000.0,-7888000.0,-7888000.0,199244000.0,184372000.0,121462000.0,502540000.0,318168000.0,-59041000.0,57160000.0,455000.0,205265411.880096,199244000.0,1047095000.0,7792000.0,320403000.0,196077880.0,196077880.0,0.98,0.98,199244000.0,199244000.0,0.0,7059000.0,199244000.0,199244000.0,199244000.0,61764000.0,261008000.0,-8192000.0,-304000.0,-7029000.0,,50000.0,6979000.0,-859000.0,-59041000.0,2336000.0,57160000.0,455000.0,328241000.0,855127000.0,733469000.0,113866000.0,113866000.0,113866000.0,7792000.0,7792000.0,7792000.0,6979000.0,1183368000.0,191968000.0,1375336000.0,1277778000.0,2022-12-31
-1902315.147453,0.277346,306090000.0,-6859000.0,-6859000.0,37737000.0,189703000.0,127445000.0,299231000.0,109528000.0,-57925000.0,57308000.0,,42693684.852547,37737000.0,1071343000.0,7878000.0,110449000.0,196077880.0,196077880.0,0.016,0.016,4012000.0,4012000.0,,,37737000.0,37737000.0,37737000.0,14483000.0,52220000.0,-7163000.0,-304000.0,-6301000.0,,0.0,6301000.0,-558000.0,-57925000.0,1391000.0,57308000.0,,117308000.0,896010000.0,746317000.0,141815000.0,141815000.0,141815000.0,7878000.0,7878000.0,7878000.0,,1013318000.0,175333000.0,1188651000.0,1110824000.0,2023-03-31
11261243.641034,0.241684,545912000.0,46595000.0,46595000.0,256838000.0,193475000.0,222946000.0,592507000.0,399032000.0,-60598000.0,60337000.0,1150000.0,221504243.641034,256838000.0,1187245000.0,7583000.0,399658000.0,196077880.0,196077880.0,1.27,1.27,249779000.0,249779000.0,7059000.0,,256838000.0,256838000.0,256838000.0,81857000.0,338695000.0,46230000.0,-365000.0,47616000.0,55661000.0,,8045000.0,-1021000.0,-60598000.0,1411000.0,60337000.0,1150000.0,353063000.0,964299000.0,763241000.0,193475000.0,193475000.0,193475000.0,7583000.0,7583000.0,7583000.0,,1317362000.0,222946000.0,1540308000.0,1416261000.0,2023-06-30
9034178.32246,0.236114,584566000.0,38262000.0,38262000.0,273508000.0,200925000.0,221134000.0,622828000.0,421903000.0,-63943000.0,63855000.0,1344000.0,244280178.32246,273508000.0,1265767000.0,8450000.0,422355000.0,196077880.0,196077880.0,1.36,1.36,266449000.0,266449000.0,7059000.0,,273508000.0,273508000.0,273508000.0,84540000.0,358048000.0,37898000.0,-364000.0,39977000.0,46803000.0,,6826000.0,-1715000.0,-63943000.0,1432000.0,63855000.0,1344000.0,384093000.0,1044633000.0,835258000.0,200925000.0,200925000.0,200925000.0,8450000.0,8450000.0,8450000.0,,1428726000.0,221134000.0,1649860000.0,1491940000.0,2023-09-30
6932628.898153,0.235403,377215000.0,29450000.0,29450000.0,99224000.0,209837000.0,181986000.0,406665000.0,196828000.0,-67450000.0,67055000.0,1473000.0,76706628.898153,99224000.0,1171376000.0,9148000.0,197588000.0,196077880.0,196077880.0,0.46,0.46,90401000.0,90401000.0,8823000.0,,99224000.0,99224000.0,99224000.0,30549000.0,129773000.0,29085000.0,-365000.0,32034000.0,36189000.0,,4155000.0,-2584000.0,-67450000.0,1868000.0,67055000.0,1473000.0,168138000.0,989390000.0,770405000.0,209837000.0,209837000.0,209837000.0,9148000.0,9148000.0,9148000.0,,1157528000.0,181986000.0,1339514000.0,1237321000.0,2023-12-31
