tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.183,271000000.0,0.0,0.0,111000000.0,37000000.0,1316000000.0,271000000.0,234000000.0,-16000000.0,16000000.0,111000000.0,111000000.0,1584000000.0,234000000.0,246262224.0,170027629.0,0.65,0.65,160000000.0,49000000.0,111000000.0,111000000.0,-67000000.0,178000000.0,178000000.0,40000000.0,218000000.0,0.0,-16000000.0,16000000.0,234000000.0,266000000.0,35000000.0,35000000.0,231000000.0,500000000.0,1318000000.0,1818000000.0,1818000000.0,2022-10-31
0.0,0.192308,162000000.0,0.0,0.0,54000000.0,38000000.0,999000000.0,162000000.0,124000000.0,-20000000.0,20000000.0,54000000.0,54000000.0,1250000000.0,124000000.0,246275118.0,172483768.0,0.31,0.31,-83000000.0,,54000000.0,54000000.0,-30000000.0,84000000.0,84000000.0,20000000.0,104000000.0,0.0,-20000000.0,20000000.0,124000000.0,249000000.0,36000000.0,36000000.0,213000000.0,373000000.0,1001000000.0,1374000000.0,1374000000.0,2023-01-31
0.0,0.189,218000000.0,,,86000000.0,37000000.0,1133000000.0,218000000.0,181000000.0,-17000000.0,17000000.0,86000000.0,86000000.0,1393000000.0,181000000.0,243716764.0,171597317.0,0.5,0.5,121000000.0,35000000.0,86000000.0,86000000.0,-47000000.0,133000000.0,133000000.0,31000000.0,164000000.0,,-17000000.0,17000000.0,181000000.0,258000000.0,35000000.0,35000000.0,223000000.0,439000000.0,1135000000.0,1574000000.0,1574000000.0,2023-04-30
0.0,0.196,264000000.0,,,110000000.0,38000000.0,1359000000.0,264000000.0,226000000.0,-22000000.0,22000000.0,110000000.0,110000000.0,1635000000.0,226000000.0,228983281.0,167312292.0,0.66,0.66,150000000.0,40000000.0,110000000.0,110000000.0,-54000000.0,164000000.0,164000000.0,40000000.0,204000000.0,,-22000000.0,22000000.0,226000000.0,275000000.0,37000000.0,37000000.0,238000000.0,501000000.0,1360000000.0,1861000000.0,1861000000.0,2023-07-31
0.0,0.198,256000000.0,,,112000000.0,39000000.0,1331000000.0,256000000.0,217000000.0,-20000000.0,20000000.0,112000000.0,112000000.0,1610000000.0,217000000.0,224686413.0,170999291.0,0.65,0.65,146000000.0,34000000.0,112000000.0,112000000.0,-46000000.0,158000000.0,158000000.0,39000000.0,197000000.0,,-20000000.0,20000000.0,217000000.0,277000000.0,37000000.0,37000000.0,240000000.0,494000000.0,1333000000.0,1827000000.0,1827000000.0,2023-10-31
0.0,0.191489,156000000.0,,,63000000.0,40000000.0,1054000000.0,156000000.0,116000000.0,-22000000.0,22000000.0,63000000.0,63000000.0,1324000000.0,116000000.0,,,,,71000000.0,8000000.0,63000000.0,63000000.0,-13000000.0,76000000.0,76000000.0,18000000.0,94000000.0,,-22000000.0,22000000.0,116000000.0,268000000.0,38000000.0,38000000.0,230000000.0,384000000.0,1056000000.0,1440000000.0,1440000000.0,2024-01-31
