preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,retained_earnings,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,derivative_product_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,long_term_provisions,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,total_assets,investments_and_advances,held_to_maturity_securities,available_for_sale_securities,trading_securities,goodwill_and_other_intangible_assets,goodwill,net_ppe,receivables,other_receivables,accounts_receivable,other_short_term_investments,cash_and_cash_equivalents,cash_financial,date
406711800.0,7996777943.0,7996777943.0,65452000000.0,302914000000.0,175778000000.0,547714000000.0,204175000000.0,244800000000.0,28397000000.0,549179000000.0,273197000000.0,273197000000.0,-21156000000.0,207003000000.0,87350000000.0,58953000000.0,28397000000.0,2778178000000.0,44816000000.0,275982000000.0,275982000000.0,1540000000.0,26932000000.0,26932000000.0,26932000000.0,222533000000.0,222533000000.0,3051375000000.0,1043422000000.0,632825000000.0,9206000000.0,180603000000.0,69022000000.0,69022000000.0,11510000000.0,81135000000.0,13592000000.0,67543000000.0,220788000000.0,237462000000.0,30334000000.0,2022-12-31
406711800.0,7972438148.0,7972438148.0,,340437000000.0,182777000000.0,592236000000.0,211174000000.0,251799000000.0,28397000000.0,564069000000.0,280196000000.0,280196000000.0,-18527000000.0,213062000000.0,85661000000.0,57264000000.0,28397000000.0,2914461000000.0,40169000000.0,283873000000.0,283873000000.0,1437000000.0,56564000000.0,56564000000.0,56564000000.0,215184000000.0,215184000000.0,3194657000000.0,970669000000.0,624495000000.0,162410000000.0,173664000000.0,69022000000.0,69022000000.0,11708000000.0,93304000000.0,13402000000.0,79902000000.0,10100000000.0,387855000000.0,29327000000.0,2023-03-31
406711800.0,7953563116.0,7953563116.0,,327090000000.0,185901000000.0,582012000000.0,214298000000.0,254922000000.0,28397000000.0,569392000000.0,283319000000.0,283319000000.0,-20742000000.0,218397000000.0,85664000000.0,57267000000.0,28397000000.0,2839879000000.0,43399000000.0,286073000000.0,286073000000.0,1388000000.0,41017000000.0,41017000000.0,41017000000.0,204348000000.0,204348000000.0,3123198000000.0,914709000000.0,614118000000.0,10035000000.0,158551000000.0,69021000000.0,69021000000.0,11688000000.0,87445000000.0,13445000000.0,74000000000.0,132005000000.0,381494000000.0,29651000000.0,2023-06-30
406711800.0,7923357339.0,7923357339.0,,330555000000.0,189646000000.0,589222000000.0,218043000000.0,258667000000.0,28397000000.0,577423000000.0,287064000000.0,287064000000.0,-21792000000.0,223749000000.0,85107000000.0,56710000000.0,28397000000.0,2866026000000.0,40855000000.0,290359000000.0,290359000000.0,1353000000.0,40196000000.0,40196000000.0,40196000000.0,205139000000.0,205139000000.0,3153090000000.0,930598000000.0,603333000000.0,9930000000.0,151725000000.0,69021000000.0,69021000000.0,11821000000.0,88206000000.0,13859000000.0,74347000000.0,165610000000.0,359721000000.0,25255000000.0,2023-09-30
409797858.0,7895457665.0,7895457665.0,,334302000000.0,194228000000.0,597551000000.0,222625000000.0,263249000000.0,28397000000.0,593850000000.0,291646000000.0,291646000000.0,-17788000000.0,224672000000.0,84762000000.0,56365000000.0,28397000000.0,2888505000000.0,43432000000.0,302204000000.0,302204000000.0,1209000000.0,32098000000.0,32098000000.0,32098000000.0,,,3180151000000.0,1017946000000.0,594555000000.0,10203000000.0,146539000000.0,69021000000.0,69021000000.0,11855000000.0,96697000000.0,14816000000.0,81881000000.0,266649000000.0,341419000000.0,27892000000.0,2023-12-31
