treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,derivative_product_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,other_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,financial_assets,investments_and_advances,long_term_equity_investment,investment_properties,net_ppe,accumulated_depreciation,gross_ppe,land_and_improvements,current_assets,other_current_assets,hedging_assets_current,restricted_cash,inventory,receivables,taxes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,179840797.0,179840797.0,6091000000.0,6379000000.0,15009000000.0,21257000000.0,-324000000.0,15009000000.0,131000000.0,15009000000.0,21247000000.0,15690000000.0,681000000.0,15009000000.0,-7000000.0,-7000000.0,801000000.0,14213000000.0,2000000.0,2000000.0,10519000000.0,8803000000.0,12000000.0,148000000.0,2069000000.0,2069000000.0,6238000000.0,6238000000.0,336000000.0,1716000000.0,68000000.0,141000000.0,131000000.0,10000000.0,10000000.0,35000000.0,1472000000.0,569000000.0,49000000.0,903000000.0,634000000.0,142000000.0,34000000.0,127000000.0,26209000000.0,24817000000.0,319000000.0,64000000.0,64000000.0,23000000.0,566000000.0,566000000.0,86000000.0,23759000000.0,-14844000000.0,38603000000.0,,1392000000.0,23000000.0,132000000.0,7000000.0,67000000.0,1006000000.0,284000000.0,722000000.0,157000000.0,157000000.0,2022-12-31
,181604781.0,181604781.0,6914000000.0,6960000000.0,15464000000.0,22424000000.0,-726000000.0,15464000000.0,,15464000000.0,22414000000.0,16123000000.0,659000000.0,15464000000.0,-7000000.0,-7000000.0,967000000.0,14502000000.0,2000000.0,2000000.0,11466000000.0,9580000000.0,13000000.0,150000000.0,2161000000.0,2161000000.0,6950000000.0,6950000000.0,306000000.0,1886000000.0,52000000.0,10000000.0,,10000000.0,10000000.0,,1824000000.0,816000000.0,,1008000000.0,716000000.0,51000000.0,51000000.0,241000000.0,27589000000.0,26429000000.0,186000000.0,62000000.0,62000000.0,8000000.0,573000000.0,573000000.0,86000000.0,25514000000.0,-15238000000.0,40752000000.0,,1160000000.0,36000000.0,60000000.0,7000000.0,69000000.0,942000000.0,188000000.0,754000000.0,46000000.0,46000000.0,2023-03-31
,179221318.0,179221318.0,6525000000.0,6543000000.0,15554000000.0,22097000000.0,-1205000000.0,15554000000.0,,15554000000.0,22097000000.0,16212000000.0,658000000.0,15554000000.0,-7000000.0,-7000000.0,1372000000.0,14187000000.0,2000000.0,2000000.0,11375000000.0,9252000000.0,15000000.0,175000000.0,2233000000.0,2233000000.0,6543000000.0,6543000000.0,286000000.0,2123000000.0,118000000.0,,,,,,2005000000.0,1012000000.0,,993000000.0,729000000.0,15000000.0,15000000.0,249000000.0,27587000000.0,26669000000.0,791000000.0,60000000.0,60000000.0,1000000.0,587000000.0,587000000.0,85000000.0,25145000000.0,-15558000000.0,40703000000.0,,918000000.0,17000000.0,7000000.0,3000000.0,66000000.0,807000000.0,120000000.0,687000000.0,18000000.0,18000000.0,2023-06-30
0.0,178815302.0,178815302.0,5403000000.0,6230000000.0,16280000000.0,22510000000.0,-225000000.0,16280000000.0,,16280000000.0,22510000000.0,16984000000.0,704000000.0,16280000000.0,-7000000.0,-7000000.0,2136000000.0,14149000000.0,2000000.0,2000000.0,11065000000.0,8924000000.0,12000000.0,199000000.0,2243000000.0,2243000000.0,6230000000.0,6230000000.0,240000000.0,2141000000.0,139000000.0,,,,,,2002000000.0,825000000.0,,1177000000.0,782000000.0,37000000.0,37000000.0,358000000.0,28049000000.0,26133000000.0,103000000.0,60000000.0,60000000.0,1000000.0,519000000.0,519000000.0,85000000.0,25365000000.0,-15988000000.0,41353000000.0,706000000.0,1916000000.0,19000000.0,1000000.0,3000000.0,70000000.0,996000000.0,16000000.0,980000000.0,827000000.0,827000000.0,2023-09-30
,178723871.0,178723871.0,6059000000.0,6801000000.0,16625000000.0,23266000000.0,-487000000.0,16625000000.0,160000000.0,16625000000.0,23266000000.0,17430000000.0,805000000.0,16625000000.0,-8000000.0,-8000000.0,2489000000.0,14142000000.0,2000000.0,2000000.0,11571000000.0,9463000000.0,12000000.0,122000000.0,2449000000.0,2449000000.0,6641000000.0,6641000000.0,239000000.0,2108000000.0,86000000.0,160000000.0,160000000.0,,,38000000.0,1824000000.0,620000000.0,73000000.0,1204000000.0,785000000.0,158000000.0,29000000.0,261000000.0,29001000000.0,27380000000.0,47000000.0,45000000.0,45000000.0,1000000.0,529000000.0,529000000.0,84000000.0,26674000000.0,-16429000000.0,43103000000.0,,1621000000.0,109000000.0,17000000.0,3000000.0,63000000.0,847000000.0,1000000.0,846000000.0,582000000.0,582000000.0,2023-12-31
