free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,capital_expenditure,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,net_issuance_payments_of_debt,net_short_term_debt_issuance,short_term_debt_payments,short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_tax_payable,change_in_income_tax_payable,change_in_prepaid_assets,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,depreciation,operating_gains_losses,earnings_losses_from_equity_investments,gain_loss_on_investment_securities,net_income_from_continuing_operations,date
-39000000.0,-347000000.0,-1932000000.0,2854000000.0,-1480000000.0,158000000.0,164000000.0,34000000.0,130000000.0,67000000.0,67000000.0,-110000000.0,-398000000.0,-398000000.0,-347000000.0,-347000000.0,922000000.0,,,,922000000.0,-1932000000.0,2854000000.0,-1378000000.0,-1378000000.0,102000000.0,-1480000000.0,-1480000000.0,1441000000.0,1441000000.0,-232000000.0,-12000000.0,-41000000.0,-41000000.0,-18000000.0,3000000.0,3000000.0,37000000.0,-216000000.0,66000000.0,18000000.0,13000000.0,345000000.0,345000000.0,375000000.0,375000000.0,378000000.0,-106000000.0,-21000000.0,-125000000.0,1028000000.0,2022-12-31
-112000000.0,-366000000.0,-989000000.0,1696000000.0,-1537000000.0,,53000000.0,164000000.0,-111000000.0,-257000000.0,-257000000.0,-56000000.0,-542000000.0,-542000000.0,-366000000.0,-366000000.0,707000000.0,707000000.0,-989000000.0,1696000000.0,0.0,0.0,0.0,-1279000000.0,-1279000000.0,258000000.0,-1537000000.0,-1537000000.0,1425000000.0,1425000000.0,122000000.0,12000000.0,51000000.0,51000000.0,-26000000.0,17000000.0,17000000.0,0.0,59000000.0,-36000000.0,-34000000.0,11000000.0,97000000.0,97000000.0,403000000.0,,,80000000.0,-14000000.0,94000000.0,746000000.0,2023-03-31
657000000.0,-344000000.0,-2181000000.0,1755000000.0,-856000000.0,,21000000.0,53000000.0,-32000000.0,-950000000.0,-950000000.0,-30000000.0,-150000000.0,-150000000.0,-344000000.0,-344000000.0,-426000000.0,-292000000.0,-2047000000.0,1755000000.0,-134000000.0,-134000000.0,0.0,-595000000.0,-595000000.0,261000000.0,-856000000.0,-856000000.0,1513000000.0,1513000000.0,255000000.0,9000000.0,90000000.0,90000000.0,100000000.0,-36000000.0,-36000000.0,13000000.0,143000000.0,74000000.0,8000000.0,16000000.0,78000000.0,78000000.0,432000000.0,,,138000000.0,-16000000.0,150000000.0,586000000.0,2023-06-30
506000000.0,-66000000.0,-1332000000.0,1015000000.0,-852000000.0,141000000.0,830000000.0,21000000.0,809000000.0,-564000000.0,-564000000.0,-32000000.0,-149000000.0,-149000000.0,-66000000.0,-66000000.0,-317000000.0,-317000000.0,-1332000000.0,1015000000.0,0.0,0.0,0.0,15000000.0,15000000.0,867000000.0,-852000000.0,-852000000.0,1358000000.0,1358000000.0,-146000000.0,-33000000.0,48000000.0,48000000.0,-28000000.0,23000000.0,23000000.0,-8000000.0,-153000000.0,-256000000.0,3000000.0,13000000.0,10000000.0,10000000.0,442000000.0,,,43000000.0,-9000000.0,52000000.0,993000000.0,2023-09-30
155000000.0,-159000000.0,-300000000.0,713000000.0,-1469000000.0,157000000.0,585000000.0,830000000.0,-245000000.0,-405000000.0,-405000000.0,-56000000.0,-603000000.0,-603000000.0,-159000000.0,-159000000.0,413000000.0,13000000.0,-300000000.0,313000000.0,400000000.0,0.0,400000000.0,-1464000000.0,-1464000000.0,5000000.0,-1469000000.0,-1469000000.0,1624000000.0,1624000000.0,65000000.0,10000000.0,-14000000.0,-14000000.0,11000000.0,-9000000.0,-9000000.0,-94000000.0,163000000.0,147000000.0,28000000.0,14000000.0,193000000.0,193000000.0,469000000.0,469000000.0,469000000.0,-156000000.0,-9000000.0,-147000000.0,1011000000.0,2023-12-31
