tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,write_off,impairment_of_capital_assets,earnings_from_equity_interest,net_non_operating_interest_income_expense,total_other_finance_cost,operating_income,operating_expense,other_taxes,depreciation_amortization_depletion_income_statement,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-311220000.0,0.21,3609000000.0,-1482000000.0,-1482000000.0,-36000000.0,779000000.0,2582000000.0,2127000000.0,1348000000.0,-416000000.0,1134780000.0,-42000000.0,3565000000.0,-134000000.0,835000000.0,835000000.0,-0.07,-0.050299,-75000000.0,-12000000.0,-63000000.0,21000000.0,-42000000.0,0.0,-42000000.0,-6000000.0,-36000000.0,-175000000.0,-211000000.0,-1143000000.0,295000000.0,-1482000000.0,155000000.0,1637000000.0,1637000000.0,44000000.0,-416000000.0,416000000.0,1348000000.0,914000000.0,204000000.0,710000000.0,2262000000.0,2651000000.0,4913000000.0,4729000000.0,2022-12-31
-17528209.321341,0.180703,2359000000.0,-97000000.0,-97000000.0,1002000000.0,492000000.0,2943000000.0,2262000000.0,1542000000.0,-586000000.0,1081471790.678659,997000000.0,3710000000.0,1445000000.0,836000000.0,836000000.0,1.17,1.192584,977000000.0,0.0,977000000.0,20000000.0,997000000.0,0.0,997000000.0,-5000000.0,1002000000.0,221000000.0,1223000000.0,267000000.0,284000000.0,-97000000.0,1000000.0,98000000.0,98000000.0,80000000.0,-586000000.0,586000000.0,1542000000.0,995000000.0,275000000.0,720000000.0,2537000000.0,2715000000.0,5252000000.0,4756000000.0,2023-03-31
-5305516.265912,0.171146,1490000000.0,-31000000.0,-31000000.0,586000000.0,469000000.0,2350000000.0,1459000000.0,753000000.0,-430000000.0,611694483.734088,599000000.0,3041000000.0,722000000.0,837000000.0,837000000.0,0.69,0.715651,599000000.0,,599000000.0,,599000000.0,0.0,599000000.0,13000000.0,586000000.0,121000000.0,707000000.0,384000000.0,325000000.0,-31000000.0,22000000.0,53000000.0,53000000.0,90000000.0,-430000000.0,430000000.0,753000000.0,928000000.0,222000000.0,706000000.0,1681000000.0,2113000000.0,3794000000.0,3794000000.0,2023-06-30
1214682.98109,0.202447,2422000000.0,6000000.0,6000000.0,717000000.0,1399000000.0,1220000000.0,2428000000.0,1029000000.0,-192000000.0,712214682.98109,163000000.0,2781000000.0,1035000000.0,958823529.0,958823529.0,0.17,0.17,163000000.0,0.0,163000000.0,,163000000.0,0.0,163000000.0,-554000000.0,717000000.0,182000000.0,899000000.0,62000000.0,56000000.0,6000000.0,0.0,,-6000000.0,,-192000000.0,192000000.0,1029000000.0,825000000.0,162000000.0,663000000.0,1854000000.0,1956000000.0,3810000000.0,3758000000.0,2023-09-30
-54772935.779817,0.327982,1800000000.0,-167000000.0,-167000000.0,293000000.0,768000000.0,1734000000.0,1633000000.0,865000000.0,-608000000.0,405227064.220183,235000000.0,2669000000.0,698000000.0,838000000.0,838000000.0,0.3,0.325776,154000000.0,0.0,154000000.0,,235000000.0,0.0,235000000.0,-58000000.0,293000000.0,143000000.0,436000000.0,179000000.0,346000000.0,-167000000.0,4000000.0,,171000000.0,,-608000000.0,608000000.0,865000000.0,863000000.0,167000000.0,696000000.0,1728000000.0,1806000000.0,3534000000.0,3197000000.0,2023-12-31
