tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,other_special_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,provision_for_doubtful_accounts,depreciation_amortization_depletion_income_statement,depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-1194858.061061,0.070702,875700000.0,-16900000.0,-16900000.0,346800000.0,372500000.0,2161900000.0,858800000.0,486300000.0,-111600000.0,112900000.0,1300000.0,362505141.938939,346800000.0,2935700000.0,577200000.0,317100000.0,316500000.0,1.09,1.1,346800000.0,346800000.0,346800000.0,-200000.0,347000000.0,347000000.0,26400000.0,373400000.0,-109100000.0,4200000.0,-16900000.0,1000000.0,,20100000.0,-96400000.0,-111600000.0,112900000.0,1300000.0,594100000.0,751100000.0,21100000.0,13700000.0,349800000.0,,,,,,366500000.0,366500000.0,114800000.0,251700000.0,1345200000.0,2184600000.0,3529800000.0,3387300000.0,2022-12-31
-3524500.0,0.265,1044900000.0,-13300000.0,-13300000.0,383900000.0,382800000.0,2145400000.0,1031600000.0,648800000.0,-125300000.0,126700000.0,1400000.0,393675500.0,383900000.0,2923900000.0,644100000.0,317100000.0,316700000.0,1.21,1.21,383900000.0,383900000.0,383900000.0,0.0,383900000.0,383900000.0,138200000.0,522100000.0,-9800000.0,2500000.0,-13300000.0,,200000.0,13100000.0,1000000.0,-125300000.0,126700000.0,1400000.0,657200000.0,754400000.0,24100000.0,7800000.0,358700000.0,,,,,,363800000.0,363800000.0,111300000.0,252500000.0,1411600000.0,2169500000.0,3581100000.0,3503700000.0,2023-03-31
-6864300.0,0.263,1113500000.0,-26100000.0,-26100000.0,427400000.0,382800000.0,2199900000.0,1087400000.0,704600000.0,-122800000.0,124400000.0,1600000.0,446635700.0,427400000.0,2992600000.0,707200000.0,317309000.0,316849000.0,1.35,1.35,427400000.0,427400000.0,427400000.0,-200000.0,427600000.0,427600000.0,152600000.0,580200000.0,-30300000.0,-600000.0,-26100000.0,,,26100000.0,-3600000.0,-122800000.0,124400000.0,1600000.0,733300000.0,768200000.0,24500000.0,11800000.0,358300000.0,,,,,,373600000.0,373600000.0,109600000.0,264000000.0,1501500000.0,2224400000.0,3725900000.0,3649100000.0,2023-06-30
-2288000.0,0.208,1151900000.0,-11000000.0,-11000000.0,480200000.0,407000000.0,2259600000.0,1140900000.0,733900000.0,-125600000.0,127600000.0,2000000.0,488912000.0,480200000.0,3087100000.0,727800000.0,316062000.0,316062000.0,1.52,1.52,480200000.0,480200000.0,480200000.0,-100000.0,480300000.0,480300000.0,126000000.0,606300000.0,-6900000.0,1300000.0,-11000000.0,1500000.0,,12500000.0,2800000.0,-125600000.0,127600000.0,2000000.0,738800000.0,802800000.0,24600000.0,18900000.0,382300000.0,121400000.0,260900000.0,33300000.0,33300000.0,227600000.0,377000000.0,377000000.0,122800000.0,254200000.0,1541600000.0,2284300000.0,3825900000.0,3740100000.0,2023-09-30
-1565541.519983,0.08946,1056500000.0,-17500000.0,-17500000.0,439600000.0,426700000.0,2239500000.0,1039000000.0,612300000.0,-127900000.0,129400000.0,1500000.0,455534458.480017,439600000.0,3113100000.0,701000000.0,315700000.0,315100000.0,1.39,1.4,439600000.0,439600000.0,439600000.0,-100000.0,439700000.0,439700000.0,43200000.0,482900000.0,-107700000.0,4300000.0,-17500000.0,2100000.0,4500000.0,15100000.0,-94500000.0,-127900000.0,129400000.0,1500000.0,718500000.0,848900000.0,24700000.0,14600000.0,402000000.0,124400000.0,277600000.0,37800000.0,37800000.0,239800000.0,407600000.0,407600000.0,127800000.0,279800000.0,1567400000.0,2264200000.0,3831600000.0,3429600000.0,2023-12-31
