ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_accounts_receivable,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,restricted_cash,prepaid_assets,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,machinery_furniture_equipment
433000000.0,433000000.0,21573000000.0,27960000000.0,-6232000000.0,29178000000.0,-1514000000.0,-6232000000.0,6231000000.0,7449000000.0,28359000000.0,7449000000.0,7449000000.0,-5000000.0,-5000000.0,-10666000000.0,18116000000.0,4000000.0,4000000.0,31472000000.0,28741000000.0,7000000.0,1616000000.0,1337000000.0,18000000.0,26791000000.0,5881000000.0,20910000000.0,327000000.0,2731000000.0,736000000.0,736000000.0,1169000000.0,350000000.0,819000000.0,819000000.0,826000000.0,590000000.0,183000000.0,236000000.0,236000000.0,38921000000.0,37704000000.0,136000000.0,1954000000.0,13681000000.0,3596000000.0,10085000000.0,21933000000.0,-13071000000.0,35004000000.0,913000000.0,31531000000.0,221000000.0,2339000000.0,0.0,1217000000.0,73000000.0,166000000.0,102000000.0,720000000.0,720000000.0,-19000000.0,739000000.0,156000000.0,156000000.0,2022-12-31,
434000000.0,434000000.0,22145000000.0,28518000000.0,-6358000000.0,29555000000.0,-1210000000.0,-6358000000.0,6186000000.0,7223000000.0,28736000000.0,7223000000.0,7223000000.0,-6000000.0,-6000000.0,-10929000000.0,18154000000.0,4000000.0,4000000.0,31831000000.0,29296000000.0,1927000000.0,,,,27369000000.0,5856000000.0,21513000000.0,,2535000000.0,721000000.0,721000000.0,1149000000.0,330000000.0,819000000.0,819000000.0,665000000.0,432000000.0,132000000.0,233000000.0,233000000.0,39054000000.0,37729000000.0,134000000.0,2040000000.0,13581000000.0,3496000000.0,10085000000.0,21974000000.0,-13377000000.0,35351000000.0,,35351000000.0,,,,1325000000.0,93000000.0,196000000.0,159000000.0,690000000.0,690000000.0,,,187000000.0,187000000.0,2023-03-31,
434000000.0,434000000.0,22142000000.0,28510000000.0,-6427000000.0,29464000000.0,-1376000000.0,-6427000000.0,6092000000.0,7046000000.0,28645000000.0,7046000000.0,7046000000.0,-5000000.0,-5000000.0,-11155000000.0,18202000000.0,4000000.0,4000000.0,31996000000.0,29271000000.0,1922000000.0,,,,27349000000.0,5750000000.0,21599000000.0,,2725000000.0,793000000.0,793000000.0,1161000000.0,342000000.0,819000000.0,819000000.0,771000000.0,531000000.0,219000000.0,240000000.0,240000000.0,39042000000.0,37693000000.0,136000000.0,2128000000.0,13473000000.0,3388000000.0,10085000000.0,21956000000.0,-13683000000.0,35639000000.0,,35639000000.0,,,,1349000000.0,71000000.0,207000000.0,182000000.0,613000000.0,613000000.0,,,276000000.0,276000000.0,2023-06-30,
434000000.0,434000000.0,22613000000.0,28729000000.0,-6692000000.0,29399000000.0,-1423000000.0,-6692000000.0,5999000000.0,6669000000.0,28572000000.0,6669000000.0,6669000000.0,-5000000.0,-5000000.0,-11571000000.0,18241000000.0,4000000.0,4000000.0,32030000000.0,29481000000.0,1918000000.0,,,,27563000000.0,5660000000.0,21903000000.0,,2549000000.0,650000000.0,650000000.0,1166000000.0,339000000.0,827000000.0,827000000.0,733000000.0,518000000.0,145000000.0,215000000.0,215000000.0,38699000000.0,37573000000.0,141000000.0,2189000000.0,13361000000.0,3276000000.0,10085000000.0,21882000000.0,-13987000000.0,35869000000.0,,35869000000.0,,,,1126000000.0,72000000.0,167000000.0,143000000.0,627000000.0,627000000.0,,,117000000.0,117000000.0,2023-09-30,
433688863.0,433688863.0,22816000000.0,28814000000.0,-6883000000.0,29302000000.0,-1553000000.0,-6883000000.0,5893000000.0,6381000000.0,28467000000.0,6381000000.0,6381000000.0,-4000000.0,-4000000.0,-11889000000.0,18270000000.0,4000000.0,4000000.0,32146000000.0,29561000000.0,7000000.0,1552000000.0,1310000000.0,26000000.0,27647000000.0,5561000000.0,22086000000.0,355000000.0,2585000000.0,605000000.0,605000000.0,1167000000.0,332000000.0,835000000.0,835000000.0,813000000.0,561000000.0,219000000.0,252000000.0,252000000.0,38527000000.0,37495000000.0,139000000.0,2239000000.0,13264000000.0,3179000000.0,10085000000.0,21853000000.0,-14279000000.0,36132000000.0,1134000000.0,31666000000.0,209000000.0,2442000000.0,0.0,1032000000.0,56000000.0,171000000.0,103000000.0,597000000.0,597000000.0,-19000000.0,616000000.0,105000000.0,105000000.0,2023-12-31,681000000.0
