tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,write_off,impairment_of_capital_assets,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,rent_expense_supplemental
-43269.230769,0.004808,1042000000.0,-9000000.0,-9000000.0,414000000.0,431000000.0,520000000.0,1033000000.0,602000000.0,-191000000.0,186000000.0,2000000.0,422956730.769231,414000000.0,1143000000.0,612000000.0,434000000.0,433000000.0,0.95,0.95,414000000.0,414000000.0,414000000.0,414000000.0,0.0,414000000.0,2000000.0,416000000.0,-14000000.0,-5000000.0,-9000000.0,0.0,8000000.0,8000000.0,1000000.0,-191000000.0,7000000.0,186000000.0,2000000.0,621000000.0,623000000.0,0.0,431000000.0,431000000.0,192000000.0,1244000000.0,520000000.0,1764000000.0,1764000000.0,2022-12-31,
0.0,0.016471,1051000000.0,0.0,0.0,418000000.0,431000000.0,519000000.0,1051000000.0,620000000.0,-200000000.0,195000000.0,2000000.0,418000000.0,418000000.0,1145000000.0,628000000.0,434000000.0,433000000.0,0.97,0.97,418000000.0,418000000.0,418000000.0,418000000.0,,418000000.0,7000000.0,425000000.0,-3000000.0,-3000000.0,0.0,,0.0,0.0,,-200000000.0,7000000.0,195000000.0,2000000.0,628000000.0,626000000.0,,431000000.0,431000000.0,195000000.0,1254000000.0,519000000.0,1773000000.0,1773000000.0,2023-03-31,
-348484.848485,0.015152,1131000000.0,-23000000.0,-23000000.0,455000000.0,445000000.0,522000000.0,1108000000.0,663000000.0,-203000000.0,201000000.0,5000000.0,477651515.151515,455000000.0,1177000000.0,667000000.0,434000000.0,434000000.0,1.05,1.05,455000000.0,455000000.0,455000000.0,455000000.0,,455000000.0,7000000.0,462000000.0,-25000000.0,-2000000.0,-23000000.0,,22000000.0,22000000.0,1000000.0,-203000000.0,7000000.0,201000000.0,5000000.0,690000000.0,655000000.0,,445000000.0,445000000.0,210000000.0,1345000000.0,522000000.0,1867000000.0,1867000000.0,2023-06-30,
-2058823.529412,0.025735,1000000000.0,-80000000.0,-80000000.0,265000000.0,439000000.0,486000000.0,920000000.0,481000000.0,-214000000.0,209000000.0,3000000.0,342941176.470588,265000000.0,1101000000.0,486000000.0,434000000.0,434000000.0,0.61,0.61,265000000.0,265000000.0,265000000.0,265000000.0,,265000000.0,7000000.0,272000000.0,-80000000.0,,-80000000.0,,8000000.0,,72000000.0,-214000000.0,8000000.0,209000000.0,3000000.0,566000000.0,615000000.0,,439000000.0,439000000.0,176000000.0,1181000000.0,486000000.0,1667000000.0,1667000000.0,2023-09-30,
-217391.304348,0.013587,1039000000.0,-16000000.0,-16000000.0,363000000.0,439000000.0,453000000.0,1023000000.0,584000000.0,-218000000.0,216000000.0,5000000.0,378782608.695652,363000000.0,1070000000.0,588000000.0,434000000.0,434000000.0,0.83,0.84,363000000.0,363000000.0,363000000.0,363000000.0,,363000000.0,5000000.0,368000000.0,-18000000.0,-2000000.0,-16000000.0,,3000000.0,,13000000.0,-218000000.0,7000000.0,216000000.0,5000000.0,604000000.0,617000000.0,,439000000.0,439000000.0,178000000.0,1221000000.0,453000000.0,1674000000.0,1674000000.0,2023-12-31,405000000.0
