free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_short_term_debt_issuance,short_term_debt_payments,short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,dividends_received_cfi,net_investment_properties_purchase_and_sale,sale_of_investment_properties,purchase_of_investment_properties,net_business_purchase_and_sale,sale_of_business,purchase_of_business,operating_cash_flow,date
80400000.0,-900000.0,-462900000.0,838200000.0,-200000.0,67500000.0,1700000.0,90400000.0,112000000.0,2000000.0,-23600000.0,217800000.0,217800000.0,-42900000.0,-113500000.0,,-1100000.0,-900000.0,-200000.0,375300000.0,158900000.0,-452300000.0,611200000.0,216400000.0,-10600000.0,227000000.0,-321800000.0,-321800000.0,21800000.0,5100000.0,-264400000.0,0.0,-264400000.0,-84300000.0,1900000.0,-86200000.0,80400000.0,2022-12-31
194500000.0,-11000000.0,-970900000.0,1209000000.0,,73200000.0,10000000.0,74800000.0,90400000.0,200000.0,-15800000.0,111600000.0,111600000.0,-1900000.0,-113600000.0,-113600000.0,-11000000.0,-11000000.0,,238100000.0,-325100000.0,-951100000.0,626000000.0,563200000.0,-19800000.0,583000000.0,-321900000.0,-321900000.0,17500000.0,11400000.0,-349500000.0,200000.0,-349700000.0,-1300000.0,1400000.0,-2700000.0,194500000.0,2023-03-31
255400000.0,-1100000.0,-243900000.0,364100000.0,,80300000.0,5000000.0,68700000.0,74800000.0,600000.0,-6700000.0,-2200000.0,-2200000.0,100000.0,-121200000.0,,-1300000.0,-1100000.0,,120200000.0,128700000.0,-235400000.0,364100000.0,-8500000.0,-8500000.0,0.0,-259900000.0,-259900000.0,12000000.0,1400000.0,-215000000.0,0.0,-215000000.0,-58300000.0,-200000.0,-58100000.0,255400000.0,2023-06-30
223000000.0,-400000.0,-170500000.0,298500000.0,,89200000.0,2700000.0,62000000.0,68700000.0,-600000.0,-6100000.0,6900000.0,6900000.0,-500000.0,-120400000.0,,-200000.0,-400000.0,,128000000.0,142200000.0,-156300000.0,298500000.0,-14200000.0,-14200000.0,0.0,-236000000.0,-236000000.0,5600000.0,2300000.0,-219100000.0,6500000.0,-225600000.0,-24800000.0,-500000.0,-24300000.0,223000000.0,2023-09-30
117600000.0,-900000.0,-564600000.0,652500000.0,,87300000.0,2800000.0,42700000.0,62000000.0,800000.0,-20100000.0,-36000000.0,-36000000.0,-1800000.0,-121200000.0,,-900000.0,-900000.0,,87900000.0,-86400000.0,-432800000.0,346400000.0,174300000.0,-131800000.0,306100000.0,-101700000.0,-101700000.0,8700000.0,2300000.0,-209500000.0,3200000.0,-212700000.0,-6800000.0,900000.0,-7700000.0,117600000.0,2023-12-31
