treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_debt,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,restricted_cash,inventory,finished_goods,work_in_process,raw_materials,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date
,69511286.0,69511286.0,727600000.0,1401800000.0,349200000.0,1878200000.0,949300000.0,349200000.0,476400000.0,1850700000.0,476400000.0,476400000.0,20000000.0,20000000.0,-584300000.0,1040600000.0,100000.0,100000.0,0.0,1774700000.0,1410000000.0,35700000.0,1374300000.0,1374300000.0,364700000.0,,27500000.0,27500000.0,95900000.0,57300000.0,184000000.0,153200000.0,30800000.0,30800000.0,2251100000.0,937100000.0,210000000.0,127200000.0,75500000.0,51700000.0,599900000.0,-234700000.0,834600000.0,11700000.0,112300000.0,544200000.0,163900000.0,2500000.0,0.0,1314000000.0,86900000.0,500000.0,346800000.0,183500000.0,84200000.0,79100000.0,205600000.0,205600000.0,-2500000.0,208100000.0,674200000.0,674200000.0,538100000.0,136100000.0,2022-12-31
,69694363.0,69694363.0,775900000.0,1396600000.0,350900000.0,1899400000.0,946700000.0,350900000.0,502800000.0,1871600000.0,502800000.0,502800000.0,15900000.0,15900000.0,-560500000.0,1047300000.0,100000.0,100000.0,0.0,1786300000.0,1403000000.0,34200000.0,1368800000.0,1368800000.0,383300000.0,57600000.0,27800000.0,27800000.0,55200000.0,,242700000.0,156800000.0,85900000.0,85900000.0,2289100000.0,959100000.0,210600000.0,151900000.0,100200000.0,51700000.0,596600000.0,,,,,,,,,1330000000.0,106000000.0,0.0,386100000.0,179600000.0,112300000.0,94200000.0,217200000.0,217200000.0,-3100000.0,220300000.0,620700000.0,620700000.0,489500000.0,131200000.0,2023-03-31
,69804489.0,69804489.0,753100000.0,1397800000.0,402700000.0,1951700000.0,996500000.0,402700000.0,553900000.0,1922500000.0,553900000.0,553900000.0,16300000.0,16300000.0,-533200000.0,1070700000.0,100000.0,100000.0,0.0,1831900000.0,1406900000.0,38300000.0,1368600000.0,1368600000.0,425000000.0,62100000.0,29200000.0,29200000.0,82200000.0,,251500000.0,144000000.0,107500000.0,107500000.0,2385800000.0,964300000.0,211600000.0,151200000.0,99500000.0,51700000.0,601500000.0,,,,,,,,,1421500000.0,99600000.0,15400000.0,411300000.0,208200000.0,101400000.0,101700000.0,250500000.0,250500000.0,-3100000.0,253600000.0,644700000.0,644700000.0,550200000.0,94500000.0,2023-06-30
0.0,69825875.0,69825875.0,750600000.0,1420400000.0,456300000.0,2027900000.0,1019700000.0,456300000.0,607500000.0,1978100000.0,607500000.0,607500000.0,7600000.0,7600000.0,-481300000.0,1081100000.0,100000.0,100000.0,0.0,1860200000.0,1408800000.0,38200000.0,1370600000.0,1370600000.0,451400000.0,47300000.0,49800000.0,49800000.0,98700000.0,,255600000.0,177800000.0,77800000.0,77800000.0,2467700000.0,996600000.0,196200000.0,151200000.0,99500000.0,51700000.0,649200000.0,,,,,,,,,1471100000.0,104600000.0,15600000.0,410800000.0,247400000.0,56200000.0,107200000.0,270300000.0,270300000.0,-2500000.0,272800000.0,669800000.0,669800000.0,551700000.0,118100000.0,2023-09-30
,69907289.0,69907289.0,711600000.0,1415800000.0,582300000.0,2148500000.0,1131700000.0,582300000.0,732700000.0,2099100000.0,732700000.0,732700000.0,8000000.0,8000000.0,-378000000.0,1102600000.0,100000.0,100000.0,0.0,1855500000.0,1404300000.0,37900000.0,1366400000.0,1366400000.0,451200000.0,68800000.0,49400000.0,49400000.0,122000000.0,,211000000.0,191800000.0,19200000.0,19200000.0,2588200000.0,1005300000.0,190000000.0,150400000.0,98700000.0,51700000.0,664900000.0,-293200000.0,958100000.0,16000000.0,137500000.0,590300000.0,205300000.0,9000000.0,0.0,1582900000.0,116400000.0,0.0,402600000.0,223800000.0,60600000.0,118200000.0,359700000.0,359700000.0,-2500000.0,362200000.0,704200000.0,704200000.0,600500000.0,103700000.0,2023-12-31
