tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,rent_and_landing_fees,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-1819464.03385,0.060649,911000000.0,-30000000.0,-30000000.0,657000000.0,62000000.0,1539000000.0,881000000.0,819000000.0,-107000000.0,110000000.0,3000000.0,685180535.96615,657000000.0,2288000000.0,73000000.0,1012000000.0,209300000.0,207500000.0,3.14,3.17,657000000.0,657000000.0,657000000.0,-9000000.0,666000000.0,666000000.0,43000000.0,709000000.0,-26000000.0,-170000000.0,1000000.0,1000000.0,,4000000.0,-31000000.0,-107000000.0,110000000.0,3000000.0,842000000.0,749000000.0,138000000.0,62000000.0,62000000.0,26000000.0,26000000.0,36000000.0,549000000.0,549000000.0,306000000.0,73000000.0,170000000.0,1591000000.0,1539000000.0,3130000000.0,3130000000.0,2022-12-31
-2156000.0,0.196,1527000000.0,-11000000.0,-11000000.0,1050000000.0,63000000.0,1792000000.0,1516000000.0,1453000000.0,-106000000.0,111000000.0,5000000.0,1058844000.0,1050000000.0,2415000000.0,75000000.0,1473000000.0,207100000.0,206100000.0,5.07,5.09,1050000000.0,1050000000.0,1050000000.0,-29000000.0,1079000000.0,1079000000.0,263000000.0,1342000000.0,-8000000.0,,0.0,0.0,,3000000.0,-11000000.0,-106000000.0,111000000.0,5000000.0,1456000000.0,623000000.0,139000000.0,63000000.0,63000000.0,25000000.0,25000000.0,38000000.0,421000000.0,421000000.0,329000000.0,75000000.0,17000000.0,2079000000.0,1792000000.0,3871000000.0,3876000000.0,2023-03-31
-1890000.0,0.126,867000000.0,-15000000.0,-15000000.0,560000000.0,64000000.0,1754000000.0,852000000.0,788000000.0,-125000000.0,130000000.0,5000000.0,573110000.0,560000000.0,2378000000.0,68000000.0,842000000.0,206300000.0,204700000.0,2.71,2.74,560000000.0,560000000.0,560000000.0,-15000000.0,575000000.0,575000000.0,83000000.0,658000000.0,-16000000.0,,0.0,0.0,,-1000000.0,-15000000.0,-125000000.0,130000000.0,5000000.0,799000000.0,624000000.0,129000000.0,64000000.0,64000000.0,25000000.0,25000000.0,39000000.0,431000000.0,431000000.0,320000000.0,68000000.0,43000000.0,1423000000.0,1754000000.0,3177000000.0,3180000000.0,2023-06-30
-1826000.0,0.166,752000000.0,-11000000.0,-11000000.0,456000000.0,62000000.0,1685000000.0,741000000.0,679000000.0,-110000000.0,119000000.0,9000000.0,465174000.0,456000000.0,2274000000.0,74000000.0,691000000.0,204600000.0,202900000.0,2.23,2.25,456000000.0,456000000.0,456000000.0,-11000000.0,467000000.0,467000000.0,93000000.0,560000000.0,-9000000.0,,-6000000.0,0.0,6000000.0,2000000.0,-5000000.0,-110000000.0,119000000.0,9000000.0,679000000.0,589000000.0,135000000.0,62000000.0,62000000.0,20000000.0,20000000.0,42000000.0,392000000.0,392000000.0,300000000.0,74000000.0,18000000.0,1268000000.0,1685000000.0,2953000000.0,2953000000.0,2023-09-30
-28137931.034483,0.167488,968000000.0,-168000000.0,-168000000.0,498000000.0,67000000.0,1671000000.0,800000000.0,733000000.0,-112000000.0,124000000.0,12000000.0,637862068.965517,498000000.0,2487000000.0,77000000.0,779000000.0,,,,,498000000.0,498000000.0,498000000.0,-9000000.0,507000000.0,507000000.0,102000000.0,609000000.0,-167000000.0,,-125000000.0,4000000.0,129000000.0,1000000.0,-43000000.0,-112000000.0,124000000.0,12000000.0,888000000.0,816000000.0,131000000.0,67000000.0,67000000.0,19000000.0,19000000.0,48000000.0,618000000.0,618000000.0,521000000.0,77000000.0,20000000.0,1704000000.0,1671000000.0,3375000000.0,3387000000.0,2023-12-31
