tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.174157,458000000.0,147000000.0,164000000.0,433000000.0,458000000.0,294000000.0,-103000000.0,116000000.0,13000000.0,147000000.0,147000000.0,670000000.0,261000000.0,182000000.0,182000000.0,0.81,0.81,147000000.0,147000000.0,147000000.0,147000000.0,147000000.0,31000000.0,178000000.0,20000000.0,1000000.0,-103000000.0,116000000.0,13000000.0,261000000.0,237000000.0,,73000000.0,164000000.0,164000000.0,498000000.0,433000000.0,931000000.0,931000000.0,2022-12-31
0.0,0.206,501000000.0,170000000.0,172000000.0,393000000.0,501000000.0,329000000.0,-101000000.0,115000000.0,14000000.0,170000000.0,170000000.0,643000000.0,295000000.0,186000000.0,186000000.0,0.91,0.91,170000000.0,170000000.0,170000000.0,170000000.0,170000000.0,44000000.0,214000000.0,20000000.0,20000000.0,-101000000.0,115000000.0,14000000.0,295000000.0,250000000.0,,78000000.0,172000000.0,172000000.0,545000000.0,393000000.0,938000000.0,938000000.0,2023-03-31
0.0,0.216,641000000.0,280000000.0,174000000.0,419000000.0,641000000.0,467000000.0,-95000000.0,110000000.0,15000000.0,280000000.0,280000000.0,665000000.0,432000000.0,195000000.0,195000000.0,1.44,1.44,280000000.0,280000000.0,280000000.0,280000000.0,280000000.0,77000000.0,357000000.0,20000000.0,20000000.0,-95000000.0,110000000.0,15000000.0,432000000.0,246000000.0,-1000000.0,73000000.0,174000000.0,174000000.0,678000000.0,419000000.0,1097000000.0,1097000000.0,2023-06-30
0.0,0.206,701000000.0,323000000.0,177000000.0,436000000.0,701000000.0,524000000.0,-94000000.0,117000000.0,23000000.0,323000000.0,323000000.0,689000000.0,478000000.0,195000000.0,195000000.0,1.66,1.66,323000000.0,323000000.0,323000000.0,323000000.0,323000000.0,84000000.0,407000000.0,23000000.0,23000000.0,-94000000.0,117000000.0,23000000.0,478000000.0,253000000.0,,76000000.0,177000000.0,177000000.0,731000000.0,436000000.0,1167000000.0,1167000000.0,2023-09-30
0.0,0.215596,517000000.0,171000000.0,181000000.0,472000000.0,517000000.0,336000000.0,-97000000.0,118000000.0,21000000.0,171000000.0,171000000.0,733000000.0,299000000.0,,,,,171000000.0,171000000.0,171000000.0,171000000.0,171000000.0,47000000.0,218000000.0,16000000.0,16000000.0,-97000000.0,118000000.0,21000000.0,299000000.0,261000000.0,0.0,80000000.0,181000000.0,181000000.0,560000000.0,472000000.0,1032000000.0,1032000000.0,2023-12-31
