treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_notes_payable,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,current_deferred_assets,prepaid_assets,receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
,202882000.0,202882000.0,16000000.0,2232000000.0,3976000000.0,6518000000.0,649000000.0,3976000000.0,746000000.0,5032000000.0,6518000000.0,5032000000.0,5032000000.0,-102000000.0,-102000000.0,0.0,338000000.0,4796000000.0,0.0,0.0,0.0,8267000000.0,2262000000.0,56000000.0,70000000.0,70000000.0,2136000000.0,650000000.0,1486000000.0,6005000000.0,226000000.0,4660000000.0,4660000000.0,96000000.0,96000000.0,0.0,150000000.0,873000000.0,490000000.0,383000000.0,109000000.0,274000000.0,13299000000.0,6645000000.0,359000000.0,1378000000.0,636000000.0,2117000000.0,2117000000.0,2117000000.0,1056000000.0,232000000.0,824000000.0,1735000000.0,-995000000.0,2730000000.0,226000000.0,53000000.0,682000000.0,1769000000.0,0.0,6654000000.0,280000000.0,369000000.0,,1725000000.0,1725000000.0,4280000000.0,2810000000.0,1470000000.0,2022-12-31
,204000000.0,204000000.0,,2238000000.0,4565000000.0,7086000000.0,973000000.0,4565000000.0,752000000.0,5600000000.0,7086000000.0,5600000000.0,5600000000.0,-70000000.0,-70000000.0,,488000000.0,5182000000.0,0.0,0.0,,8014000000.0,2253000000.0,59000000.0,53000000.0,53000000.0,2141000000.0,655000000.0,1486000000.0,5761000000.0,,4742000000.0,4742000000.0,97000000.0,97000000.0,,,922000000.0,694000000.0,228000000.0,,228000000.0,13614000000.0,6880000000.0,390000000.0,1417000000.0,640000000.0,2239000000.0,2239000000.0,2239000000.0,1035000000.0,212000000.0,823000000.0,1799000000.0,-1061000000.0,2860000000.0,226000000.0,69000000.0,682000000.0,1883000000.0,0.0,6734000000.0,319000000.0,392000000.0,319000000.0,1109000000.0,1109000000.0,4914000000.0,3062000000.0,1852000000.0,2023-03-31
,204000000.0,204000000.0,,2212000000.0,5914000000.0,8413000000.0,836000000.0,5914000000.0,725000000.0,6926000000.0,8413000000.0,6926000000.0,6926000000.0,-91000000.0,-91000000.0,,1532000000.0,5485000000.0,0.0,0.0,,7997000000.0,2230000000.0,63000000.0,45000000.0,45000000.0,2122000000.0,635000000.0,1487000000.0,5767000000.0,,4613000000.0,4613000000.0,90000000.0,90000000.0,,,1064000000.0,893000000.0,171000000.0,,171000000.0,14923000000.0,8320000000.0,436000000.0,2328000000.0,1551000000.0,2740000000.0,2740000000.0,2740000000.0,1012000000.0,191000000.0,821000000.0,1804000000.0,-1117000000.0,2921000000.0,226000000.0,70000000.0,656000000.0,1969000000.0,0.0,6603000000.0,362000000.0,401000000.0,,1093000000.0,1093000000.0,4747000000.0,3084000000.0,1663000000.0,2023-06-30
,205055000.0,205055000.0,375000000.0,2260000000.0,5736000000.0,8669000000.0,445000000.0,5736000000.0,773000000.0,7182000000.0,8669000000.0,7182000000.0,7182000000.0,-157000000.0,-157000000.0,282000000.0,1774000000.0,5847000000.0,0.0,0.0,,7909000000.0,2308000000.0,93000000.0,46000000.0,46000000.0,2169000000.0,682000000.0,1487000000.0,5601000000.0,,4440000000.0,4440000000.0,91000000.0,91000000.0,,,1070000000.0,1001000000.0,69000000.0,,69000000.0,15091000000.0,9045000000.0,450000000.0,2312000000.0,1505000000.0,2939000000.0,2939000000.0,2939000000.0,1446000000.0,242000000.0,1204000000.0,1898000000.0,-1180000000.0,3078000000.0,280000000.0,14000000.0,699000000.0,2085000000.0,0.0,6046000000.0,394000000.0,417000000.0,,1168000000.0,1168000000.0,4067000000.0,2955000000.0,1112000000.0,2023-09-30
895000.0,204724000.0,205619000.0,,2284000000.0,6173000000.0,9116000000.0,412000000.0,6173000000.0,796000000.0,7628000000.0,9116000000.0,7628000000.0,7628000000.0,-37000000.0,-37000000.0,535000000.0,2069000000.0,6131000000.0,0.0,0.0,0.0,9759000000.0,2394000000.0,118000000.0,81000000.0,81000000.0,2195000000.0,707000000.0,1488000000.0,7365000000.0,425000000.0,5785000000.0,5785000000.0,89000000.0,89000000.0,,167000000.0,899000000.0,650000000.0,249000000.0,123000000.0,126000000.0,17387000000.0,9610000000.0,452000000.0,2427000000.0,1508000000.0,3203000000.0,3203000000.0,3203000000.0,1455000000.0,224000000.0,1231000000.0,2073000000.0,-1285000000.0,3358000000.0,292000000.0,33000000.0,715000000.0,2318000000.0,0.0,7777000000.0,403000000.0,461000000.0,,2036000000.0,2036000000.0,4877000000.0,2980000000.0,1897000000.0,2023-12-31
