tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,rent_and_landing_fees,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-3588270.0,0.21,-135136000.0,-17087000.0,-17087000.0,-207493000.0,24885000.0,51266000.0,-152223000.0,-177108000.0,-15836000.0,29913000.0,14077000.0,-193994270.0,-207493000.0,523649000.0,36802000.0,-188614000.0,123266000.0,123266000.0,-1.68,-1.68,-207493000.0,-207493000.0,-207493000.0,-207493000.0,-207493000.0,472000.0,-207021000.0,-2571000.0,14516000.0,0.0,0.0,-17087000.0,-15836000.0,29913000.0,14077000.0,-188614000.0,472383000.0,262039000.0,210344000.0,210344000.0,71803000.0,36802000.0,101739000.0,283769000.0,51266000.0,335035000.0,335035000.0,2022-12-31
-1834980.0,0.21,-108590000.0,-8738000.0,-8738000.0,-174101000.0,26079000.0,54869000.0,-117328000.0,-143407000.0,-10300000.0,28955000.0,18655000.0,-167197980.0,-174101000.0,469097000.0,,-149807000.0,124111000.0,124111000.0,-1.4,-1.4,-174101000.0,-174101000.0,-174101000.0,-174101000.0,-174101000.0,1739000.0,-172362000.0,-12255000.0,-3517000.0,,,-8738000.0,-10300000.0,28955000.0,18655000.0,-149807000.0,414228000.0,230569000.0,183659000.0,183659000.0,85618000.0,,98041000.0,264421000.0,54869000.0,319290000.0,319290000.0,2023-03-31
0.0,0.21,-220727000.0,,,-276024000.0,23447000.0,85370000.0,-220727000.0,-244174000.0,-8960000.0,30035000.0,21075000.0,-276024000.0,-276024000.0,548585000.0,38333000.0,-229831000.0,124659000.0,124659000.0,-2.21,-2.21,-276024000.0,-276024000.0,-276024000.0,-276024000.0,-276024000.0,1815000.0,-274209000.0,-35418000.0,-35418000.0,,,,-8960000.0,30035000.0,21075000.0,-229831000.0,463215000.0,248526000.0,214689000.0,214689000.0,57848000.0,38333000.0,118508000.0,233384000.0,85370000.0,318754000.0,318754000.0,2023-06-30
-952510.358827,0.019822,253219000.0,-48053000.0,-48053000.0,147753000.0,23532000.0,84309000.0,205166000.0,181634000.0,-5468000.0,30893000.0,25425000.0,194853489.641173,147753000.0,536663000.0,35007000.0,213867000.0,131337000.0,125220000.0,1.15,1.18,147753000.0,147753000.0,147753000.0,147753000.0,147753000.0,2988000.0,150741000.0,-57658000.0,-9605000.0,0.0,,-48053000.0,-5468000.0,30893000.0,25425000.0,213867000.0,452354000.0,253179000.0,199175000.0,199175000.0,54187000.0,35007000.0,109981000.0,666221000.0,84309000.0,750530000.0,750530000.0,2023-09-30
-4690350.0,0.21,-60041000.0,-22335000.0,-22335000.0,-137870000.0,23973000.0,85858000.0,-82376000.0,-106349000.0,-932000.0,31338000.0,30406000.0,-120225350.0,-137870000.0,556122000.0,37417000.0,-116404000.0,,,,,-137870000.0,-137870000.0,-137870000.0,-137870000.0,-137870000.0,183000.0,-137687000.0,-20351000.0,1984000.0,0.0,,-22335000.0,-932000.0,31338000.0,30406000.0,-116404000.0,470264000.0,272141000.0,198123000.0,198123000.0,63941000.0,37417000.0,96765000.0,353860000.0,85858000.0,439718000.0,439718000.0,2023-12-31
