tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
29983.704508,0.024986,398800000.0,1200000.0,1200000.0,313800000.0,27300000.0,297300000.0,400000000.0,372700000.0,4600000.0,4500000.0,9100000.0,312629983.704508,313800000.0,926400000.0,357800000.0,791800000.0,780900000.0,0.4,0.4,313800000.0,313800000.0,313800000.0,0.0,313800000.0,313800000.0,-45200000.0,9200000.0,368200000.0,7000000.0,5800000.0,1200000.0,-1200000.0,4600000.0,4500000.0,9100000.0,356600000.0,629100000.0,,128900000.0,500200000.0,455900000.0,44300000.0,44300000.0,985700000.0,297300000.0,1283000000.0,1283000000.0,2022-12-31
84000.0,0.07,322400000.0,1200000.0,1200000.0,247700000.0,27500000.0,307800000.0,323600000.0,296100000.0,15600000.0,5000000.0,20600000.0,246584000.0,247700000.0,990000000.0,273500000.0,793400000.0,783200000.0,0.31,0.32,247700000.0,247700000.0,247700000.0,0.0,247700000.0,247700000.0,-22100000.0,21300000.0,291100000.0,3200000.0,2000000.0,1200000.0,-1200000.0,15600000.0,5000000.0,20600000.0,272300000.0,682200000.0,,151100000.0,531100000.0,478300000.0,52800000.0,52800000.0,954500000.0,307800000.0,1262300000.0,1262300000.0,2023-03-31
0.0,0.09,331800000.0,,,266300000.0,27400000.0,295800000.0,331800000.0,304400000.0,26400000.0,5200000.0,31600000.0,266300000.0,266300000.0,1013800000.0,279000000.0,795900000.0,785000000.0,0.33,0.34,266300000.0,266300000.0,266300000.0,0.0,266300000.0,266300000.0,-5300000.0,27600000.0,299200000.0,-6200000.0,-6200000.0,,,26400000.0,5200000.0,31600000.0,279000000.0,718000000.0,-1100000.0,153300000.0,565800000.0,515900000.0,49900000.0,49900000.0,997000000.0,295800000.0,1292800000.0,1292800000.0,2023-06-30
0.0,0.0,360400000.0,1100000.0,1100000.0,322900000.0,28300000.0,317700000.0,361500000.0,333200000.0,31600000.0,5400000.0,37000000.0,321800000.0,322900000.0,1032500000.0,303200000.0,791200000.0,781200000.0,0.41,0.41,322900000.0,322900000.0,322900000.0,0.0,322900000.0,322900000.0,-5200000.0,-300000.0,327800000.0,-5900000.0,-7000000.0,1100000.0,-1100000.0,31600000.0,5400000.0,37000000.0,302100000.0,714800000.0,,156900000.0,557900000.0,504400000.0,53500000.0,53500000.0,1016900000.0,317700000.0,1334600000.0,1334600000.0,2023-09-30
274879.692012,0.229066,450000000.0,1200000.0,1200000.0,310900000.0,30200000.0,315900000.0,451200000.0,421000000.0,25100000.0,5400000.0,30500000.0,309974879.692012,310900000.0,1030900000.0,385400000.0,772300000.0,764900000.0,0.4,0.41,310900000.0,310900000.0,310900000.0,0.0,310900000.0,310900000.0,-9500000.0,95200000.0,415600000.0,6300000.0,5100000.0,1200000.0,-1200000.0,25100000.0,5400000.0,30500000.0,384200000.0,715000000.0,,152500000.0,562500000.0,507400000.0,55100000.0,55100000.0,1099200000.0,315900000.0,1415100000.0,1415100000.0,2023-12-31
