treasury_shares_number,preferred_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_accounts_receivable,investments_and_advances,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,finished_goods,work_in_process,raw_materials,receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date
1365648.0,200000.0,47770382.0,49136030.0,29039000.0,1213203000.0,1275367000.0,763753000.0,1213205000.0,29039000.0,1275367000.0,2000.0,1275369000.0,1275369000.0,1275369000.0,-18452000.0,,41284000.0,653277000.0,681335000.0,493000.0,491000.0,2000.0,257451000.0,121754000.0,54000.0,59790000.0,59790000.0,14592000.0,18279000.0,18279000.0,29039000.0,29039000.0,135697000.0,29577000.0,45599000.0,45599000.0,31751000.0,28770000.0,19251000.0,9519000.0,9519000.0,1532820000.0,633370000.0,2687000.0,58161000.0,58161000.0,75566000.0,259861000.0,62164000.0,46629000.0,15535000.0,174931000.0,-117118000.0,292049000.0,10567000.0,31486000.0,147768000.0,99586000.0,2642000.0,0.0,899450000.0,45791000.0,183220000.0,60146000.0,7626000.0,115448000.0,92664000.0,92664000.0,577775000.0,484345000.0,93430000.0,,,2022-12-31
1365648.0,200000.0,47331819.0,48697467.0,28154000.0,1240138000.0,1299463000.0,835264000.0,1240140000.0,28154000.0,1299463000.0,2000.0,1299465000.0,1299465000.0,1299465000.0,-15477000.0,-15477000.0,41284000.0,676347000.0,679390000.0,489000.0,487000.0,2000.0,236247000.0,121290000.0,54000.0,60248000.0,60248000.0,14991000.0,17843000.0,17843000.0,28154000.0,28154000.0,114957000.0,42451000.0,37419000.0,37419000.0,12525000.0,22562000.0,12821000.0,9741000.0,9741000.0,1535712000.0,585491000.0,2476000.0,63292000.0,63292000.0,71181000.0,213369000.0,59325000.0,43790000.0,15535000.0,175848000.0,-123388000.0,299236000.0,11728000.0,30567000.0,152052000.0,102247000.0,2642000.0,0.0,950221000.0,37193000.0,174245000.0,55030000.0,3770000.0,115445000.0,92677000.0,92677000.0,646106000.0,487812000.0,158294000.0,,,2023-03-31
1365648.0,200000.0,47341284.0,48706932.0,27195000.0,1217421000.0,1338764000.0,797415000.0,1217423000.0,27195000.0,1338764000.0,2000.0,1338766000.0,1338766000.0,1338766000.0,-16312000.0,-16312000.0,41284000.0,709372000.0,686501000.0,489000.0,487000.0,2000.0,202089000.0,121357000.0,54000.0,60707000.0,60707000.0,14991000.0,18410000.0,18410000.0,27195000.0,27195000.0,80732000.0,8598000.0,29732000.0,29732000.0,18958000.0,23444000.0,16114000.0,7330000.0,7330000.0,1540855000.0,662708000.0,2572000.0,70364000.0,70364000.0,70016000.0,211361000.0,121343000.0,105808000.0,15535000.0,187052000.0,-130099000.0,317151000.0,15619000.0,29486000.0,156353000.0,110314000.0,5379000.0,0.0,878147000.0,33753000.0,175855000.0,50455000.0,6152000.0,119248000.0,109390000.0,109390000.0,559149000.0,465679000.0,93470000.0,,,2023-06-30
1365648.0,200000.0,47354882.0,48720530.0,23380000.0,1265078000.0,1382364000.0,747372000.0,1265080000.0,23380000.0,1382364000.0,2000.0,1382366000.0,1382366000.0,1382366000.0,-14965000.0,-14965000.0,41284000.0,744227000.0,693899000.0,489000.0,487000.0,2000.0,240550000.0,109207000.0,54000.0,61165000.0,61165000.0,15749000.0,8859000.0,8859000.0,23380000.0,23380000.0,131343000.0,5391000.0,66828000.0,66828000.0,22685000.0,36439000.0,15815000.0,20624000.0,20624000.0,1622916000.0,744201000.0,2228000.0,49637000.0,49637000.0,73898000.0,301193000.0,117286000.0,101751000.0,15535000.0,199959000.0,-137020000.0,336979000.0,20898000.0,25321000.0,163002000.0,118365000.0,9393000.0,0.0,878715000.0,83444000.0,181406000.0,53816000.0,7494000.0,120096000.0,122192000.0,122192000.0,491673000.0,412350000.0,79323000.0,1773000.0,77550000.0,2023-09-30
1365648.0,200000.0,47365378.0,48731026.0,22855000.0,1334490000.0,1447224000.0,798310000.0,1334492000.0,22855000.0,1447224000.0,2000.0,1447226000.0,1447226000.0,1447226000.0,-1086000.0,-1086000.0,41284000.0,789553000.0,699554000.0,489000.0,487000.0,2000.0,221735000.0,102913000.0,54000.0,52249000.0,52249000.0,15749000.0,12006000.0,12006000.0,22855000.0,22855000.0,118822000.0,8096000.0,47713000.0,47713000.0,29456000.0,33557000.0,22624000.0,10933000.0,10933000.0,1668961000.0,751829000.0,1881000.0,59108000.0,59108000.0,78498000.0,299548000.0,112734000.0,97199000.0,15535000.0,200060000.0,-143908000.0,343968000.0,22490000.0,24910000.0,167435000.0,116903000.0,12230000.0,0.0,917132000.0,87365000.0,175795000.0,52962000.0,9433000.0,113400000.0,139850000.0,139850000.0,514122000.0,422137000.0,91985000.0,,,2023-12-31
