tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,gain_on_sale_of_business,restructuring_and_mergern_acquisition,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,insurance_and_claims,salaries_and_wages,total_revenue,operating_revenue,date
47779370.273584,0.242674,196887000.0,196887000.0,765371000.0,101217000.0,1827374000.0,244835000.0,2072209000.0,616263370.273584,765371000.0,172149000.0,171093981.0,4.29,4.32,739074000.0,5000.0,739069000.0,1362000.0,24940000.0,765371000.0,765371000.0,765371000.0,245252000.0,1010623000.0,196887000.0,,-196887000.0,-3773000.0,17600000.0,17600000.0,17600000.0,17600000.0,753975000.0,32691000.0,721284000.0,24008000.0,697276000.0,2508911000.0,2508911000.0,2022-12-31
0.0,0.242443,0.0,0.0,701624000.0,112541000.0,1818264000.0,508721000.0,2326985000.0,701624000.0,701624000.0,168410000.0,167732000.0,4.01,4.03,675511000.0,3000.0,675508000.0,1175000.0,24941000.0,701624000.0,701624000.0,701624000.0,224543000.0,926167000.0,0.0,,0.0,-416000.0,17208000.0,17208000.0,17208000.0,17208000.0,868763000.0,31063000.0,837700000.0,29758000.0,807942000.0,2405397000.0,2405397000.0,2023-03-31
56700000.0,0.252,225000000.0,225000000.0,867034000.0,125860000.0,1799129000.0,716496000.0,2515625000.0,698734000.0,867034000.0,166320000.0,165842000.0,5.05,5.07,840524000.0,4000.0,840520000.0,1574000.0,24940000.0,867034000.0,867034000.0,867034000.0,292707000.0,1159741000.0,225000000.0,225000000.0,0.0,1004000.0,14945000.0,14945000.0,14945000.0,14945000.0,793950000.0,28353000.0,765597000.0,27932000.0,737665000.0,2377300000.0,2377300000.0,2023-06-30
0.0,0.239677,0.0,0.0,689941000.0,129283000.0,1775388000.0,866011000.0,2641399000.0,689941000.0,689941000.0,166570000.0,165909000.0,3.98,4.0,663766000.0,3000.0,663763000.0,1237000.0,24941000.0,689941000.0,689941000.0,689941000.0,217490000.0,907431000.0,0.0,0.0,0.0,-235000.0,14946000.0,14946000.0,14946000.0,14946000.0,779202000.0,22898000.0,756304000.0,29364000.0,726940000.0,2334969000.0,2334969000.0,2023-09-30
-45107845.942132,0.228974,-197000000.0,-197000000.0,482401000.0,129316000.0,1722219000.0,1017772000.0,2739991000.0,634293154.057868,482401000.0,166731000.0,166181818.0,2.74,2.75,456188000.0,,456198000.0,1025000.0,25178000.0,482401000.0,482401000.0,482401000.0,143260000.0,625661000.0,-197000000.0,,-225000000.0,3647000.0,14901000.0,14901000.0,14901000.0,14901000.0,781085000.0,25686000.0,755399000.0,30946000.0,724453000.0,2280334000.0,2280334000.0,2023-12-31
