tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,net_non_operating_interest_income_expense,total_other_finance_cost,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-4795430.867068,0.310927,56499000.0,-15423000.0,-15423000.0,10077000.0,11029000.0,126602000.0,41076000.0,30047000.0,0.0,0.0,20704569.132932,10077000.0,162046000.0,14624000.0,109187280.0,109042968.0,0.09,0.09,10077000.0,10077000.0,10077000.0,10077000.0,10077000.0,4547000.0,14624000.0,-15423000.0,0.0,,0.0,30047000.0,35444000.0,35444000.0,65491000.0,126602000.0,192093000.0,192093000.0,2022-12-31
0.0,0.252,68863000.0,,,41131000.0,11915000.0,144290000.0,68863000.0,56948000.0,-1985000.0,,41131000.0,41131000.0,181770000.0,56948000.0,108916261.0,108771958.0,0.38,0.38,41131000.0,41131000.0,41131000.0,41131000.0,41131000.0,13832000.0,54963000.0,,-1985000.0,1985000.0,,56948000.0,37480000.0,37480000.0,94428000.0,144290000.0,238718000.0,238718000.0,2023-03-31
0.0,0.255,117050000.0,,,77036000.0,12283000.0,200090000.0,117050000.0,104767000.0,-1305000.0,,77036000.0,77036000.0,251771000.0,104767000.0,108871440.0,108770204.0,0.71,0.71,77036000.0,77036000.0,77036000.0,77036000.0,77036000.0,26426000.0,103462000.0,,-1305000.0,1305000.0,,104767000.0,51681000.0,51681000.0,156448000.0,200090000.0,356538000.0,356538000.0,2023-06-30
0.0,0.251,99359000.0,,,65266000.0,12996000.0,172941000.0,99359000.0,86363000.0,734000.0,,65266000.0,65266000.0,217473000.0,86363000.0,108702495.0,108583009.0,0.6,0.6,65266000.0,65266000.0,65266000.0,65266000.0,65266000.0,21831000.0,87097000.0,,734000.0,-734000.0,,86363000.0,44532000.0,44532000.0,130895000.0,172941000.0,303836000.0,303836000.0,2023-09-30
0.0,0.284448,41122000.0,,,21951000.0,12995000.0,125109000.0,41122000.0,28127000.0,2550000.0,,21951000.0,21951000.0,167618000.0,28127000.0,108750379.0,108599628.0,0.2,0.2,21951000.0,21951000.0,21951000.0,21951000.0,21951000.0,8726000.0,30677000.0,,2550000.0,-2550000.0,,28127000.0,42509000.0,42509000.0,70636000.0,125109000.0,195745000.0,195745000.0,2023-12-31
