tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,write_off,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-1481481.481481,0.21164,269000000.0,-7000000.0,-7000000.0,149000000.0,60000000.0,933000000.0,262000000.0,202000000.0,3000000.0,13000000.0,154518518.518519,149000000.0,1302000000.0,197000000.0,,,,,149000000.0,149000000.0,149000000.0,149000000.0,149000000.0,40000000.0,189000000.0,-18000000.0,-11000000.0,-7000000.0,0.0,1000000.0,6000000.0,3000000.0,13000000.0,204000000.0,369000000.0,54000000.0,315000000.0,315000000.0,315000000.0,0.0,573000000.0,933000000.0,1506000000.0,1506000000.0,2022-12-31
-1736000.0,0.217,203000000.0,-8000000.0,-8000000.0,99000000.0,60000000.0,902000000.0,195000000.0,135000000.0,-9000000.0,9000000.0,105264000.0,99000000.0,1309000000.0,131000000.0,181300000.0,180400000.0,0.54,0.55,99000000.0,99000000.0,99000000.0,99000000.0,99000000.0,27000000.0,126000000.0,-4000000.0,4000000.0,-8000000.0,0.0,2000000.0,6000000.0,-9000000.0,9000000.0,139000000.0,407000000.0,53000000.0,354000000.0,354000000.0,354000000.0,,546000000.0,902000000.0,1448000000.0,1448000000.0,2023-03-31
-5348000.0,0.191,246000000.0,-28000000.0,-28000000.0,92000000.0,92000000.0,1071000000.0,218000000.0,126000000.0,-12000000.0,12000000.0,114652000.0,92000000.0,1575000000.0,119000000.0,206700000.0,205500000.0,0.45,0.45,92000000.0,92000000.0,92000000.0,92000000.0,92000000.0,22000000.0,114000000.0,-21000000.0,7000000.0,-28000000.0,0.0,0.0,28000000.0,-12000000.0,12000000.0,147000000.0,504000000.0,58000000.0,446000000.0,446000000.0,446000000.0,,651000000.0,1071000000.0,1722000000.0,1722000000.0,2023-06-30
-3738000.0,0.178,367000000.0,-21000000.0,-21000000.0,152000000.0,147000000.0,1312000000.0,346000000.0,199000000.0,-14000000.0,14000000.0,169262000.0,152000000.0,1864000000.0,191000000.0,242189000.0,240870000.0,0.63,0.63,152000000.0,152000000.0,152000000.0,152000000.0,152000000.0,33000000.0,185000000.0,-13000000.0,8000000.0,-21000000.0,0.0,4000000.0,17000000.0,-14000000.0,14000000.0,212000000.0,552000000.0,61000000.0,491000000.0,491000000.0,491000000.0,0.0,764000000.0,1312000000.0,2076000000.0,2076000000.0,2023-09-30
-4200000.0,0.21,381000000.0,-20000000.0,-20000000.0,266000000.0,137000000.0,1362000000.0,361000000.0,224000000.0,14000000.0,14000000.0,281800000.0,266000000.0,1888000000.0,211000000.0,,,,,266000000.0,266000000.0,266000000.0,266000000.0,266000000.0,-56000000.0,210000000.0,-34000000.0,-14000000.0,-20000000.0,-1000000.0,-2000000.0,21000000.0,14000000.0,14000000.0,230000000.0,526000000.0,60000000.0,466000000.0,466000000.0,466000000.0,0.0,756000000.0,1362000000.0,2118000000.0,2118000000.0,2023-12-31
