treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,current_deferred_assets,restricted_cash,prepaid_assets,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,55768000.0,55768000.0,73860000.0,464696000.0,677767000.0,119919000.0,464696000.0,73860000.0,677767000.0,677767000.0,677767000.0,677767000.0,-4159000.0,-4159000.0,371820000.0,310050000.0,56000.0,56000.0,0.0,3260006000.0,70903000.0,3333000.0,2217000.0,2217000.0,65353000.0,65353000.0,3189103000.0,3065697000.0,23538000.0,23538000.0,8507000.0,8507000.0,91361000.0,83750000.0,7611000.0,7611000.0,3937773000.0,628751000.0,6727000.0,6727000.0,302843000.0,40530000.0,213071000.0,111017000.0,102054000.0,106110000.0,-76710000.0,182820000.0,47723000.0,54067000.0,81030000.0,0.0,3309022000.0,30175000.0,68557000.0,3065697000.0,30175000.0,24540000.0,24540000.0,-1313000.0,25853000.0,120053000.0,120053000.0,2022-12-31
,55810000.0,55810000.0,71723000.0,551154000.0,768746000.0,211346000.0,551154000.0,71723000.0,768746000.0,768746000.0,768746000.0,768746000.0,-2240000.0,-2240000.0,429436000.0,341494000.0,56000.0,56000.0,0.0,3424771000.0,70107000.0,3830000.0,2217000.0,2217000.0,64060000.0,64060000.0,3354664000.0,3202415000.0,23475000.0,23475000.0,7663000.0,7663000.0,121111000.0,113143000.0,7968000.0,7968000.0,4193517000.0,627507000.0,6842000.0,6842000.0,298000000.0,17690000.0,217592000.0,115538000.0,102054000.0,105073000.0,-77887000.0,182960000.0,47738000.0,52957000.0,82265000.0,0.0,3566010000.0,28880000.0,73574000.0,3202415000.0,,27449000.0,27449000.0,-1522000.0,28971000.0,233692000.0,233692000.0,2023-03-31
,55912000.0,55912000.0,70271000.0,620155000.0,842863000.0,273642000.0,620155000.0,70271000.0,842863000.0,842863000.0,842863000.0,842863000.0,-4515000.0,-4515000.0,466690000.0,380632000.0,56000.0,56000.0,0.0,2852817000.0,78022000.0,3731000.0,11820000.0,11820000.0,62471000.0,62471000.0,2774795000.0,2625355000.0,24539000.0,24539000.0,7800000.0,7800000.0,117101000.0,110948000.0,6153000.0,6153000.0,3695680000.0,647243000.0,6331000.0,6331000.0,310068000.0,15846000.0,222708000.0,120654000.0,102054000.0,108136000.0,-77886000.0,186022000.0,48159000.0,52600000.0,85263000.0,0.0,3048437000.0,35061000.0,78109000.0,2621415000.0,,25085000.0,25085000.0,-1620000.0,26705000.0,288767000.0,288767000.0,2023-06-30
0.0,56167000.0,56167000.0,69007000.0,663072000.0,892639000.0,310673000.0,663072000.0,69007000.0,892639000.0,892639000.0,892639000.0,892639000.0,-4395000.0,-4395000.0,501207000.0,395771000.0,56000.0,56000.0,0.0,2754138000.0,81907000.0,3584000.0,17739000.0,17739000.0,60584000.0,60584000.0,2672231000.0,2531789000.0,26141000.0,26141000.0,8423000.0,8423000.0,105878000.0,97129000.0,8749000.0,8749000.0,3646777000.0,663873000.0,5925000.0,,322150000.0,16362000.0,229567000.0,127513000.0,102054000.0,106231000.0,-80665000.0,186896000.0,48643000.0,51811000.0,86442000.0,0.0,2982904000.0,36971000.0,82438000.0,2528353000.0,,30111000.0,30111000.0,-1752000.0,31863000.0,305031000.0,305031000.0,2023-09-30
0.0,56313000.0,56313000.0,59160000.0,741468000.0,986773000.0,383833000.0,741468000.0,59160000.0,986773000.0,986773000.0,986773000.0,986773000.0,534000.0,534000.0,539323000.0,446860000.0,56000.0,56000.0,0.0,3505947000.0,83082000.0,4177000.0,27942000.0,27942000.0,50963000.0,50963000.0,3422865000.0,3267771000.0,30306000.0,30306000.0,8197000.0,8197000.0,116591000.0,108618000.0,7973000.0,7973000.0,4492720000.0,686022000.0,5567000.0,,334559000.0,16644000.0,245305000.0,135747000.0,109558000.0,100591000.0,-84960000.0,185551000.0,48829000.0,46699000.0,90023000.0,0.0,3806698000.0,48517000.0,87065000.0,3271736000.0,,32476000.0,32476000.0,-1769000.0,34245000.0,366904000.0,366904000.0,2023-12-31
