tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.22527,0.0,0.0,279600000.0,27000000.0,408100000.0,-47200000.0,47200000.0,279600000.0,279600000.0,2629400000.0,200904100.0,198825400.0,1.39,1.41,279600000.0,279600000.0,279600000.0,279600000.0,279600000.0,81300000.0,360900000.0,,0.0,0.0,-47200000.0,47200000.0,271900000.0,295400000.0,295400000.0,295400000.0,2990300000.0,2990300000.0,2022-12-31
0.0,0.206,,,358300000.0,26800000.0,499400000.0,-48100000.0,48100000.0,358300000.0,358300000.0,2571200000.0,199520100.0,198111200.0,1.8,1.81,358300000.0,358300000.0,358300000.0,358300000.0,358300000.0,93000000.0,451300000.0,67900000.0,,,-48100000.0,48100000.0,273900000.0,275000000.0,275000000.0,275000000.0,3022500000.0,3022500000.0,2023-03-31
0.0,0.212,,,392900000.0,26000000.0,547300000.0,-48900000.0,48900000.0,392900000.0,392900000.0,2595100000.0,198136500.0,197180400.0,1.98,1.99,392900000.0,392900000.0,392900000.0,392900000.0,392900000.0,105500000.0,498400000.0,71100000.0,,,-48900000.0,48900000.0,274700000.0,294400000.0,294400000.0,294400000.0,3093500000.0,3093500000.0,2023-06-30
0.0,0.228,0.0,0.0,202000000.0,28100000.0,310300000.0,-48600000.0,48600000.0,202000000.0,202000000.0,2807300000.0,197131800.0,196083200.0,1.02,1.03,202000000.0,202000000.0,202000000.0,202000000.0,202000000.0,59700000.0,261700000.0,71600000.0,0.0,,-48600000.0,48600000.0,270900000.0,297900000.0,297900000.0,297900000.0,3069000000.0,3069000000.0,2023-09-30
0.0,0.228831,0.0,0.0,330600000.0,27900000.0,477900000.0,-49200000.0,49200000.0,330600000.0,330600000.0,2695000000.0,,,,,330600000.0,330600000.0,330600000.0,330600000.0,330600000.0,98100000.0,428700000.0,,0.0,,-49200000.0,49200000.0,293400000.0,295300000.0,295300000.0,295300000.0,3123700000.0,3123700000.0,2023-12-31
