tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,impairment_of_capital_assets,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-59965986.394558,0.278912,-885000000.0,-215000000.0,-215000000.0,-954000000.0,131000000.0,3106000000.0,-1100000000.0,-1231000000.0,-92000000.0,92000000.0,-798965986.394558,-954000000.0,3748000000.0,-1204000000.0,-954000000.0,-954000000.0,-954000000.0,0.0,-954000000.0,-954000000.0,-369000000.0,-1323000000.0,-242000000.0,-28000000.0,-215000000.0,-215000000.0,,1000000.0,-92000000.0,92000000.0,-989000000.0,642000000.0,-18000000.0,131000000.0,131000000.0,529000000.0,529000000.0,529000000.0,-347000000.0,3106000000.0,2759000000.0,2759000000.0,2022-12-31
0.0,0.329268,389000000.0,0.0,0.0,110000000.0,132000000.0,2148000000.0,389000000.0,257000000.0,-93000000.0,93000000.0,110000000.0,110000000.0,2851000000.0,255000000.0,110000000.0,110000000.0,110000000.0,0.0,110000000.0,110000000.0,54000000.0,164000000.0,2000000.0,2000000.0,0.0,0.0,,0.0,-93000000.0,93000000.0,255000000.0,703000000.0,-16000000.0,132000000.0,132000000.0,587000000.0,587000000.0,587000000.0,958000000.0,2148000000.0,3106000000.0,3106000000.0,2023-03-31
0.0,0.05509,-605000000.0,,,-789000000.0,134000000.0,,-605000000.0,-739000000.0,,96000000.0,-789000000.0,-789000000.0,,-732000000.0,-789000000.0,-789000000.0,-789000000.0,0.0,-789000000.0,-789000000.0,-46000000.0,-835000000.0,,,,0.0,656000000.0,1000000.0,,96000000.0,-732000000.0,,,,134000000.0,,,,,,1659000000.0,1659000000.0,2023-06-30
0.0,0.165605,390000000.0,,,131000000.0,135000000.0,,390000000.0,255000000.0,,98000000.0,131000000.0,131000000.0,,237000000.0,131000000.0,131000000.0,131000000.0,0.0,131000000.0,131000000.0,26000000.0,157000000.0,,,,-6000000.0,0.0,0.0,,98000000.0,1023000000.0,,,,135000000.0,,,,,,1404000000.0,1404000000.0,2023-09-30
-6066666.666667,0.216667,385000000.0,-28000000.0,-28000000.0,94000000.0,137000000.0,1202000000.0,357000000.0,220000000.0,-100000000.0,100000000.0,115933333.333333,94000000.0,1861000000.0,232000000.0,94000000.0,94000000.0,94000000.0,,94000000.0,94000000.0,26000000.0,120000000.0,-40000000.0,-13000000.0,-28000000.0,-28000000.0,,1000000.0,-100000000.0,100000000.0,260000000.0,659000000.0,-8000000.0,137000000.0,137000000.0,530000000.0,530000000.0,530000000.0,919000000.0,1202000000.0,2121000000.0,2121000000.0,2023-12-31
