treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,foreign_currency_translation_adjustments,minimum_pension_liabilities,treasury_stock,retained_earnings,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,derivative_product_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,financial_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,current_assets,other_current_assets,hedging_assets_current,assets_held_for_sale_current,restricted_cash,prepaid_assets,inventory,other_inventories,receivables,taxes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
978282.0,209643688.0,210621970.0,7399000000.0,7716000000.0,828000000.0,12729000000.0,76000000.0,995000000.0,5013000000.0,167000000.0,11503000000.0,5188000000.0,8000000.0,5180000000.0,-231000000.0,-231000000.0,,,46000000.0,3808000000.0,1649000000.0,1482000000.0,167000000.0,11940000000.0,8560000000.0,1243000000.0,36000000.0,958000000.0,958000000.0,6323000000.0,6323000000.0,3380000000.0,973000000.0,,,1393000000.0,1393000000.0,1393000000.0,,1014000000.0,,1014000000.0,1014000000.0,17128000000.0,13672000000.0,810000000.0,187000000.0,4185000000.0,488000000.0,3697000000.0,8176000000.0,-4344000000.0,12520000000.0,,,3456000000.0,,238000000.0,0.0,227000000.0,280000000.0,618000000.0,517000000.0,1776000000.0,51000000.0,1578000000.0,-69000000.0,1647000000.0,317000000.0,317000000.0,2022-12-31
978282.0,209751795.0,210730077.0,6896000000.0,7217000000.0,857000000.0,12255000000.0,487000000.0,1024000000.0,5038000000.0,167000000.0,11907000000.0,5214000000.0,9000000.0,5205000000.0,-241000000.0,15000000.0,-270000000.0,14000000.0,55000000.0,3842000000.0,1659000000.0,1492000000.0,167000000.0,11215000000.0,8942000000.0,1234000000.0,48000000.0,958000000.0,958000000.0,6702000000.0,6702000000.0,2273000000.0,1001000000.0,,,515000000.0,515000000.0,515000000.0,,757000000.0,,757000000.0,757000000.0,16429000000.0,13669000000.0,852000000.0,67000000.0,4181000000.0,472000000.0,3709000000.0,8255000000.0,-4427000000.0,12682000000.0,,,2760000000.0,189000000.0,110000000.0,8000000.0,82000000.0,,433000000.0,326000000.0,1617000000.0,36000000.0,1487000000.0,-80000000.0,1567000000.0,321000000.0,321000000.0,2023-03-31
978282.0,209904270.0,210882552.0,6856000000.0,7116000000.0,677000000.0,11313000000.0,-48000000.0,844000000.0,4197000000.0,167000000.0,10943000000.0,4373000000.0,9000000.0,4364000000.0,-222000000.0,27000000.0,-262000000.0,13000000.0,55000000.0,2974000000.0,1667000000.0,1500000000.0,167000000.0,10870000000.0,8787000000.0,1256000000.0,47000000.0,905000000.0,905000000.0,6579000000.0,6579000000.0,2083000000.0,1005000000.0,,,537000000.0,537000000.0,537000000.0,,541000000.0,,541000000.0,541000000.0,15243000000.0,13208000000.0,925000000.0,59000000.0,3520000000.0,460000000.0,3060000000.0,8394000000.0,-4536000000.0,12930000000.0,,,2035000000.0,172000000.0,31000000.0,64000000.0,78000000.0,,410000000.0,294000000.0,1020000000.0,36000000.0,955000000.0,-87000000.0,1042000000.0,260000000.0,260000000.0,2023-06-30
1410969.0,209495083.0,210906052.0,7008000000.0,7249000000.0,749000000.0,11468000000.0,-229000000.0,916000000.0,4219000000.0,167000000.0,10929000000.0,4394000000.0,8000000.0,4386000000.0,-256000000.0,-256000000.0,,,55000000.0,3027000000.0,1670000000.0,1503000000.0,167000000.0,11007000000.0,8733000000.0,1235000000.0,27000000.0,928000000.0,928000000.0,6543000000.0,6543000000.0,2274000000.0,581000000.0,232000000.0,232000000.0,706000000.0,706000000.0,57000000.0,649000000.0,755000000.0,142000000.0,613000000.0,613000000.0,15401000000.0,13356000000.0,988000000.0,49000000.0,3470000000.0,443000000.0,3027000000.0,8547000000.0,-4581000000.0,13128000000.0,251000000.0,6890000000.0,2045000000.0,114000000.0,75000000.0,13000000.0,99000000.0,123000000.0,433000000.0,331000000.0,947000000.0,36000000.0,878000000.0,-71000000.0,949000000.0,241000000.0,241000000.0,2023-09-30
1410969.0,209497269.0,210908238.0,7176000000.0,7380000000.0,756000000.0,11636000000.0,-56000000.0,923000000.0,4256000000.0,167000000.0,11192000000.0,4432000000.0,9000000.0,4423000000.0,-232000000.0,-232000000.0,,,55000000.0,3042000000.0,1668000000.0,1501000000.0,167000000.0,11284000000.0,8943000000.0,1212000000.0,49000000.0,913000000.0,913000000.0,6769000000.0,6769000000.0,2341000000.0,989000000.0,,,611000000.0,611000000.0,54000000.0,557000000.0,741000000.0,,741000000.0,741000000.0,15716000000.0,13431000000.0,1017000000.0,15000000.0,3500000000.0,430000000.0,3070000000.0,8601000000.0,-4709000000.0,13310000000.0,,,2285000000.0,193000000.0,41000000.0,,98000000.0,,441000000.0,334000000.0,1308000000.0,,1188000000.0,-77000000.0,1265000000.0,204000000.0,204000000.0,2023-12-31
