treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,commercial_paper,payables_and_accrued_expenses,current_accrued_expenses,payables,other_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,investments_and_advances,available_for_sale_securities,trading_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,prepaid_assets,receivables,other_receivables,accounts_receivable,cash_and_cash_equivalents,cash_financial,date
231754893.0,3001807708.0,3233562601.0,7105237000000.0,11403747000000.0,3102717000000.0,14353715000000.0,3102717000000.0,188858000000.0,3138826000000.0,13274668000000.0,3199908000000.0,61082000000.0,3138826000000.0,290071000000.0,119543000000.0,1675557000000.0,698248000000.0,594493000000.0,594493000000.0,46042518000000.0,10324700000000.0,188858000000.0,10135842000000.0,1079047000000.0,1079047000000.0,1079047000000.0,,3840761000000.0,483871000000.0,3356890000000.0,1893830000000.0,23209000000.0,23209000000.0,1439851000000.0,49242426000000.0,13110969000000.0,701310000000.0,11977692000000.0,431967000000.0,36109000000.0,,,445337000000.0,-461317000000.0,906654000000.0,19315000000.0,2034909000000.0,1697272000000.0,337637000000.0,4109652000000.0,3395791000000.0,2022-12-31
229883277.0,3003679324.0,3233562601.0,7220823000000.0,11935953000000.0,3112373000000.0,14890637000000.0,3112373000000.0,193883000000.0,3148567000000.0,13882096000000.0,3224142000000.0,75575000000.0,3148567000000.0,318454000000.0,118574000000.0,1647005000000.0,707189000000.0,594493000000.0,594493000000.0,44547660000000.0,10927412000000.0,193883000000.0,10733529000000.0,1008541000000.0,1008541000000.0,708548000000.0,299993000000.0,3681278000000.0,479491000000.0,3201787000000.0,1799585000000.0,42254000000.0,42254000000.0,1359948000000.0,47771802000000.0,13033467000000.0,683933000000.0,11853308000000.0,496226000000.0,36194000000.0,18556000000.0,17638000000.0,464316000000.0,-459954000000.0,924270000000.0,19727000000.0,1496103000000.0,1116192000000.0,379911000000.0,4521247000000.0,3820685000000.0,2023-03-31
115302926.0,3048259675.0,3163562601.0,7386397000000.0,12347228000000.0,3226533000000.0,15411555000000.0,3226533000000.0,201109000000.0,3265436000000.0,14584237000000.0,3345839000000.0,80403000000.0,3265436000000.0,418102000000.0,59667000000.0,1631772000000.0,680736000000.0,594493000000.0,594493000000.0,49147402000000.0,11519910000000.0,201109000000.0,11318801000000.0,827318000000.0,827318000000.0,827318000000.0,,4430302000000.0,432298000000.0,3998004000000.0,2444351000000.0,30955000000.0,30955000000.0,1522698000000.0,52493241000000.0,14275744000000.0,723994000000.0,13026907000000.0,524843000000.0,38903000000.0,,,460045000000.0,-492259000000.0,952304000000.0,28165000000.0,1455516000000.0,1116737000000.0,338779000000.0,4759722000000.0,4051661000000.0,2023-06-30
149502869.0,3014059732.0,3163562601.0,7921713000000.0,12998781000000.0,3250513000000.0,16089959000000.0,3250513000000.0,200262000000.0,3291440000000.0,15024881000000.0,3372248000000.0,80808000000.0,3291440000000.0,442562000000.0,79375000000.0,1642918000000.0,690842000000.0,594493000000.0,594493000000.0,51443045000000.0,11933703000000.0,200262000000.0,11733441000000.0,1065078000000.0,1065078000000.0,1065078000000.0,,4420739000000.0,484410000000.0,3936329000000.0,2560594000000.0,46959000000.0,46959000000.0,1328776000000.0,54815293000000.0,14007280000000.0,757158000000.0,12694874000000.0,555248000000.0,40927000000.0,,,462873000000.0,-509094000000.0,971967000000.0,29016000000.0,1661149000000.0,1321037000000.0,340112000000.0,4876806000000.0,4105049000000.0,2023-09-30
149144457.0,3014418144.0,3163562601.0,7857864000000.0,13156731000000.0,3238154000000.0,16249478000000.0,3238154000000.0,186777000000.0,3279524000000.0,15374847000000.0,3360649000000.0,81125000000.0,3279524000000.0,370507000000.0,79190000000.0,1693511000000.0,700203000000.0,594493000000.0,594493000000.0,51392086000000.0,12282100000000.0,186777000000.0,12095323000000.0,874631000000.0,874631000000.0,874631000000.0,,4501106000000.0,557921000000.0,3943185000000.0,2441592000000.0,56313000000.0,56313000000.0,1445280000000.0,54752735000000.0,12547800000000.0,702887000000.0,11288062000000.0,556851000000.0,41370000000.0,,,466800000000.0,-502837000000.0,969637000000.0,23660000000.0,1833306000000.0,1511398000000.0,321908000000.0,5112090000000.0,4337014000000.0,2023-12-31
