tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,gain_on_sale_of_business,other_special_charges,gain_on_sale_of_security,selling_general_and_administration,general_and_administrative_expense,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.211,,,66944000000.0,16076000000.0,-5300000000.0,378583000000.0,373283000000.0,66944000000.0,66944000000.0,3162926476.0,3001497064.0,21.51,22.3,66944000000.0,,66944000000.0,66944000000.0,1007000000.0,65937000000.0,65937000000.0,17629000000.0,83566000000.0,,,,8694000000.0,156275000000.0,156275000000.0,156275000000.0,361383000000.0,361383000000.0,2022-12-31
0.0,0.232,,,7375000000.0,14993000000.0,-10267000000.0,445732000000.0,435465000000.0,7375000000.0,7375000000.0,,,,,7195000000.0,,7375000000.0,7375000000.0,-1228000000.0,8603000000.0,8603000000.0,14088000000.0,22691000000.0,,,,6446000000.0,155557000000.0,155557000000.0,155557000000.0,223273000000.0,223273000000.0,2023-03-31
-56608000.0,0.232,-244000000.0,-244000000.0,23331000000.0,14993000000.0,5211000000.0,544440000000.0,549651000000.0,23518392000.0,23331000000.0,3143824702.0,3025892670.0,7.4,7.71,23250000000.0,-81000000.0,23331000000.0,23331000000.0,-2551000000.0,25882000000.0,25882000000.0,20428000000.0,46310000000.0,-244000000.0,128000000.0,372000000.0,11664000000.0,158673000000.0,158673000000.0,158673000000.0,317420000000.0,317420000000.0,2023-06-30
0.0,0.373,,,35232000000.0,15034000000.0,13518000000.0,644940000000.0,658458000000.0,35232000000.0,35232000000.0,3140174302.0,3035142936.0,11.21,11.61,35202000000.0,-30000000.0,35232000000.0,35232000000.0,-353000000.0,35585000000.0,35585000000.0,21150000000.0,56735000000.0,,,,3915000000.0,167138000000.0,167138000000.0,167138000000.0,333424000000.0,333424000000.0,2023-09-30
0.0,0.338,,,50550000000.0,15383000000.0,6038000000.0,680262000000.0,686300000000.0,50550000000.0,50550000000.0,3137882054.0,3014259244.0,16.1,16.77,50550000000.0,,50550000000.0,50550000000.0,-1588000000.0,52138000000.0,52138000000.0,26573000000.0,78711000000.0,,,,-1468000000.0,170629000000.0,170629000000.0,170629000000.0,365910000000.0,365910000000.0,2023-12-31
