treasury_shares_number,preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,commercial_paper,payables_and_accrued_expenses,payables,other_payable,dividends_payable,total_tax_payable,income_tax_payable,total_assets,investments_and_advances,long_term_equity_investment,investments_in_other_ventures_under_equity_method,goodwill_and_other_intangible_assets,goodwill,receivables,taxes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,capital_lease_obligations,long_term_capital_lease_obligation
410733057.0,24072200.0,779098414.0,1189831471.0,,17980000000.0,17743000000.0,45020000000.0,17743000000.0,27040000000.0,44845000000.0,27287000000.0,247000000.0,27040000000.0,-27083000000.0,-27083000000.0,21458000000.0,41953000000.0,33616000000.0,12000000.0,12000000.0,0.0,639324000000.0,325000000.0,325000000.0,17805000000.0,17805000000.0,175000000.0,175000000.0,76000000.0,99000000.0,387000000.0,387000000.0,20937000000.0,387000000.0,,,666611000000.0,307481000000.0,14414000000.0,14414000000.0,9297000000.0,9297000000.0,17503000000.0,42000000.0,17461000000.0,301910000000.0,281715000000.0,20195000000.0,2022-12-31,,
422346002.0,24072200.0,769179074.0,1191525076.0,,17949000000.0,22815000000.0,50143000000.0,22815000000.0,32194000000.0,49975000000.0,32423000000.0,229000000.0,32194000000.0,-19147000000.0,-19147000000.0,22245000000.0,39957000000.0,33617000000.0,12000000.0,12000000.0,0.0,641843000000.0,1111000000.0,1111000000.0,17781000000.0,17781000000.0,168000000.0,168000000.0,168000000.0,,910000000.0,910000000.0,19863000000.0,356000000.0,554000000.0,554000000.0,674266000000.0,314233000000.0,14437000000.0,14437000000.0,9379000000.0,9379000000.0,18692000000.0,0.0,18692000000.0,306494000000.0,288038000000.0,18456000000.0,2023-03-31,,
434398687.0,96200000.0,757210115.0,1191608802.0,2482000000.0,17899000000.0,21000000000.0,48160000000.0,21000000000.0,30261000000.0,47960000000.0,30492000000.0,231000000.0,30261000000.0,-20386000000.0,-20386000000.0,22923000000.0,39928000000.0,33630000000.0,12000000.0,12000000.0,0.0,646787000000.0,752000000.0,752000000.0,17699000000.0,17699000000.0,200000000.0,200000000.0,200000000.0,,366000000.0,366000000.0,18806000000.0,366000000.0,,,677279000000.0,316473000000.0,14722000000.0,14722000000.0,9261000000.0,9261000000.0,18719000000.0,189000000.0,18530000000.0,306195000000.0,290778000000.0,15417000000.0,2023-06-30,,
447335915.0,96200000.0,744366475.0,1191702390.0,3884000000.0,18796000000.0,16549000000.0,44454000000.0,16549000000.0,25658000000.0,44293000000.0,25895000000.0,237000000.0,25658000000.0,-24254000000.0,-24254000000.0,23724000000.0,39958000000.0,33666000000.0,12000000.0,12000000.0,0.0,626225000000.0,128000000.0,128000000.0,18635000000.0,18635000000.0,161000000.0,161000000.0,161000000.0,,440000000.0,440000000.0,,381000000.0,59000000.0,59000000.0,652120000000.0,302819000000.0,14918000000.0,14918000000.0,9109000000.0,9109000000.0,19002000000.0,0.0,19002000000.0,292391000000.0,277479000000.0,14912000000.0,2023-09-30,,
461002540.0,96200000.0,730821111.0,1191823651.0,,18828000000.0,20779000000.0,48811000000.0,20779000000.0,30015000000.0,48692000000.0,30253000000.0,238000000.0,30015000000.0,-19242000000.0,-19242000000.0,24591000000.0,40146000000.0,33690000000.0,12000000.0,12000000.0,0.0,657331000000.0,927000000.0,927000000.0,18709000000.0,18677000000.0,119000000.0,119000000.0,119000000.0,0.0,386000000.0,386000000.0,,386000000.0,,,687584000000.0,313309000000.0,14764000000.0,14764000000.0,9236000000.0,9236000000.0,29161000000.0,190000000.0,28971000000.0,308096000000.0,287457000000.0,20639000000.0,2023-12-31,32000000.0,32000000.0
