tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,write_off,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,total_revenue,operating_revenue,date
-11019354.83871,0.393548,383000000.0,-28000000.0,-28000000.0,67000000.0,174000000.0,355000000.0,181000000.0,-26000000.0,26000000.0,83980645.16129,67000000.0,2286000000.0,577800000.0,576000000.0,0.12,0.12,67000000.0,67000000.0,67000000.0,-27000000.0,94000000.0,94000000.0,61000000.0,155000000.0,-54000000.0,3000000.0,-19000000.0,0.0,19000000.0,-29000000.0,-9000000.0,-26000000.0,26000000.0,235000000.0,2286000000.0,1294000000.0,174000000.0,174000000.0,818000000.0,2521000000.0,2362000000.0,2022-12-31
-8791208.791209,0.351648,324000000.0,-25000000.0,-25000000.0,50000000.0,183000000.0,299000000.0,116000000.0,-25000000.0,25000000.0,66208791.208791,50000000.0,2310000000.0,578000000.0,575000000.0,0.09,0.09,50000000.0,50000000.0,50000000.0,-9000000.0,59000000.0,59000000.0,32000000.0,91000000.0,-21000000.0,14000000.0,-25000000.0,0.0,25000000.0,-10000000.0,,-25000000.0,25000000.0,137000000.0,2310000000.0,1286000000.0,183000000.0,183000000.0,841000000.0,2447000000.0,2282000000.0,2023-03-31
-16380000.0,0.21,261000000.0,-78000000.0,-78000000.0,-8000000.0,178000000.0,183000000.0,5000000.0,-22000000.0,22000000.0,53620000.0,-8000000.0,2270000000.0,573000000.0,573000000.0,-0.01,-0.01,-8000000.0,-8000000.0,-8000000.0,24000000.0,-32000000.0,-32000000.0,15000000.0,-17000000.0,-158000000.0,,-85000000.0,0.0,85000000.0,-84000000.0,7000000.0,-22000000.0,22000000.0,163000000.0,2270000000.0,1271000000.0,178000000.0,178000000.0,821000000.0,2433000000.0,2271000000.0,2023-06-30
-21421052.631579,0.389474,344000000.0,-55000000.0,-55000000.0,30000000.0,171000000.0,289000000.0,118000000.0,-23000000.0,23000000.0,63578947.368421,30000000.0,2306000000.0,574000000.0,572000000.0,0.05,0.05,30000000.0,30000000.0,30000000.0,-28000000.0,58000000.0,58000000.0,37000000.0,95000000.0,-75000000.0,-18000000.0,-38000000.0,,38000000.0,-2000000.0,-17000000.0,-23000000.0,23000000.0,193000000.0,2306000000.0,1273000000.0,171000000.0,171000000.0,862000000.0,2499000000.0,2333000000.0,2023-09-30
339350.180505,0.33935,480000000.0,1000000.0,1000000.0,156000000.0,179000000.0,481000000.0,302000000.0,-25000000.0,25000000.0,155339350.180505,156000000.0,2292000000.0,573500000.0,571900000.0,0.27,0.27,156000000.0,156000000.0,156000000.0,-27000000.0,183000000.0,183000000.0,94000000.0,277000000.0,8000000.0,8000000.0,-13000000.0,,13000000.0,-1000000.0,14000000.0,-25000000.0,25000000.0,294000000.0,2292000000.0,1281000000.0,179000000.0,179000000.0,832000000.0,2586000000.0,2411000000.0,2023-12-31
