tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,total_revenue,operating_revenue,date
0.0,0.126761,496000000.0,595000000.0,-27000000.0,27000000.0,-2000000.0,496000000.0,496000000.0,2706000000.0,,,,,489000000.0,489000000.0,7000000.0,496000000.0,496000000.0,496000000.0,72000000.0,568000000.0,-31000000.0,-27000000.0,27000000.0,16000000.0,16000000.0,16000000.0,16000000.0,3274000000.0,3274000000.0,2022-12-31
0.0,0.105392,365000000.0,440000000.0,-32000000.0,32000000.0,0.0,365000000.0,365000000.0,2893000000.0,38700000.0,38700000.0,9.31,9.31,360000000.0,360000000.0,5000000.0,365000000.0,365000000.0,365000000.0,43000000.0,408000000.0,-79000000.0,-32000000.0,32000000.0,19000000.0,19000000.0,19000000.0,19000000.0,3300000000.0,3300000000.0,2023-03-31
0.0,0.106667,670000000.0,783000000.0,-33000000.0,33000000.0,2000000.0,670000000.0,670000000.0,2848000000.0,41200000.0,40700000.0,16.26,16.26,670000000.0,670000000.0,,670000000.0,670000000.0,670000000.0,80000000.0,750000000.0,38000000.0,-33000000.0,33000000.0,17000000.0,,,,3599000000.0,3599000000.0,2023-06-30
0.0,0.064828,678000000.0,759000000.0,-34000000.0,34000000.0,5000000.0,678000000.0,678000000.0,3206000000.0,42900000.0,42900000.0,15.63,15.63,678000000.0,678000000.0,,678000000.0,678000000.0,678000000.0,47000000.0,725000000.0,103000000.0,-34000000.0,34000000.0,19000000.0,,,,3932000000.0,3932000000.0,2023-09-30
0.0,0.21,804000000.0,306000000.0,-35000000.0,35000000.0,3000000.0,804000000.0,804000000.0,3362000000.0,43389099.0,43389099.0,18.53,18.53,775000000.0,775000000.0,,804000000.0,804000000.0,803000000.0,-532000000.0,271000000.0,-75000000.0,-35000000.0,35000000.0,18000000.0,,,,3632000000.0,3632000000.0,2023-12-31
