tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-254183.444713,0.02841,446693000.0,-8947000.0,-8947000.0,209538000.0,154449000.0,33086000.0,437746000.0,283297000.0,-67668000.0,67668000.0,218230816.555287,209538000.0,220002000.0,209822650.0,209281888.0,1.0,1.0,209538000.0,209538000.0,209538000.0,35000.0,209503000.0,209503000.0,6126000.0,215629000.0,100670000.0,103585000.0,-14792000.0,12734000.0,2058000.0,6032000.0,5845000.0,-67668000.0,67668000.0,182627000.0,173216000.0,140749000.0,140749000.0,32467000.0,32467000.0,22728000.0,9739000.0,355843000.0,46786000.0,402629000.0,394442000.0,2022-12-31
8680140.441271,0.04884,371110000.0,177725000.0,177725000.0,294380000.0,172079000.0,40428000.0,548835000.0,376756000.0,-67196000.0,67196000.0,125335140.441271,294380000.0,246721000.0,212345047.0,211951930.0,1.39,1.39,294380000.0,294380000.0,294380000.0,-61000.0,294441000.0,294441000.0,15119000.0,309560000.0,195687000.0,12726000.0,-24000.0,0.0,24000.0,5236000.0,177749000.0,-67196000.0,67196000.0,181069000.0,190623000.0,156409000.0,156409000.0,34214000.0,34214000.0,26448000.0,7766000.0,371692000.0,56098000.0,427790000.0,414316000.0,2023-03-31
25468.33733,0.065471,387510000.0,389000.0,389000.0,144620000.0,157702000.0,38783000.0,387899000.0,230197000.0,-75488000.0,75488000.0,144256468.33733,144620000.0,230268000.0,215184485.0,215075114.0,0.67,0.67,144620000.0,144620000.0,144620000.0,40000.0,144580000.0,144580000.0,10129000.0,154709000.0,7887000.0,3143000.0,-1419000.0,0.0,1419000.0,4355000.0,1808000.0,-75488000.0,75488000.0,222310000.0,177331000.0,143548000.0,143548000.0,33783000.0,33783000.0,24788000.0,8995000.0,399641000.0,52937000.0,452578000.0,447414000.0,2023-06-30
-662186.349345,0.039127,381730000.0,-16924000.0,-16924000.0,125040000.0,157743000.0,47214000.0,364806000.0,207063000.0,-76974000.0,76974000.0,141301813.650655,125040000.0,237265000.0,215252969.0,215097114.0,0.58,0.58,125040000.0,125040000.0,125040000.0,41000.0,124999000.0,124999000.0,5090000.0,130089000.0,-4225000.0,7721000.0,-19325000.0,15173000.0,4152000.0,4978000.0,2401000.0,-76974000.0,76974000.0,211288000.0,177079000.0,144771000.0,144771000.0,32308000.0,32308000.0,23258000.0,9050000.0,388367000.0,60186000.0,448553000.0,446146000.0,2023-09-30
5506940.49051,0.086821,307323000.0,63429000.0,63429000.0,144294000.0,140600000.0,41562000.0,370752000.0,230152000.0,-72194000.0,72194000.0,86371940.49051,144294000.0,212388000.0,,,,,144294000.0,144294000.0,144294000.0,50000.0,144244000.0,144244000.0,13714000.0,157958000.0,30103000.0,-38332000.0,-70597000.0,71238000.0,-641000.0,5006000.0,134026000.0,-72194000.0,72194000.0,200049000.0,159710000.0,129484000.0,129484000.0,30226000.0,30226000.0,21533000.0,8693000.0,359759000.0,52678000.0,412437000.0,409114000.0,2023-12-31
