tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,gain_on_sale_of_business,other_special_charges,write_off,impairment_of_capital_assets,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,insurance_and_claims,salaries_and_wages,total_revenue,operating_revenue,date
-1989926.385122,0.331654,-6000000.0,-6000000.0,1578000000.0,338000000.0,5342000000.0,,5342000000.0,1582010073.614878,1578000000.0,6575000000.0,6575000000.0,0.24,0.24,1578000000.0,1578000000.0,,1578000000.0,-147000000.0,1724000000.0,0.0,1724000000.0,856000000.0,2581000000.0,-6000000.0,,6000000.0,,,0.0,338000000.0,338000000.0,,,,2551000000.0,,2551000000.0,1001000000.0,,1550000000.0,6524000000.0,6524000000.0,2022-12-31
-167798913.043478,0.32269,-520000000.0,-520000000.0,1846000000.0,339000000.0,5642000000.0,4928000000.0,10570000000.0,2198201086.956522,1846000000.0,6030000000.0,6030000000.0,0.29,0.29,1772000000.0,1772000000.0,74000000.0,1846000000.0,-148000000.0,1994000000.0,0.0,1994000000.0,950000000.0,2944000000.0,-533000000.0,4000000.0,504000000.0,9000000.0,24000000.0,129000000.0,339000000.0,339000000.0,129000000.0,129000000.0,209000000.0,2554000000.0,81000000.0,2473000000.0,786000000.0,134000000.0,1553000000.0,8040000000.0,8040000000.0,2023-03-31
-109981120.201385,0.323474,-340000000.0,-340000000.0,2032000000.0,337000000.0,5768000000.0,5559000000.0,11326000000.0,2262018879.798615,2032000000.0,,,,,1958000000.0,1958000000.0,74000000.0,2032000000.0,-118000000.0,2150000000.0,0.0,2150000000.0,1028000000.0,3178000000.0,-362000000.0,4000000.0,390000000.0,-15000000.0,-17000000.0,23000000.0,337000000.0,337000000.0,132000000.0,132000000.0,206000000.0,2721000000.0,83000000.0,2638000000.0,755000000.0,323000000.0,1560000000.0,8038000000.0,8038000000.0,2023-06-30
-344300148.58841,0.364339,-945000000.0,-945000000.0,2083000000.0,378000000.0,6433000000.0,7434000000.0,13871000000.0,2683699851.41159,2083000000.0,,,,,2231000000.0,2231000000.0,,2083000000.0,-56000000.0,2139000000.0,0.0,2139000000.0,1226000000.0,3365000000.0,-951000000.0,,947000000.0,13000000.0,-3000000.0,-43000000.0,378000000.0,378000000.0,140000000.0,140000000.0,238000000.0,2840000000.0,95000000.0,2745000000.0,827000000.0,154000000.0,1764000000.0,9246000000.0,9246000000.0,2023-09-30
-13353001.364256,0.27251,-49000000.0,-49000000.0,2058000000.0,349000000.0,5246000000.0,,5246000000.0,2093646998.635744,2058000000.0,6236363636.0,6236363636.0,0.33,0.33,2058000000.0,2058000000.0,,2058000000.0,-75000000.0,2133000000.0,0.0,2133000000.0,799000000.0,2932000000.0,-49000000.0,,49000000.0,,,0.0,349000000.0,349000000.0,,,,2718000000.0,,2718000000.0,1025000000.0,,1693000000.0,7438000000.0,7438000000.0,2023-12-31
