tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,gain_on_sale_of_business,other_special_charges,write_off,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-17934000.0,0.21,1617100000.0,-85400000.0,-85400000.0,384300000.0,868900000.0,2177800000.0,1531700000.0,662800000.0,-394400000.0,394400000.0,451766000.0,384300000.0,4197100000.0,560100000.0,,,,,384300000.0,384300000.0,384300000.0,900000.0,383400000.0,383400000.0,29700000.0,-85300000.0,268400000.0,-21200000.0,64200000.0,-85400000.0,0.0,-100000000.0,-38500000.0,23900000.0,-394400000.0,394400000.0,684000000.0,1936400000.0,799100000.0,351300000.0,786000000.0,786000000.0,2620400000.0,2260700000.0,4881100000.0,4753400000.0,2022-12-31
-2148694.316436,0.026626,1662500000.0,-80700000.0,-80700000.0,397000000.0,775500000.0,2023700000.0,1581800000.0,806300000.0,-415700000.0,415700000.0,475551305.683564,397000000.0,3874100000.0,704800000.0,515598090.0,514176648.0,0.77,0.77,397000000.0,397000000.0,397000000.0,-3400000.0,400400000.0,400400000.0,20200000.0,10400000.0,390600000.0,-10500000.0,70200000.0,-80700000.0,,-112000000.0,-31300000.0,,-415700000.0,415700000.0,816800000.0,1850400000.0,680000000.0,394900000.0,775500000.0,775500000.0,2667200000.0,2023700000.0,4690900000.0,4598500000.0,2023-03-31
2232248.239101,0.054445,1685900000.0,41000000.0,41000000.0,521200000.0,741600000.0,1764600000.0,1726900000.0,985300000.0,-460000000.0,460000000.0,482432248.239101,521200000.0,3497800000.0,874700000.0,516242919.0,514879144.0,1.01,1.01,521200000.0,521200000.0,521200000.0,5100000.0,516100000.0,516100000.0,19400000.0,28600000.0,525300000.0,110600000.0,69600000.0,41000000.0,0.0,0.0,-41000000.0,,-460000000.0,460000000.0,874700000.0,1733200000.0,631200000.0,360400000.0,741600000.0,741600000.0,2607900000.0,1764600000.0,4372500000.0,4278000000.0,2023-06-30
3276687.974431,0.064123,2212700000.0,51100000.0,51100000.0,953700000.0,792300000.0,2082300000.0,2263800000.0,1471500000.0,-470300000.0,470300000.0,905876687.974431,953700000.0,3988400000.0,1353300000.0,521444125.0,520459880.0,1.83,1.83,953700000.0,953700000.0,953700000.0,-4600000.0,958300000.0,958300000.0,21300000.0,64200000.0,1001200000.0,118200000.0,67100000.0,51100000.0,0.0,0.0,-51100000.0,0.0,-470300000.0,470300000.0,1353300000.0,1906100000.0,719900000.0,393900000.0,792300000.0,792300000.0,3259400000.0,2082300000.0,5341700000.0,5220800000.0,2023-09-30
-7161000.0,0.21,1664200000.0,-34100000.0,-34100000.0,336200000.0,877600000.0,1887400000.0,1630100000.0,752500000.0,-460900000.0,460900000.0,363139000.0,336200000.0,3868200000.0,623400000.0,,,,,336200000.0,336200000.0,336200000.0,-1600000.0,337800000.0,337800000.0,-2400000.0,-48600000.0,291600000.0,43500000.0,77600000.0,-34100000.0,0.0,0.0,-51500000.0,85600000.0,-460900000.0,460900000.0,709000000.0,1884200000.0,760100000.0,343100000.0,781000000.0,781000000.0,2593200000.0,1984000000.0,4577200000.0,4426900000.0,2023-12-31
