tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,other_special_charges,write_off,impairment_of_capital_assets,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,insurance_and_claims,salaries_and_wages,total_revenue,operating_revenue,date
-14171665.122538,0.198333,-71454000.0,-71454000.0,2889415000.0,673527000.0,11506135000.0,19198654000.0,30704789000.0,2946697334.877462,2889415000.0,,,,,-4461090000.0,-4461090000.0,2889415000.0,-16560000.0,2905975000.0,2905975000.0,718939000.0,3624914000.0,-54259000.0,909000.0,42100000.0,11250000.0,-6578115000.0,673527000.0,673527000.0,205356000.0,205356000.0,468171000.0,4252890000.0,161444000.0,4091446000.0,979461000.0,496845000.0,2615140000.0,11036063000.0,11036063000.0,2022-12-31
292690020.0,0.34,860853000.0,860853000.0,1592595000.0,686059000.0,9837216000.0,21016966000.0,30854182000.0,1024432020.0,1592595000.0,7460387279.0,7460387279.0,0.213474,0.213474,1592595000.0,1592595000.0,1592595000.0,-12298000.0,1604893000.0,1604893000.0,1477401000.0,3082294000.0,881309000.0,-917258000.0,33561000.0,2388000.0,-3533294000.0,686059000.0,686059000.0,208843000.0,208843000.0,477216000.0,4491993000.0,148196000.0,4343797000.0,1693461000.0,6486000.0,2643850000.0,8878477000.0,8878477000.0,2023-06-30
-8701619.638708,0.204918,-42464000.0,-42464000.0,2770946000.0,692871000.0,12203580000.0,20447496000.0,32651076000.0,2804708380.361292,2770946000.0,7460634347.0,7460634347.0,0.371409,0.371409,2770946000.0,2770946000.0,2770946000.0,-9726000.0,2780672000.0,2780672000.0,716666000.0,3497338000.0,-61731000.0,-12221000.0,70973000.0,2979000.0,-5567560000.0,692871000.0,692871000.0,234021000.0,234021000.0,458850000.0,4558007000.0,44978000.0,4513029000.0,1844858000.0,4459000.0,2663712000.0,10382858000.0,10382858000.0,2023-09-30
-207972080.691726,0.21143,-983644000.0,-983644000.0,2045746000.0,673643000.0,12284246000.0,20344028000.0,32628274000.0,2821417919.308274,2045746000.0,,,,,-2815969000.0,-2815969000.0,2045746000.0,-20030000.0,2065776000.0,2065776000.0,553873000.0,2619649000.0,-983644000.0,874779000.0,97508000.0,11357000.0,-7633347000.0,673643000.0,673643000.0,241790000.0,241790000.0,431853000.0,4492956000.0,165532000.0,4327424000.0,918075000.0,569019000.0,2840330000.0,11357318000.0,11357318000.0,2023-12-31
