tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-1122654.0,0.111,1794117000.0,-10114000.0,-10114000.0,1468507000.0,85414000.0,2901220000.0,1784003000.0,1698589000.0,-20536000.0,46661000.0,26125000.0,1477498346.0,1468507000.0,3597407000.0,1680162000.0,136339000.0,136018000.0,10.77,10.8,1468507000.0,1468507000.0,1468507000.0,1468507000.0,1468507000.0,183421000.0,1651928000.0,-7698000.0,2416000.0,,,-10114000.0,-20536000.0,46661000.0,26125000.0,1680162000.0,696187000.0,462385000.0,233802000.0,2376349000.0,2901220000.0,5277569000.0,5277569000.0,2022-12-31
-6108291.0,0.133,1123729000.0,-45927000.0,-45927000.0,814008000.0,91663000.0,2263957000.0,1077802000.0,986139000.0,-5243000.0,47217000.0,41974000.0,853826709.0,814008000.0,2886908000.0,942253000.0,135395000.0,134924000.0,6.01,6.03,814008000.0,814008000.0,814008000.0,814008000.0,814008000.0,124914000.0,938922000.0,-38496000.0,7431000.0,-40408000.0,40408000.0,-5519000.0,-5243000.0,47217000.0,41974000.0,982661000.0,622951000.0,429451000.0,193500000.0,1605612000.0,2263957000.0,3869569000.0,3869569000.0,2023-03-31
-565.789154,0.070724,999759000.0,-8000.0,-8000.0,802537000.0,89604000.0,1749128000.0,999751000.0,910147000.0,9297000.0,46532000.0,55829000.0,802544434.210846,802537000.0,2350910000.0,854605000.0,134392000.0,134052000.0,5.97,5.99,802537000.0,802537000.0,802537000.0,802537000.0,802537000.0,61078000.0,863615000.0,-2029000.0,-2021000.0,-1742000.0,1742000.0,1734000.0,9297000.0,46532000.0,55829000.0,856347000.0,601782000.0,401951000.0,199831000.0,1458129000.0,1749128000.0,3207257000.0,3207257000.0,2023-06-30
-101520.0,0.135,1162192000.0,-752000.0,-752000.0,887398000.0,90479000.0,1827360000.0,1161440000.0,1070961000.0,11233000.0,45331000.0,56564000.0,888048480.0,887398000.0,2457012000.0,1023029000.0,133166000.0,132584000.0,6.66,6.69,887398000.0,887398000.0,887398000.0,887398000.0,887398000.0,138232000.0,1025630000.0,-10653000.0,-9901000.0,-2021000.0,2021000.0,1269000.0,11233000.0,45331000.0,56564000.0,1025050000.0,629652000.0,422629000.0,207023000.0,1654702000.0,1827360000.0,3482062000.0,3482062000.0,2023-09-30
-275232.0,0.122,1226561000.0,-2256000.0,-2256000.0,954266000.0,90941000.0,2000804000.0,1224305000.0,1133364000.0,11282000.0,46313000.0,57595000.0,956246768.0,954266000.0,2699359000.0,1057212000.0,132220000.0,131629000.0,7.22,7.25,954266000.0,954266000.0,954266000.0,954266000.0,954266000.0,132785000.0,1087051000.0,16869000.0,19125000.0,-1688000.0,1688000.0,-568000.0,11282000.0,46313000.0,57595000.0,1058900000.0,698555000.0,469712000.0,228843000.0,1757455000.0,2000804000.0,3758259000.0,3758259000.0,2023-12-31
