tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,gain_on_sale_of_security,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.159808,1572000000.0,418000000.0,2758000000.0,1207000000.0,3965000000.0,1572000000.0,1572000000.0,746000000.0,745000000.0,2.07,2.08,1546000000.0,1546000000.0,12000000.0,14000000.0,1572000000.0,1572000000.0,1572000000.0,299000000.0,1871000000.0,-234000000.0,3308000000.0,1274000000.0,2034000000.0,2034000000.0,13942000000.0,13942000000.0,2022-12-31
0.0,0.162,1816000000.0,400000000.0,2983000000.0,1433000000.0,4416000000.0,1816000000.0,1816000000.0,744000000.0,743000000.0,2.4,2.41,1788000000.0,1788000000.0,14000000.0,14000000.0,1816000000.0,1816000000.0,1816000000.0,351000000.0,2167000000.0,-95000000.0,3355000000.0,1341000000.0,2014000000.0,2014000000.0,14186000000.0,14186000000.0,2023-03-31
0.0,0.205,2174000000.0,400000000.0,3105000000.0,1670000000.0,4775000000.0,2174000000.0,2174000000.0,741000000.0,740000000.0,2.89,2.89,2142000000.0,2142000000.0,17000000.0,15000000.0,2174000000.0,2174000000.0,2174000000.0,560000000.0,2734000000.0,-11000000.0,3283000000.0,1408000000.0,1875000000.0,1875000000.0,15043000000.0,15043000000.0,2023-06-30
0.0,0.209,2451000000.0,429000000.0,3442000000.0,1798000000.0,5240000000.0,2451000000.0,2451000000.0,733000000.0,732000000.0,3.3,3.3,2418000000.0,2418000000.0,19000000.0,14000000.0,2451000000.0,2451000000.0,2451000000.0,649000000.0,3100000000.0,-39000000.0,3283000000.0,1236000000.0,2047000000.0,2047000000.0,15342000000.0,15342000000.0,2023-09-30
0.0,0.230494,1933000000.0,422000000.0,3604000000.0,1948000000.0,5552000000.0,1933000000.0,1933000000.0,726000000.0,725000000.0,2.62,2.63,1904000000.0,1904000000.0,14000000.0,15000000.0,1933000000.0,1933000000.0,1933000000.0,579000000.0,2512000000.0,-7000000.0,3359000000.0,1228000000.0,2131000000.0,2131000000.0,15792000000.0,15792000000.0,2023-12-31
0.0,0.225,2437000000.0,390000000.0,3769000000.0,2006000000.0,5775000000.0,2437000000.0,2437000000.0,722000000.0,721000000.0,3.33,3.34,2405000000.0,2405000000.0,14000000.0,18000000.0,2437000000.0,2437000000.0,2437000000.0,708000000.0,3145000000.0,,3574000000.0,1476000000.0,2098000000.0,2098000000.0,15801000000.0,15801000000.0,2024-03-31
