treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_accrued_expenses,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,land_and_improvements,properties,current_assets,other_current_assets,restricted_cash,inventory,other_inventories,finished_goods,work_in_process,raw_materials,receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,non_current_deferred_assets,non_current_deferred_taxes_assets
,3164000000.0,3164000000.0,5748000000.0,44111000000.0,46749000000.0,14208000000.0,44111000000.0,3703000000.0,44704000000.0,45733000000.0,45898000000.0,1194000000.0,44704000000.0,-361000000.0,-361000000.0,12885000000.0,32177000000.0,3000000.0,3000000.0,0.0,36440000000.0,9731000000.0,553000000.0,2480000000.0,2886000000.0,2804000000.0,82000000.0,3761000000.0,2732000000.0,1029000000.0,51000000.0,26709000000.0,354000000.0,2810000000.0,2810000000.0,1987000000.0,971000000.0,1016000000.0,1016000000.0,,270000000.0,21288000000.0,4798000000.0,16490000000.0,1235000000.0,15255000000.0,82338000000.0,41421000000.0,4193000000.0,593000000.0,399000000.0,194000000.0,36635000000.0,-10459000000.0,47094000000.0,2366000000.0,4281000000.0,5142000000.0,20665000000.0,7751000000.0,6889000000.0,40917000000.0,2941000000.0,,12839000000.0,842000000.0,3475000000.0,2385000000.0,6137000000.0,2952000000.0,2952000000.0,22185000000.0,5932000000.0,16253000000.0,,,2022-12-31,,
,3169000000.0,3169000000.0,5574000000.0,47471000000.0,49806000000.0,15561000000.0,47471000000.0,3822000000.0,48054000000.0,48871000000.0,49235000000.0,1181000000.0,48054000000.0,-225000000.0,-225000000.0,15398000000.0,32878000000.0,3000000.0,3000000.0,0.0,37598000000.0,10162000000.0,748000000.0,2842000000.0,2911000000.0,2911000000.0,,3661000000.0,2844000000.0,817000000.0,,27436000000.0,347000000.0,2807000000.0,2807000000.0,1913000000.0,978000000.0,935000000.0,935000000.0,,267000000.0,22102000000.0,4827000000.0,17275000000.0,1371000000.0,15904000000.0,86833000000.0,43836000000.0,4584000000.0,583000000.0,388000000.0,195000000.0,38669000000.0,-9754000000.0,48423000000.0,2551000000.0,4894000000.0,10923000000.0,21911000000.0,8144000000.0,0.0,42997000000.0,2741000000.0,486000000.0,14375000000.0,921000000.0,4591000000.0,2458000000.0,6405000000.0,2993000000.0,2993000000.0,22402000000.0,6354000000.0,16048000000.0,933000000.0,15115000000.0,2023-03-31,,
,3174000000.0,3174000000.0,5811000000.0,50481000000.0,52649000000.0,16283000000.0,50481000000.0,4292000000.0,51130000000.0,51634000000.0,52182000000.0,1052000000.0,51130000000.0,-410000000.0,-410000000.0,18101000000.0,33436000000.0,3000000.0,3000000.0,0.0,38409000000.0,10817000000.0,802000000.0,3191000000.0,3021000000.0,3021000000.0,,3803000000.0,3299000000.0,504000000.0,,27592000000.0,370000000.0,3202000000.0,3202000000.0,2008000000.0,993000000.0,1015000000.0,1015000000.0,,244000000.0,21768000000.0,5251000000.0,16517000000.0,1244000000.0,15273000000.0,90591000000.0,46716000000.0,5026000000.0,649000000.0,386000000.0,263000000.0,41041000000.0,-10482000000.0,51523000000.0,2727000000.0,5560000000.0,11480000000.0,23321000000.0,8435000000.0,0.0,43875000000.0,2997000000.0,,14356000000.0,993000000.0,5193000000.0,2202000000.0,5968000000.0,3447000000.0,3447000000.0,23075000000.0,7779000000.0,15296000000.0,273000000.0,15023000000.0,2023-06-30,,
0.0,3179000000.0,3179000000.0,8187000000.0,52841000000.0,57170000000.0,18386000000.0,52841000000.0,4483000000.0,53466000000.0,55618000000.0,54495000000.0,1029000000.0,53466000000.0,-692000000.0,-692000000.0,19954000000.0,34201000000.0,3000000.0,3000000.0,0.0,39446000000.0,12806000000.0,794000000.0,3346000000.0,3059000000.0,3059000000.0,,5607000000.0,3455000000.0,2152000000.0,,26640000000.0,434000000.0,3100000000.0,3100000000.0,2580000000.0,1028000000.0,1552000000.0,1552000000.0,0.0,218000000.0,20308000000.0,5276000000.0,15032000000.0,1095000000.0,13937000000.0,93941000000.0,48915000000.0,5497000000.0,625000000.0,375000000.0,250000000.0,42793000000.0,-11240000000.0,54033000000.0,2892000000.0,6341000000.0,11795000000.0,24421000000.0,8584000000.0,0.0,45026000000.0,2708000000.0,,13721000000.0,1108000000.0,4550000000.0,2246000000.0,5817000000.0,2520000000.0,2520000000.0,26077000000.0,10145000000.0,15932000000.0,1153000000.0,14779000000.0,2023-09-30,,
0.0,3185000000.0,3185000000.0,9573000000.0,62019000000.0,67291000000.0,20868000000.0,62019000000.0,4916000000.0,62634000000.0,65316000000.0,63609000000.0,975000000.0,62634000000.0,-143000000.0,-143000000.0,27882000000.0,34892000000.0,3000000.0,3000000.0,0.0,43009000000.0,14261000000.0,876000000.0,3606000000.0,3251000000.0,3251000000.0,,6528000000.0,3846000000.0,2682000000.0,,28748000000.0,517000000.0,3740000000.0,3740000000.0,3045000000.0,1070000000.0,1975000000.0,1975000000.0,0.0,219000000.0,21227000000.0,5592000000.0,15635000000.0,1204000000.0,14431000000.0,106618000000.0,57002000000.0,4531000000.0,615000000.0,362000000.0,253000000.0,45123000000.0,-15080000000.0,60203000000.0,3168000000.0,5804000000.0,7327000000.0,27540000000.0,9505000000.0,6859000000.0,49616000000.0,3388000000.0,,13626000000.0,1171000000.0,5049000000.0,2016000000.0,5390000000.0,3508000000.0,3508000000.0,29094000000.0,12696000000.0,16398000000.0,495000000.0,15903000000.0,2023-12-31,6733000000.0,6733000000.0
,3189000000.0,3189000000.0,9911000000.0,63773000000.0,69252000000.0,21082000000.0,63773000000.0,5037000000.0,64378000000.0,67117000000.0,65180000000.0,802000000.0,64378000000.0,-399000000.0,-399000000.0,29011000000.0,35763000000.0,3000000.0,3000000.0,0.0,44046000000.0,14593000000.0,885000000.0,3748000000.0,3214000000.0,3214000000.0,,6746000000.0,4007000000.0,2739000000.0,,29453000000.0,566000000.0,3912000000.0,3912000000.0,3165000000.0,1030000000.0,2135000000.0,2135000000.0,,195000000.0,21615000000.0,5704000000.0,15911000000.0,1186000000.0,14725000000.0,109226000000.0,58691000000.0,4616000000.0,605000000.0,355000000.0,250000000.0,46701000000.0,-12852000000.0,59553000000.0,3291000000.0,5934000000.0,15264000000.0,25212000000.0,9852000000.0,0.0,50535000000.0,3752000000.0,,16033000000.0,1195000000.0,6747000000.0,2507000000.0,5584000000.0,3887000000.0,3887000000.0,26863000000.0,15058000000.0,11805000000.0,418000000.0,11387000000.0,2024-03-31,6769000000.0,6769000000.0
