tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,other_special_charges,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-39060000.0,0.21,1493000000.0,-186000000.0,-186000000.0,-86000000.0,980000000.0,5143000000.0,1307000000.0,327000000.0,-561000000.0,561000000.0,60940000.0,-86000000.0,6662000000.0,138000000.0,1090000000.0,1090000000.0,-0.08,-0.08,-87000000.0,-87000000.0,1000000.0,-86000000.0,52000000.0,-138000000.0,-138000000.0,-96000000.0,-234000000.0,-58000000.0,86000000.0,-186000000.0,4000000.0,-61000000.0,42000000.0,-561000000.0,561000000.0,385000000.0,1474000000.0,201000000.0,338000000.0,935000000.0,935000000.0,1859000000.0,5188000000.0,7047000000.0,6834000000.0,2022-12-31
11583705.357143,0.108259,2604000000.0,107000000.0,107000000.0,862000000.0,1233000000.0,3677000000.0,2711000000.0,1478000000.0,-582000000.0,582000000.0,766583705.357143,862000000.0,5304000000.0,1218000000.0,1098000000.0,1091000000.0,0.79,0.79,862000000.0,862000000.0,,862000000.0,63000000.0,799000000.0,799000000.0,97000000.0,896000000.0,302000000.0,147000000.0,107000000.0,42000000.0,-65000000.0,48000000.0,-582000000.0,582000000.0,1176000000.0,1505000000.0,,394000000.0,1111000000.0,1111000000.0,2681000000.0,3799000000.0,6480000000.0,6263000000.0,2023-03-31
7448425.624321,0.106406,2664000000.0,70000000.0,70000000.0,838000000.0,1203000000.0,2915000000.0,2734000000.0,1531000000.0,-610000000.0,610000000.0,775448425.624321,838000000.0,4458000000.0,1290000000.0,1098000000.0,1092000000.0,0.76,0.77,838000000.0,838000000.0,,838000000.0,15000000.0,823000000.0,823000000.0,98000000.0,921000000.0,241000000.0,142000000.0,70000000.0,,-70000000.0,29000000.0,-610000000.0,610000000.0,1290000000.0,1452000000.0,,340000000.0,1112000000.0,1112000000.0,2742000000.0,3006000000.0,5748000000.0,5525000000.0,2023-06-30
11337189.126663,0.171776,3546000000.0,66000000.0,66000000.0,1422000000.0,1263000000.0,3106000000.0,3612000000.0,2349000000.0,-620000000.0,620000000.0,1367337189.126663,1422000000.0,4870000000.0,2110000000.0,1099000000.0,1092000000.0,1.29,1.3,1422000000.0,1422000000.0,,1422000000.0,-10000000.0,1432000000.0,1432000000.0,297000000.0,1729000000.0,239000000.0,141000000.0,66000000.0,,-66000000.0,32000000.0,-620000000.0,620000000.0,2110000000.0,1644000000.0,160000000.0,341000000.0,1143000000.0,1143000000.0,3754000000.0,3226000000.0,6980000000.0,6758000000.0,2023-09-30
340000.0,0.005,2653000000.0,68000000.0,68000000.0,855000000.0,1287000000.0,3430000000.0,2721000000.0,1434000000.0,-634000000.0,634000000.0,787340000.0,855000000.0,4838000000.0,1207000000.0,,,,,855000000.0,855000000.0,,855000000.0,59000000.0,796000000.0,796000000.0,4000000.0,800000000.0,227000000.0,125000000.0,68000000.0,,-68000000.0,34000000.0,-634000000.0,634000000.0,1207000000.0,1281000000.0,-228000000.0,349000000.0,1160000000.0,1160000000.0,2488000000.0,3557000000.0,6045000000.0,5758000000.0,2023-12-31
