tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,write_off,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,depreciation_and_amortization_in_income_statement,amortization,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,total_revenue,operating_revenue,date
-4078740.15748,0.226597,-18000000.0,-18000000.0,-873000000.0,339000000.0,-1111000000.0,-32000000.0,32000000.0,-45000000.0,-859078740.15748,-1252000000.0,21703000000.0,,,,,-1269000000.0,-1269000000.0,17000000.0,-1252000000.0,10000000.0,-1263000000.0,,-884000000.0,-259000000.0,-1143000000.0,-50000000.0,-18000000.0,18000000.0,-32000000.0,32000000.0,544000000.0,-712000000.0,-712000000.0,256000000.0,256000000.0,122000000.0,134000000.0,20558000000.0,20558000000.0,2022-12-31
0.0,0.265985,-32000000.0,-32000000.0,-283000000.0,,-285000000.0,0.0,106000000.0,921000000.0,-283000000.0,67000000.0,6487000000.0,2233333333.0,2233333333.0,0.03,0.03,67000000.0,67000000.0,,67000000.0,3000000.0,64000000.0,350000000.0,-287000000.0,-104000000.0,-391000000.0,,-32000000.0,32000000.0,0.0,106000000.0,977000000.0,,,,,,,6097000000.0,6097000000.0,2023-06-30
