tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-74571000.0,0.21,551400000.0,-355100000.0,-355100000.0,-130500000.0,228500000.0,423300000.0,196300000.0,-32200000.0,-42600000.0,42600000.0,150029000.0,-130500000.0,1498300000.0,-28300000.0,209800000.0,209800000.0,-0.62,-0.62,-130500000.0,-130500000.0,-130500000.0,-300000.0,-130200000.0,0.0,-130200000.0,55400000.0,-74800000.0,-359000000.0,-3900000.0,-355100000.0,289800000.0,65300000.0,-42600000.0,42600000.0,326800000.0,978000000.0,11400000.0,131500000.0,131500000.0,131500000.0,131500000.0,108000000.0,727100000.0,1304800000.0,520300000.0,1825100000.0,1825100000.0,2022-12-31
-8145900.0,0.189,609900000.0,-43100000.0,-43100000.0,232500000.0,231800000.0,402400000.0,566800000.0,335000000.0,-48200000.0,48200000.0,267454100.0,232500000.0,1460500000.0,327300000.0,210400000.0,209400000.0,1.11,1.11,232500000.0,232500000.0,232500000.0,-200000.0,232800000.0,0.0,232800000.0,54100000.0,286800000.0,-35400000.0,7700000.0,-43100000.0,,43100000.0,-48200000.0,48200000.0,370500000.0,959700000.0,,133400000.0,133400000.0,133400000.0,133400000.0,110400000.0,715900000.0,1330200000.0,500800000.0,1831000000.0,1831000000.0,2023-03-31
-7816600.0,0.242,598200000.0,-32300000.0,-32300000.0,209600000.0,237500000.0,426200000.0,565900000.0,328400000.0,-51600000.0,51600000.0,234083400.0,209600000.0,1507600000.0,329600000.0,209900000.0,208600000.0,1.0,1.0,209600000.0,209600000.0,209600000.0,-200000.0,209900000.0,0.0,209900000.0,66900000.0,276800000.0,-33500000.0,-1200000.0,-32300000.0,0.0,32300000.0,-51600000.0,51600000.0,362000000.0,982100000.0,,138200000.0,138200000.0,138200000.0,138200000.0,118100000.0,725800000.0,1344100000.0,525500000.0,1869600000.0,1718400000.0,2023-06-30
-8121200.0,0.257,543100000.0,-31600000.0,-31600000.0,162700000.0,241200000.0,422400000.0,511500000.0,270300000.0,-51100000.0,51100000.0,186178800.0,162700000.0,1455400000.0,266600000.0,210000000.0,208900000.0,0.77,0.78,162700000.0,162700000.0,162700000.0,-200000.0,162800000.0,0.0,162800000.0,56400000.0,219200000.0,-27800000.0,3800000.0,-31600000.0,0.0,31600000.0,-51100000.0,51100000.0,298200000.0,936800000.0,,145000000.0,145000000.0,145000000.0,145000000.0,116900000.0,674900000.0,1235000000.0,518600000.0,1753600000.0,1594800000.0,2023-09-30
-13986000.0,0.21,642600000.0,-66600000.0,-66600000.0,419200000.0,241200000.0,442500000.0,576000000.0,334800000.0,-50300000.0,50300000.0,471814000.0,419200000.0,1519300000.0,354200000.0,208600000.0,207900000.0,2.01,2.02,419200000.0,419200000.0,419200000.0,-500000.0,419700000.0,0.0,419700000.0,-135200000.0,284500000.0,-86200000.0,-19600000.0,-66600000.0,0.0,66600000.0,-50300000.0,50300000.0,420800000.0,980500000.0,,144900000.0,144900000.0,144900000.0,144900000.0,113300000.0,722300000.0,1401300000.0,538800000.0,1940100000.0,2392300000.0,2023-12-31
