tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.175807,320713000.0,0.0,0.0,227062000.0,31318000.0,318375000.0,320713000.0,289395000.0,-10415000.0,13899000.0,3484000.0,227062000.0,227062000.0,572227000.0,286283000.0,59644000.0,59329000.0,3.81,3.83,227062000.0,227062000.0,227062000.0,227062000.0,227062000.0,48434000.0,275496000.0,-372000.0,-372000.0,0.0,0.0,-10415000.0,13899000.0,3484000.0,286283000.0,224037000.0,1503000.0,1503000.0,1503000.0,1503000.0,48277000.0,174257000.0,510320000.0,348190000.0,858510000.0,858510000.0,2022-12-31
0.0,0.147,210771000.0,0.0,0.0,140923000.0,31154000.0,254705000.0,210771000.0,179617000.0,-10383000.0,14444000.0,4061000.0,140923000.0,140923000.0,510506000.0,174168000.0,59317000.0,59023000.0,2.38,2.39,140923000.0,140923000.0,140923000.0,140923000.0,140923000.0,24250000.0,165173000.0,1388000.0,1388000.0,0.0,,-10383000.0,14444000.0,4061000.0,174168000.0,226126000.0,1479000.0,1479000.0,1479000.0,1479000.0,42691000.0,181956000.0,400294000.0,284380000.0,684674000.0,684674000.0,2023-03-31
0.0,0.165,242431000.0,,,150554000.0,38884000.0,269007000.0,242431000.0,203547000.0,-19232000.0,23272000.0,4040000.0,150554000.0,150554000.0,540717000.0,199859000.0,59010000.0,58857000.0,2.55,2.56,150554000.0,150554000.0,150554000.0,150554000.0,150554000.0,29721000.0,180275000.0,-352000.0,-352000.0,,,-19232000.0,23272000.0,4040000.0,199859000.0,239641000.0,6815000.0,6815000.0,6815000.0,6815000.0,45873000.0,186953000.0,439500000.0,301076000.0,740576000.0,740576000.0,2023-06-30
0.0,0.122,231444000.0,0.0,0.0,134552000.0,47807000.0,255716000.0,231444000.0,183637000.0,-26559000.0,30442000.0,3883000.0,134552000.0,134552000.0,532266000.0,179426000.0,59255000.0,59093000.0,2.27,2.28,134552000.0,134552000.0,134552000.0,134552000.0,134552000.0,18643000.0,153195000.0,328000.0,328000.0,0.0,,-26559000.0,30442000.0,3883000.0,179426000.0,240859000.0,12116000.0,12116000.0,12116000.0,12116000.0,41995000.0,186748000.0,420285000.0,291407000.0,711692000.0,711692000.0,2023-09-30
0.0,0.090046,316363000.0,0.0,0.0,216205000.0,48060000.0,282448000.0,316363000.0,268303000.0,-26066000.0,30703000.0,4637000.0,216205000.0,216205000.0,555251000.0,264223000.0,59311000.0,59142000.0,3.65,3.66,216205000.0,216205000.0,216205000.0,216205000.0,216205000.0,21395000.0,237600000.0,-557000.0,-557000.0,0.0,,-26066000.0,30703000.0,4637000.0,264223000.0,236891000.0,12148000.0,12148000.0,12148000.0,12148000.0,44386000.0,180357000.0,501114000.0,318360000.0,819474000.0,819474000.0,2023-12-31
