tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
924000.0,0.21,105700000.0,4400000.0,4400000.0,20000000.0,70700000.0,461900000.0,110100000.0,39400000.0,22600000.0,5000000.0,29400000.0,16524000.0,20000000.0,1548200000.0,15200000.0,338400000.0,299800000.0,0.06,0.07,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,14400000.0,34400000.0,-3400000.0,-7800000.0,4400000.0,22600000.0,1800000.0,5000000.0,29400000.0,15200000.0,1086300000.0,371800000.0,714500000.0,615000000.0,99500000.0,99500000.0,1101500000.0,461900000.0,1563400000.0,1563400000.0,2022-10-31
-14600.0,0.002,166800000.0,-7300000.0,-7300000.0,84200000.0,69900000.0,466200000.0,159500000.0,89600000.0,49700000.0,5200000.0,56600000.0,91485400.0,84200000.0,1615200000.0,39900000.0,331600000.0,302300000.0,0.25,0.28,84200000.0,84200000.0,84200000.0,84200000.0,84200000.0,200000.0,84400000.0,-5200000.0,2100000.0,-7300000.0,49700000.0,1700000.0,5200000.0,56600000.0,39900000.0,1149000000.0,404100000.0,744900000.0,625500000.0,119400000.0,119400000.0,1188900000.0,466200000.0,1655100000.0,1655100000.0,2023-01-31
-389400.0,0.177,213300000.0,-2200000.0,-2200000.0,107800000.0,72300000.0,474800000.0,211100000.0,138800000.0,58100000.0,7800000.0,65900000.0,109610600.0,107800000.0,1642200000.0,78700000.0,344700000.0,303900000.0,0.31,0.35,107800000.0,107800000.0,107800000.0,107800000.0,107800000.0,23200000.0,131000000.0,-5800000.0,-3600000.0,-2200000.0,58100000.0,,7800000.0,65900000.0,78700000.0,1167400000.0,413700000.0,753700000.0,639500000.0,114200000.0,114200000.0,1246100000.0,474800000.0,1720900000.0,1720900000.0,2023-04-30
-785592.417062,0.280569,387600000.0,-2800000.0,-2800000.0,227700000.0,69300000.0,506800000.0,384800000.0,315500000.0,66800000.0,-1000000.0,72500000.0,229714407.582938,227700000.0,1699800000.0,253500000.0,354500000.0,306900000.0,0.64,0.74,227700000.0,227700000.0,227700000.0,227700000.0,227700000.0,88800000.0,316500000.0,-3800000.0,-1000000.0,-2800000.0,66800000.0,,-1000000.0,72500000.0,253500000.0,1193000000.0,414400000.0,778600000.0,664000000.0,114600000.0,114600000.0,1446500000.0,506800000.0,1953300000.0,1953300000.0,2023-07-31
1596300.0,0.313,343700000.0,5100000.0,5100000.0,194200000.0,64300000.0,472800000.0,348800000.0,284500000.0,68300000.0,1900000.0,71200000.0,190696300.0,194200000.0,1662900000.0,215200000.0,349800000.0,310100000.0,0.56,0.63,194200000.0,194200000.0,194200000.0,194200000.0,194200000.0,88400000.0,282600000.0,-900000.0,-6000000.0,5100000.0,68300000.0,1000000.0,1900000.0,71200000.0,215200000.0,1190100000.0,409500000.0,780600000.0,660500000.0,120100000.0,120100000.0,1405300000.0,472800000.0,1878100000.0,1878100000.0,2023-10-31
-2600000.0,0.4,212300000.0,-6500000.0,-6500000.0,1746900000.0,68600000.0,499100000.0,205800000.0,137200000.0,82500000.0,1700000.0,85300000.0,1750800000.0,1746900000.0,1921500000.0,53600000.0,357500000.0,319600000.0,4.89,5.47,1746900000.0,1746900000.0,1746900000.0,1746900000.0,1746900000.0,-1611400000.0,135500000.0,-600000.0,5900000.0,-6500000.0,82500000.0,1100000.0,1700000.0,85300000.0,53600000.0,1422400000.0,447900000.0,974500000.0,673000000.0,301500000.0,301500000.0,1476000000.0,499100000.0,1975100000.0,1975100000.0,2024-01-31
