tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-1996.313721,0.024052,377813000.0,-83000.0,-83000.0,204260000.0,79920000.0,121182000.0,377730000.0,297810000.0,-55674000.0,72922000.0,17248000.0,204341003.686279,204260000.0,237065000.0,269570000.0,143341111.0,133921234.0,1.52,1.52,216175000.0,12202000.0,203973000.0,287000.0,204260000.0,-15219000.0,219479000.0,219479000.0,5409000.0,224888000.0,10909000.0,-83000.0,83000.0,10992000.0,0.0,-55674000.0,72922000.0,17248000.0,269653000.0,115883000.0,79920000.0,79920000.0,35963000.0,35963000.0,35963000.0,385536000.0,121182000.0,506718000.0,506718000.0,2022-12-31
0.0,0.020208,371775000.0,,,196304000.0,78490000.0,126255000.0,371775000.0,293285000.0,-60661000.0,80099000.0,19438000.0,196304000.0,196304000.0,239508000.0,263542000.0,142940384.0,134511273.0,1.46,1.46,208128000.0,12128000.0,196000000.0,304000.0,196304000.0,-12574000.0,208878000.0,208878000.0,4308000.0,213186000.0,10305000.0,,,10305000.0,,-60661000.0,80099000.0,19438000.0,263542000.0,113253000.0,78490000.0,78490000.0,34763000.0,34763000.0,34763000.0,376795000.0,126255000.0,503050000.0,503050000.0,2023-03-31
0.0,0.027049,386756000.0,0.0,0.0,202410000.0,79086000.0,124119000.0,386756000.0,307670000.0,-65295000.0,86372000.0,21077000.0,202410000.0,202410000.0,238047000.0,273339000.0,143529817.0,134832232.0,1.5,1.5,214851000.0,12764000.0,202087000.0,323000.0,202410000.0,-12902000.0,215312000.0,215312000.0,5986000.0,221298000.0,13254000.0,0.0,0.0,13254000.0,,-65295000.0,86372000.0,21077000.0,273339000.0,113928000.0,79086000.0,79086000.0,34842000.0,34842000.0,34842000.0,387267000.0,124119000.0,511386000.0,511386000.0,2023-06-30
-1827911.836735,0.033741,543439000.0,-54174000.0,-54174000.0,188350000.0,152338000.0,204324000.0,489265000.0,336927000.0,-109035000.0,131127000.0,22092000.0,240696088.163265,188350000.0,394068000.0,299792000.0,195328020.0,195324444.0,0.96,0.96,188046000.0,0.0,188046000.0,304000.0,188350000.0,-10506000.0,198856000.0,198856000.0,6944000.0,205800000.0,-39131000.0,-54174000.0,54174000.0,15043000.0,,-109035000.0,131127000.0,22092000.0,353966000.0,189744000.0,152338000.0,152338000.0,37406000.0,37406000.0,37406000.0,543710000.0,204324000.0,748034000.0,748034000.0,2023-09-30
-234167.290962,0.018647,580648000.0,-12558000.0,-12558000.0,216134000.0,196139000.0,216212000.0,568090000.0,371951000.0,-117973000.0,140223000.0,22250000.0,228457832.709038,216134000.0,451748000.0,333468000.0,219961282.0,211071794.0,1.02,1.02,215835000.0,0.0,215835000.0,299000.0,216134000.0,-11273000.0,227407000.0,227407000.0,4321000.0,231728000.0,3675000.0,-12558000.0,12558000.0,16233000.0,,-117973000.0,140223000.0,22250000.0,346026000.0,235536000.0,196139000.0,196139000.0,39397000.0,39397000.0,39397000.0,581562000.0,216212000.0,797774000.0,797774000.0,2023-12-31
