treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_debt_and_capital_lease_obligation,current_debt,line_of_credit,payables_and_accrued_expenses,payables,dividends_payable,accounts_payable,total_assets,total_non_current_assets,non_current_deferred_assets,financial_assets,investments_and_advances,investmentin_financial_assets,held_to_maturity_securities,long_term_equity_investment,investmentsin_joint_venturesat_cost,investment_properties,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,gross_ppe,other_properties,machinery_furniture_equipment,current_assets,restricted_cash,prepaid_assets,receivables,other_receivables,notes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,133921020.0,133921020.0,7238594000.0,7560497000.0,3067212000.0,10591059000.0,-391993000.0,3067212000.0,229035000.0,3259597000.0,9646059000.0,4078274000.0,818677000.0,3259597000.0,48798000.0,48798000.0,-135872000.0,3345332000.0,1339000.0,1339000.0,0.0,8089184000.0,6905152000.0,289655000.0,6615497000.0,229035000.0,6386462000.0,1184032000.0,945000000.0,945000000.0,945000000.0,239032000.0,239032000.0,67352000.0,171680000.0,12167458000.0,11375419000.0,4846000.0,54839000.0,882412000.0,300000000.0,300000000.0,582412000.0,582412000.0,9976404000.0,192385000.0,21574000.0,170811000.0,264533000.0,264533000.0,221725000.0,42808000.0,792039000.0,4867000.0,50318000.0,643986000.0,66170000.0,491879000.0,85937000.0,92868000.0,92868000.0,2022-12-31
,135007280.0,135007280.0,7283847000.0,7566053000.0,2947095730.0,10585131000.0,413671000.0,2947095730.0,234255000.0,3253333000.0,10490631000.0,4032701000.0,779368000.0,3253333000.0,35081000.0,35081000.0,-159556000.0,3376458000.0,1350000.0,1350000.0,0.0,8099968000.0,7759028000.0,287475000.0,7471553000.0,234255000.0,7237298000.0,340940000.0,94500000.0,94500000.0,94500000.0,246440000.0,246440000.0,68284000.0,178156000.0,12132669000.0,11378058000.0,4805000.0,40180000.0,900617000.0,300000000.0,300000000.0,600617000.0,600617000.0,9856019730.0,306237270.0,135426270.0,170811000.0,270199000.0,270199000.0,226483000.0,43716000.0,754611000.0,2491000.0,55574000.0,648595000.0,56028000.0,507885000.0,84682000.0,47951000.0,47951000.0,2023-03-31
,135058897.0,135058897.0,7442094000.0,7721081000.0,2919289000.0,10748516000.0,254303000.0,2919289000.0,228343000.0,3255778000.0,10473266000.0,4035407000.0,779629000.0,3255778000.0,47065000.0,47065000.0,-175941000.0,3383303000.0,1351000.0,1351000.0,0.0,8330046000.0,7773197000.0,327366000.0,7445831000.0,228343000.0,7217488000.0,556849000.0,275250000.0,275250000.0,275250000.0,281599000.0,281599000.0,69183000.0,212416000.0,12365453000.0,11554301000.0,4382000.0,51235000.0,1047775000.0,300000000.0,300000000.0,747775000.0,747775000.0,9851673000.0,336489000.0,165678000.0,170811000.0,262747000.0,262747000.0,220090000.0,42657000.0,811152000.0,2269000.0,67078000.0,691161000.0,50835000.0,540355000.0,99971000.0,50644000.0,50644000.0,2023-06-30
0.0,211276086.0,211276086.0,10735958000.0,11194520000.0,13907285000.0,25489200000.0,-82114000.0,13907285000.0,242441000.0,14537121000.0,24866200000.0,15566701000.0,1029580000.0,14537121000.0,44912000.0,44912000.0,-252877000.0,14742973000.0,2113000.0,2113000.0,0.0,12059117000.0,10936548000.0,365028000.0,10571520000.0,242441000.0,10329079000.0,1122569000.0,623000000.0,623000000.0,623000000.0,499569000.0,499569000.0,69445000.0,430124000.0,27625818000.0,26585363000.0,11857000.0,48611000.0,1377548000.0,300000000.0,300000000.0,1077548000.0,1077548000.0,24223402000.0,629836000.0,459025000.0,170811000.0,294109000.0,294109000.0,248483000.0,45626000.0,1040455000.0,7000000.0,94409000.0,722925000.0,58311000.0,533000000.0,131614000.0,216121000.0,216121000.0,2023-09-30
0.0,211278803.0,211278803.0,10917686000.0,11253263000.0,14072527000.0,25407669000.0,-157866000.0,14072527000.0,236515000.0,14390921000.0,24725669000.0,15413949000.0,1023028000.0,14390921000.0,17435000.0,17435000.0,-379015000.0,14750388000.0,2113000.0,2113000.0,0.0,12042313000.0,10954726000.0,383463000.0,10571263000.0,236515000.0,10334748000.0,1087587000.0,682000000.0,682000000.0,682000000.0,405587000.0,405587000.0,71069000.0,334518000.0,27456262000.0,26526541000.0,9787000.0,26183000.0,1371617000.0,300000000.0,300000000.0,1071617000.0,1071617000.0,24524622000.0,318394000.0,147583000.0,170811000.0,275938000.0,275938000.0,227241000.0,48697000.0,929721000.0,6021000.0,85153000.0,739485000.0,10042000.0,594727000.0,134716000.0,99062000.0,99062000.0,2023-12-31
