tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-12631578.947368,0.263158,398000000.0,-48000000.0,-48000000.0,55000000.0,162000000.0,3030000000.0,350000000.0,188000000.0,-112000000.0,112000000.0,90368421.052632,55000000.0,3312000000.0,316127000.0,313873000.0,0.17,0.18,55000000.0,55000000.0,55000000.0,-1000000.0,56000000.0,56000000.0,0.0,20000000.0,76000000.0,-48000000.0,-48000000.0,48000000.0,-112000000.0,16000000.0,112000000.0,236000000.0,282000000.0,162000000.0,162000000.0,,,,120000000.0,518000000.0,3030000000.0,3548000000.0,3548000000.0,2022-12-31
-3840000.0,0.192,513000000.0,-20000000.0,-20000000.0,177000000.0,166000000.0,2845000000.0,493000000.0,327000000.0,-113000000.0,113000000.0,193160000.0,177000000.0,3142000000.0,316667000.0,314236000.0,0.56,0.56,177000000.0,177000000.0,177000000.0,-3000000.0,180000000.0,180000000.0,7000000.0,41000000.0,214000000.0,-20000000.0,-20000000.0,20000000.0,-113000000.0,,113000000.0,347000000.0,297000000.0,166000000.0,166000000.0,,,,131000000.0,644000000.0,2845000000.0,3489000000.0,3489000000.0,2023-03-31
1050000.0,0.175,485000000.0,6000000.0,6000000.0,173000000.0,170000000.0,2916000000.0,491000000.0,321000000.0,-115000000.0,115000000.0,168050000.0,173000000.0,3251000000.0,316867000.0,314561000.0,0.55,0.55,173000000.0,173000000.0,173000000.0,0.0,173000000.0,173000000.0,3000000.0,36000000.0,206000000.0,6000000.0,6000000.0,-6000000.0,-115000000.0,,115000000.0,315000000.0,335000000.0,170000000.0,170000000.0,40000000.0,40000000.0,130000000.0,165000000.0,650000000.0,2916000000.0,3566000000.0,3566000000.0,2023-06-30
-470000.0,0.01,545000000.0,-47000000.0,-47000000.0,203000000.0,173000000.0,2894000000.0,498000000.0,325000000.0,-122000000.0,122000000.0,249530000.0,203000000.0,3199000000.0,317296000.0,314983000.0,0.64,0.64,203000000.0,203000000.0,203000000.0,-1000000.0,204000000.0,204000000.0,3000000.0,2000000.0,203000000.0,-47000000.0,-47000000.0,47000000.0,-122000000.0,,122000000.0,372000000.0,305000000.0,173000000.0,173000000.0,,,,132000000.0,677000000.0,2894000000.0,3571000000.0,3571000000.0,2023-09-30
-21193717.277487,0.230366,569000000.0,-92000000.0,-92000000.0,154000000.0,177000000.0,2704000000.0,477000000.0,300000000.0,-109000000.0,109000000.0,224806282.722513,154000000.0,3011000000.0,,,,,154000000.0,154000000.0,154000000.0,0.0,154000000.0,154000000.0,7000000.0,44000000.0,191000000.0,-92000000.0,-92000000.0,92000000.0,-109000000.0,,109000000.0,392000000.0,307000000.0,177000000.0,177000000.0,,,,130000000.0,699000000.0,2704000000.0,3403000000.0,3403000000.0,2023-12-31
