tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,gain_on_sale_of_business,gain_on_sale_of_security,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,insurance_and_claims,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.201511,,,2515000000.0,1108000000.0,13270000000.0,12438000000.0,25708000000.0,2515000000.0,2513000000.0,1955900000.0,1936900000.0,1.16,1.162166,2262000000.0,11000000.0,2251000000.0,24000000.0,238000000.0,2513000000.0,-21000000.0,2534000000.0,-2000000.0,2536000000.0,640000000.0,3176000000.0,,,-236000000.0,7062000000.0,424000000.0,6638000000.0,20000000.0,6618000000.0,18001000000.0,18001000000.0,2022-12-31
0.0,0.25,,,4607000000.0,1111000000.0,13348000000.0,16047000000.0,29395000000.0,4607000000.0,4606000000.0,1964100000.0,1943500000.0,2.19,2.369951,4306000000.0,11000000.0,4295000000.0,34000000.0,277000000.0,4606000000.0,-45000000.0,4651000000.0,-1000000.0,4652000000.0,1531000000.0,6183000000.0,,,2000000.0,7893000000.0,331000000.0,7562000000.0,24000000.0,7538000000.0,21464000000.0,21464000000.0,2023-03-31
-19710000.0,0.27,-73000000.0,-73000000.0,2916000000.0,1136000000.0,13900000000.0,18747000000.0,32647000000.0,2969290000.0,2915000000.0,1968600000.0,1942800000.0,1.33,1.500412,2609000000.0,15000000.0,2594000000.0,33000000.0,288000000.0,2915000000.0,-36000000.0,2951000000.0,-1000000.0,2952000000.0,1090000000.0,4042000000.0,-73000000.0,-73000000.0,-17000000.0,7763000000.0,361000000.0,7402000000.0,14000000.0,7388000000.0,19440000000.0,19440000000.0,2023-06-30
74750000.0,0.25,299000000.0,299000000.0,3544000000.0,1141000000.0,13828000000.0,21009000000.0,34837000000.0,3319750000.0,3546000000.0,1951700000.0,1924400000.0,1.63,1.842652,3176000000.0,16000000.0,3160000000.0,53000000.0,333000000.0,3546000000.0,-41000000.0,3587000000.0,2000000.0,3585000000.0,1203000000.0,4788000000.0,299000000.0,299000000.0,-38000000.0,7773000000.0,324000000.0,7449000000.0,25000000.0,7424000000.0,19746000000.0,19746000000.0,2023-09-30
-274746552.543985,0.140751,-1952000000.0,-1952000000.0,-1838000000.0,1172000000.0,13824000000.0,22555000000.0,36379000000.0,-160746552.543985,-1839000000.0,1909700000.0,1909700000.0,-1.161439,-1.161439,-2183000000.0,15000000.0,-2198000000.0,59000000.0,300000000.0,-1839000000.0,-31000000.0,-1808000000.0,-1000000.0,-1807000000.0,-296000000.0,-2103000000.0,-1952000000.0,,-62000000.0,7283000000.0,377000000.0,6906000000.0,24000000.0,6882000000.0,18840000000.0,18840000000.0,2023-12-31
