tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-2940000.0,0.21,-160000000.0,-14000000.0,-14000000.0,-209000000.0,28000000.0,138000000.0,-174000000.0,-202000000.0,2000000.0,3000000.0,5000000.0,-197940000.0,-209000000.0,674000000.0,-207000000.0,158708000.0,158708000.0,-1.32,-1.32,-209000000.0,-209000000.0,-209000000.0,-209000000.0,-209000000.0,4000000.0,-205000000.0,-14000000.0,-14000000.0,,14000000.0,2000000.0,3000000.0,5000000.0,-193000000.0,536000000.0,148000000.0,388000000.0,290000000.0,98000000.0,98000000.0,343000000.0,138000000.0,481000000.0,481000000.0,2022-10-31
-6090000.0,0.21,-91309000.0,-29000000.0,-29000000.0,-152918000.0,26001000.0,139488000.0,-120309000.0,-146310000.0,8928000.0,2412000.0,11340000.0,-130008000.0,-152918000.0,638858000.0,-157650000.0,160038000.0,160038000.0,-0.95,-0.95,-152918000.0,-152918000.0,-152918000.0,-152918000.0,-152918000.0,4196000.0,-148722000.0,,-29000000.0,,,8928000.0,2412000.0,11340000.0,-128650000.0,499370000.0,154029000.0,345341000.0,258890000.0,86451000.0,86451000.0,370720000.0,139488000.0,510208000.0,510208000.0,2023-01-31
5040000.0,0.21,-111000000.0,24000000.0,24000000.0,-119000000.0,25000000.0,142000000.0,-87000000.0,-112000000.0,14000000.0,3000000.0,17000000.0,-137960000.0,-119000000.0,671000000.0,-160000000.0,161323000.0,161323000.0,-0.74,-0.74,-119000000.0,-119000000.0,-119000000.0,-119000000.0,-119000000.0,4000000.0,-115000000.0,24000000.0,24000000.0,-31000000.0,7000000.0,14000000.0,3000000.0,17000000.0,-153000000.0,529000000.0,163000000.0,366000000.0,256000000.0,110000000.0,110000000.0,376000000.0,142000000.0,518000000.0,518000000.0,2023-04-30
5250000.0,0.21,-109000000.0,25000000.0,25000000.0,-111000000.0,18000000.0,149000000.0,-84000000.0,-102000000.0,16000000.0,2000000.0,18000000.0,-130750000.0,-111000000.0,701000000.0,-162000000.0,162755000.0,162755000.0,-0.68,-0.68,-111000000.0,-111000000.0,-111000000.0,-111000000.0,-111000000.0,7000000.0,-104000000.0,25000000.0,25000000.0,-42000000.0,17000000.0,16000000.0,2000000.0,18000000.0,-145000000.0,552000000.0,172000000.0,380000000.0,261000000.0,119000000.0,119000000.0,407000000.0,149000000.0,556000000.0,556000000.0,2023-07-31
2940000.0,0.21,-65000000.0,14000000.0,14000000.0,-81000000.0,21000000.0,145000000.0,-51000000.0,-72000000.0,19000000.0,2000000.0,21000000.0,-92060000.0,-81000000.0,691000000.0,-111000000.0,164381000.0,164381000.0,-0.49,-0.49,-81000000.0,-81000000.0,-81000000.0,-81000000.0,-81000000.0,7000000.0,-74000000.0,14000000.0,14000000.0,-18000000.0,4000000.0,19000000.0,2000000.0,21000000.0,-107000000.0,546000000.0,165000000.0,381000000.0,270000000.0,111000000.0,111000000.0,439000000.0,145000000.0,584000000.0,584000000.0,2023-10-31
0.0,0.0,-10000000.0,-13000000.0,-13000000.0,-44000000.0,20000000.0,145000000.0,-23000000.0,-43000000.0,24000000.0,1000000.0,25000000.0,-31000000.0,-44000000.0,660000000.0,-83000000.0,166002000.0,166002000.0,-0.26,-0.26,-44000000.0,-44000000.0,-44000000.0,-44000000.0,-44000000.0,0.0,-44000000.0,-13000000.0,-13000000.0,-15000000.0,0.0,24000000.0,1000000.0,25000000.0,-55000000.0,515000000.0,156000000.0,359000000.0,249000000.0,110000000.0,110000000.0,460000000.0,145000000.0,605000000.0,605000000.0,2024-01-31
