free_cash_flow,repayment_of_debt,capital_expenditure,end_cash_position,beginning_cash_position,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,date,cash_dividends_paid
-1012000000.0,-285000000.0,-2200000000.0,3473000000.0,7325000000.0,-3852000000.0,-305000000.0,-305000000.0,-20000000.0,-285000000.0,-285000000.0,-285000000.0,-4735000000.0,-4735000000.0,91000000.0,-1909000000.0,220000000.0,-2129000000.0,-717000000.0,-717000000.0,-2200000000.0,-2200000000.0,1188000000.0,2022-12-31,
1235000000.0,-1166000000.0,-1000000000.0,3429000000.0,3473000000.0,-44000000.0,-1179000000.0,-1179000000.0,-13000000.0,-1166000000.0,-1166000000.0,-1166000000.0,-1100000000.0,-1100000000.0,2000000.0,-102000000.0,897000000.0,-999000000.0,0.0,0.0,-1000000000.0,-1000000000.0,2235000000.0,2023-03-31,
1156000000.0,-1820000000.0,-1452000000.0,2824000000.0,3429000000.0,-605000000.0,-1831000000.0,-1831000000.0,-11000000.0,-1820000000.0,-1820000000.0,-1820000000.0,-1382000000.0,-1382000000.0,18000000.0,52000000.0,1064000000.0,-1012000000.0,0.0,0.0,-1452000000.0,-1452000000.0,2608000000.0,2023-06-30,
-193000000.0,-724000000.0,-1269000000.0,2969000000.0,2824000000.0,145000000.0,-800000000.0,-800000000.0,-12000000.0,-724000000.0,-724000000.0,-724000000.0,-131000000.0,-131000000.0,64000000.0,1226000000.0,1527000000.0,-301000000.0,-152000000.0,-152000000.0,-1269000000.0,-1269000000.0,1076000000.0,2023-09-30,
-1057000000.0,-361000000.0,-1602000000.0,3395000000.0,2969000000.0,426000000.0,416000000.0,416000000.0,841000000.0,-361000000.0,-361000000.0,-361000000.0,-535000000.0,-535000000.0,8000000.0,1059000000.0,1059000000.0,0.0,0.0,0.0,-1602000000.0,-1602000000.0,545000000.0,2023-12-31,-64000000.0
1215000000.0,-712000000.0,-1193000000.0,4379000000.0,3395000000.0,984000000.0,-787000000.0,-787000000.0,-11000000.0,-712000000.0,-712000000.0,-712000000.0,-637000000.0,-637000000.0,10000000.0,546000000.0,546000000.0,0.0,,,-1193000000.0,-1193000000.0,2408000000.0,2024-03-31,-64000000.0
