tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,total_other_finance_cost,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.21,11274000.0,,,3877000.0,6441000.0,82789000.0,11274000.0,4833000.0,299000.0,3877000.0,3877000.0,216383000.0,4833000.0,38896940.0,38030344.0,0.1,0.1,3877000.0,3877000.0,3877000.0,0.0,3877000.0,3877000.0,3251000.0,7128000.0,1996000.0,1996000.0,,,299000.0,,4833000.0,133594000.0,17964000.0,115630000.0,138427000.0,82789000.0,221216000.0,221216000.0,2022-12-31
0.0,0.01,14583000.0,,,8562000.0,6575000.0,90326000.0,14583000.0,8008000.0,554000.0,8562000.0,8562000.0,233390000.0,8008000.0,39075388.0,38186342.0,0.22,0.22,8562000.0,8562000.0,8562000.0,,8562000.0,8562000.0,90000.0,8652000.0,90000.0,90000.0,,,554000.0,-554000.0,8008000.0,143064000.0,19986000.0,123078000.0,151072000.0,90326000.0,241398000.0,241398000.0,2023-03-31
0.0,0.029,24599000.0,,,18960000.0,6710000.0,94638000.0,24599000.0,17889000.0,839000.0,18960000.0,18960000.0,243610000.0,17889000.0,39201155.0,38320999.0,0.48,0.49,18960000.0,18960000.0,18960000.0,,18960000.0,18960000.0,576000.0,19536000.0,808000.0,808000.0,,,839000.0,-839000.0,17889000.0,148972000.0,21537000.0,127435000.0,166861000.0,94638000.0,261499000.0,261499000.0,2023-06-30
-5592005.0,0.307,55988000.0,-18215000.0,-18215000.0,9214000.0,6933000.0,93228000.0,37773000.0,30840000.0,1123000.0,21836995.0,9214000.0,240106000.0,12625000.0,39219966.0,38462463.0,0.23,0.24,9214000.0,9214000.0,9214000.0,,9214000.0,9214000.0,4090000.0,13304000.0,-18659000.0,-444000.0,-18215000.0,18215000.0,1123000.0,-1123000.0,30840000.0,146878000.0,20958000.0,125920000.0,177718000.0,93228000.0,270946000.0,270946000.0,2023-09-30
0.0,0.21,31691000.0,0.0,0.0,54218000.0,7039000.0,97687000.0,31691000.0,24652000.0,2570000.0,54218000.0,54218000.0,249650000.0,35029000.0,,,,,54218000.0,54218000.0,54218000.0,,54218000.0,54218000.0,-16060000.0,38158000.0,559000.0,559000.0,0.0,0.0,2570000.0,,35029000.0,151963000.0,21942000.0,130021000.0,186992000.0,97687000.0,284679000.0,284679000.0,2023-12-31
