tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,other_special_charges,write_off,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-21000.0,0.21,120600000.0,-100000.0,-100000.0,-26700000.0,92800000.0,1481100000.0,120500000.0,27700000.0,-28400000.0,34000000.0,5600000.0,-26621000.0,-37300000.0,1665200000.0,444600000.0,444600000.0,-0.08,-0.08,-37300000.0,-37300000.0,-37300000.0,-6000000.0,-31300000.0,-10600000.0,-20700000.0,14400000.0,-6300000.0,-7100000.0,-28100000.0,27600000.0,,0.0,100000.0,21100000.0,-28400000.0,34000000.0,5600000.0,29200000.0,184100000.0,21900000.0,162200000.0,213300000.0,1481100000.0,1694400000.0,1636800000.0,2022-12-31
-126000.0,0.21,165800000.0,-600000.0,-600000.0,400000.0,93000000.0,1496500000.0,165200000.0,72200000.0,-18700000.0,27000000.0,8300000.0,874000.0,400000.0,1665800000.0,455000000.0,442100000.0,0.000879,0.000905,400000.0,400000.0,400000.0,-7400000.0,7800000.0,0.0,7800000.0,37400000.0,45200000.0,12300000.0,-1300000.0,-600000.0,,,600000.0,14200000.0,-18700000.0,27000000.0,8300000.0,51600000.0,169300000.0,15400000.0,153900000.0,220900000.0,1496500000.0,1717400000.0,1663200000.0,2023-03-31
-1071000.0,0.21,83500000.0,-5100000.0,-5100000.0,-87200000.0,97000000.0,1641800000.0,78400000.0,-18600000.0,-30300000.0,34400000.0,4100000.0,-83171000.0,-87200000.0,1808600000.0,440100000.0,440100000.0,-0.2,-0.2,-87200000.0,-87200000.0,-87200000.0,9100000.0,-96300000.0,,-96300000.0,43300000.0,-53000000.0,-186300000.0,-182300000.0,-5100000.0,0.0,,5100000.0,1100000.0,-30300000.0,34400000.0,4100000.0,163600000.0,166800000.0,16800000.0,150000000.0,330400000.0,1641800000.0,1972200000.0,1908200000.0,2023-06-30
-739600.0,0.172,241500000.0,-4300000.0,-4300000.0,90000000.0,93300000.0,1690500000.0,237200000.0,143900000.0,-26700000.0,30700000.0,4000000.0,93560400.0,90000000.0,1891800000.0,450300000.0,436900000.0,0.2,0.21,90000000.0,90000000.0,90000000.0,-3700000.0,93700000.0,0.0,93700000.0,19500000.0,113200000.0,-25200000.0,-41500000.0,-4300000.0,,,4300000.0,20600000.0,-26700000.0,30700000.0,4000000.0,165100000.0,201300000.0,17500000.0,183800000.0,366400000.0,1690500000.0,2056900000.0,1973800000.0,2023-09-30
-2100000.0,0.21,235800000.0,-10000000.0,-10000000.0,53000000.0,94500000.0,1721300000.0,225800000.0,131300000.0,-13000000.0,30100000.0,17100000.0,60900000.0,53000000.0,1928800000.0,,,,,53000000.0,53000000.0,53000000.0,6300000.0,46700000.0,0.0,46700000.0,54500000.0,101200000.0,-34700000.0,-23200000.0,-10000000.0,,,,-1500000.0,-13000000.0,30100000.0,17100000.0,148900000.0,207500000.0,19300000.0,188200000.0,356400000.0,1721300000.0,2077700000.0,2005500000.0,2023-12-31
