ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,dividends_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,current_assets,other_current_assets,receivables,other_receivables,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
443166000.0,443166000.0,5405571000.0,7116322000.0,5628150000.0,12744472000.0,1388125000.0,5628150000.0,5628150000.0,11746960000.0,9525373000.0,3897223000.0,5628150000.0,0.0,2806000.0,1964689000.0,3666160000.0,107000.0,107000.0,7288093000.0,6121310000.0,2500000.0,6118810000.0,6118810000.0,1166783000.0,12400000.0,997512000.0,997512000.0,997512000.0,156871000.0,54162000.0,54162000.0,102709000.0,94803000.0,7906000.0,16813466000.0,14258558000.0,29629000.0,14228929000.0,13831754000.0,13831754000.0,397175000.0,0.0,2554908000.0,90520000.0,36597000.0,36597000.0,2427791000.0,717040000.0,1710751000.0,2022-12-31
448287000.0,448287000.0,5145694000.0,7121383000.0,5953749000.0,13075132000.0,1514342000.0,5953749000.0,5953749000.0,12076691000.0,9822000000.0,3868251000.0,5953749000.0,,2828000.0,2216811000.0,3739658000.0,108000.0,108000.0,7252121000.0,6135242000.0,12300000.0,6122942000.0,6122942000.0,1116879000.0,,998441000.0,998441000.0,,118438000.0,13199000.0,13199000.0,105239000.0,98582000.0,6657000.0,17074121000.0,14442900000.0,28030000.0,14414870000.0,14030545000.0,14030545000.0,384325000.0,,2631221000.0,4570000.0,38440000.0,38440000.0,2588211000.0,612522000.0,1975689000.0,2023-03-31
450352000.0,450352000.0,4953367000.0,7126444000.0,6281667000.0,13408111000.0,1781317000.0,6281667000.0,6281667000.0,12408741000.0,9813686000.0,3532019000.0,6281667000.0,,2629000.0,2252945000.0,4031242000.0,109000.0,109000.0,7307796000.0,6135574000.0,8500000.0,6127074000.0,6127074000.0,1172222000.0,,999370000.0,999370000.0,,172852000.0,54162000.0,54162000.0,118690000.0,112881000.0,5809000.0,17121482000.0,14167943000.0,29408000.0,14138535000.0,13754234000.0,13754234000.0,384301000.0,,2953539000.0,10224000.0,35228000.0,35228000.0,2908087000.0,735010000.0,2173077000.0,2023-06-30
445843000.0,445843000.0,5194746000.0,6131194000.0,6138922000.0,12270116000.0,1600672000.0,6138922000.0,6138922000.0,12270116000.0,9585097000.0,3446175000.0,6138922000.0,,2624000.0,2134680000.0,4006758000.0,108000.0,108000.0,6270427000.0,6142494000.0,11300000.0,6131194000.0,6131194000.0,127933000.0,,,,,127933000.0,12595000.0,12595000.0,115338000.0,101711000.0,13627000.0,15855524000.0,14126919000.0,20212000.0,14106707000.0,13728416000.0,13728416000.0,378291000.0,,1728605000.0,6784000.0,37913000.0,37913000.0,1683908000.0,747460000.0,936448000.0,2023-09-30
446692000.0,446692000.0,5658275000.0,6135285000.0,6526497000.0,12661782000.0,1112816000.0,6526497000.0,6526497000.0,12661782000.0,10084289000.0,3557792000.0,6526497000.0,0.0,2629000.0,2517583000.0,4011435000.0,108000.0,108000.0,6297562000.0,6136185000.0,900000.0,6135285000.0,6135285000.0,161377000.0,11375000.0,,,,150002000.0,51682000.0,51682000.0,98320000.0,83155000.0,15165000.0,16381851000.0,15107658000.0,6522000.0,15101136000.0,14725242000.0,14725242000.0,375894000.0,,1274193000.0,3798000.0,36647000.0,36647000.0,1233748000.0,756738000.0,477010000.0,2023-12-31
