free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,end_cash_position,other_cash_adjustment_outside_changein_cash,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,net_other_financing_charges,interest_paid_cff,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,net_other_investing_changes,interest_received_cfi,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,sale_of_business,purchase_of_business,net_ppe_purchase_and_sale,sale_of_ppe,capital_expenditure_reported,operating_cash_flow,taxes_refund_paid,dividend_received_cfo,change_in_working_capital,change_in_payable,change_in_inventory,change_in_receivables,other_non_cash_items,depreciation_and_amortization,depreciation,pension_and_employee_benefit_expense,gain_loss_on_investment_securities,net_income_from_continuing_operations,date
15987000000.0,-5017000000.0,-2216000000.0,30000000.0,,-6418000000.0,40246000000.0,,35978000000.0,860000000.0,3409000000.0,-12078000000.0,-1617000000.0,-1183000000.0,-1785000000.0,-1785000000.0,-5017000000.0,-5017000000.0,,-2434000000.0,-248000000.0,-2186000000.0,-2216000000.0,30000000.0,-6918000000.0,-236000000.0,401000000.0,23000000.0,65000000.0,-42000000.0,-740000000.0,119000000.0,-859000000.0,52000000.0,52000000.0,-6418000000.0,22405000000.0,-4372000000.0,1413000000.0,10391000000.0,2309000000.0,2903000000.0,5179000000.0,-1036000000.0,1867000000.0,1867000000.0,135000000.0,-7690000000.0,16444000000.0,2022-12-31
7998000000.0,-4523000000.0,-1453000000.0,415000000.0,,-6161000000.0,42074000000.0,-1000000.0,40246000000.0,293000000.0,1536000000.0,-8385000000.0,170000000.0,-869000000.0,-2029000000.0,-2029000000.0,-4523000000.0,-4523000000.0,,-1124000000.0,-86000000.0,-1038000000.0,-1453000000.0,415000000.0,-4238000000.0,77000000.0,448000000.0,-31000000.0,2000000.0,-33000000.0,-50000000.0,257000000.0,-307000000.0,1479000000.0,1479000000.0,-6161000000.0,14159000000.0,-3144000000.0,896000000.0,-772000000.0,-10932000000.0,4217000000.0,5943000000.0,250000000.0,5697000000.0,5697000000.0,15000000.0,-2381000000.0,14354000000.0,2023-03-31
10516000000.0,-3624000000.0,-1774000000.0,362000000.0,86000000.0,-4614000000.0,45094000000.0,1000000.0,42074000000.0,-93000000.0,3112000000.0,-9003000000.0,-151000000.0,-1158000000.0,-1983000000.0,-1983000000.0,-3538000000.0,-3624000000.0,86000000.0,-1598000000.0,-186000000.0,-1412000000.0,-1774000000.0,362000000.0,-3015000000.0,1113000000.0,522000000.0,-62000000.0,18000000.0,-80000000.0,-336000000.0,100000000.0,-436000000.0,362000000.0,362000000.0,-4614000000.0,15130000000.0,-3773000000.0,884000000.0,4841000000.0,-4619000000.0,1171000000.0,8289000000.0,1330000000.0,5708000000.0,5708000000.0,14000000.0,-960000000.0,5348000000.0,2023-06-30
7073000000.0,-2755000000.0,-3368000000.0,187000000.0,,-5259000000.0,43031000000.0,,45094000000.0,-421000000.0,-1642000000.0,-9147000000.0,-20000000.0,-1049000000.0,-2179000000.0,-2179000000.0,-2755000000.0,-2755000000.0,,-3093000000.0,88000000.0,-3181000000.0,-3368000000.0,187000000.0,-4827000000.0,-23000000.0,586000000.0,-33000000.0,7000000.0,-40000000.0,-282000000.0,68000000.0,-350000000.0,184000000.0,184000000.0,-5259000000.0,12332000000.0,-3191000000.0,749000000.0,434000000.0,4711000000.0,-3151000000.0,-1126000000.0,433000000.0,5716000000.0,5716000000.0,1000000.0,-2733000000.0,11291000000.0,2023-09-30
5609000000.0,-4690000000.0,-4054000000.0,65000000.0,,-6960000000.0,38774000000.0,,43031000000.0,528000000.0,-4785000000.0,-11700000000.0,699000000.0,-1365000000.0,-2201000000.0,-2201000000.0,-4690000000.0,-4690000000.0,,-4015000000.0,-26000000.0,-3989000000.0,-4054000000.0,65000000.0,-5654000000.0,276000000.0,569000000.0,-20000000.0,23000000.0,-43000000.0,-60000000.0,49000000.0,-109000000.0,541000000.0,541000000.0,-6960000000.0,12569000000.0,-3604000000.0,1145000000.0,3337000000.0,-47000000.0,4088000000.0,-704000000.0,-676000000.0,14170000000.0,14170000000.0,-68000000.0,105000000.0,1634000000.0,2023-12-31
