treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,commercial_paper,current_notes_payable,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,other_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,defined_pension_benefit,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_accounts_receivable,investments_and_advances,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,restricted_cash,inventory,finished_goods,raw_materials,receivables,receivables_adjustments_allowances,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,1281000000.0,1281000000.0,8302000000.0,13484000000.0,1728000000.0,32329000000.0,-2668000000.0,1728000000.0,1019000000.0,19864000000.0,27717000000.0,19909000000.0,45000000.0,19864000000.0,-3098000000.0,-3098000000.0,-5350000000.0,28299000000.0,13000000.0,13000000.0,37214000000.0,14040000000.0,846000000.0,944000000.0,944000000.0,271000000.0,3275000000.0,2955000000.0,320000000.0,8704000000.0,851000000.0,7853000000.0,23174000000.0,3451000000.0,3451000000.0,4780000000.0,168000000.0,4612000000.0,3876000000.0,542000000.0,194000000.0,1401000000.0,13542000000.0,3239000000.0,10303000000.0,508000000.0,1078000000.0,176000000.0,8717000000.0,57123000000.0,36617000000.0,1757000000.0,1287000000.0,1287000000.0,2127000000.0,2127000000.0,4512000000.0,2160000000.0,2160000000.0,18136000000.0,733000000.0,17403000000.0,6638000000.0,-5522000000.0,12160000000.0,854000000.0,9729000000.0,1503000000.0,74000000.0,0.0,20506000000.0,3559000000.0,600000000.0,5161000000.0,2187000000.0,2974000000.0,7623000000.0,-25000000.0,3767000000.0,3856000000.0,-25000000.0,3881000000.0,4163000000.0,4163000000.0,2022-10-31
,1297000000.0,1297000000.0,10396000000.0,12926000000.0,1915000000.0,32937000000.0,-3242000000.0,1915000000.0,,20011000000.0,27588000000.0,20063000000.0,52000000.0,20011000000.0,-3256000000.0,-3256000000.0,-5005000000.0,28259000000.0,13000000.0,13000000.0,35528000000.0,14052000000.0,6475000000.0,,,,,,,7577000000.0,,7577000000.0,21476000000.0,3533000000.0,3533000000.0,5349000000.0,,5349000000.0,3727000000.0,1439000000.0,183000000.0,1284000000.0,11310000000.0,4565000000.0,6745000000.0,,210000000.0,210000000.0,6535000000.0,55591000000.0,37357000000.0,11046000000.0,,,,,11046000000.0,2225000000.0,2225000000.0,18096000000.0,675000000.0,17421000000.0,5990000000.0,-5683000000.0,11673000000.0,,10075000000.0,1524000000.0,74000000.0,0.0,18234000000.0,2819000000.0,314000000.0,4644000000.0,1999000000.0,2645000000.0,7927000000.0,-27000000.0,4012000000.0,3915000000.0,-27000000.0,3942000000.0,2530000000.0,2530000000.0,2023-01-31
,1292000000.0,1292000000.0,10595000000.0,13376000000.0,1958000000.0,33742000000.0,-2691000000.0,1958000000.0,,20366000000.0,28738000000.0,20421000000.0,55000000.0,20366000000.0,-3178000000.0,-3178000000.0,-4743000000.0,28274000000.0,13000000.0,13000000.0,35128000000.0,14877000000.0,6505000000.0,,,,,,,8372000000.0,,8372000000.0,20251000000.0,3621000000.0,3621000000.0,5004000000.0,,5004000000.0,3801000000.0,1028000000.0,175000000.0,1439000000.0,10187000000.0,4488000000.0,5699000000.0,,198000000.0,198000000.0,5501000000.0,55549000000.0,37989000000.0,11287000000.0,,,,,11287000000.0,2281000000.0,2281000000.0,18408000000.0,675000000.0,17733000000.0,6013000000.0,-5867000000.0,11880000000.0,,10258000000.0,1548000000.0,74000000.0,0.0,17560000000.0,2861000000.0,174000000.0,4317000000.0,1350000000.0,2967000000.0,7427000000.0,-27000000.0,4008000000.0,3419000000.0,-27000000.0,3446000000.0,2781000000.0,2781000000.0,2023-04-30
,1282738000.0,1282738000.0,10433000000.0,13352000000.0,1903000000.0,33974000000.0,-2515000000.0,1903000000.0,,20622000000.0,29488000000.0,20677000000.0,55000000.0,20622000000.0,-3149000000.0,-3149000000.0,-4433000000.0,28191000000.0,13000000.0,13000000.0,35738000000.0,15568000000.0,6702000000.0,,,,,,,8866000000.0,,8866000000.0,20170000000.0,3654000000.0,3654000000.0,4486000000.0,,4486000000.0,3666000000.0,651000000.0,169000000.0,1570000000.0,10460000000.0,4641000000.0,5819000000.0,,215000000.0,215000000.0,5604000000.0,56415000000.0,38760000000.0,11659000000.0,,,,,11659000000.0,2293000000.0,2293000000.0,18719000000.0,725000000.0,17994000000.0,6089000000.0,-5949000000.0,12038000000.0,,10433000000.0,1531000000.0,74000000.0,0.0,17655000000.0,2816000000.0,213000000.0,4541000000.0,2001000000.0,2540000000.0,7166000000.0,-30000000.0,4024000000.0,3142000000.0,-30000000.0,3172000000.0,2919000000.0,2919000000.0,2023-07-31
0.0,1282630000.0,1282630000.0,8085000000.0,13515000000.0,2540000000.0,33537000000.0,-2934000000.0,2540000000.0,1160000000.0,21182000000.0,28669000000.0,21238000000.0,56000000.0,21182000000.0,-3084000000.0,-3084000000.0,-3946000000.0,28199000000.0,13000000.0,13000000.0,35915000000.0,14033000000.0,899000000.0,841000000.0,841000000.0,233000000.0,3607000000.0,3281000000.0,326000000.0,8453000000.0,966000000.0,7487000000.0,21882000000.0,3658000000.0,3658000000.0,5062000000.0,194000000.0,4868000000.0,4022000000.0,679000000.0,167000000.0,1724000000.0,11438000000.0,3154000000.0,8284000000.0,207000000.0,941000000.0,155000000.0,7136000000.0,57153000000.0,38205000000.0,1792000000.0,,1313000000.0,2264000000.0,2264000000.0,5028000000.0,2197000000.0,2197000000.0,18642000000.0,654000000.0,17988000000.0,6969000000.0,-5980000000.0,12949000000.0,980000000.0,10382000000.0,1521000000.0,66000000.0,0.0,18948000000.0,3047000000.0,,4607000000.0,1667000000.0,2940000000.0,7024000000.0,,3807000000.0,3217000000.0,-37000000.0,3254000000.0,4270000000.0,4270000000.0,2023-10-31
0.0,1300000000.0,1300000000.0,9039000000.0,12797000000.0,2846000000.0,34213000000.0,-2391000000.0,2846000000.0,,21416000000.0,29256000000.0,21468000000.0,52000000.0,21416000000.0,-3108000000.0,-3108000000.0,-3728000000.0,28239000000.0,13000000.0,13000000.0,37134000000.0,14499000000.0,6659000000.0,,,,,,,7840000000.0,,7840000000.0,22635000000.0,3718000000.0,3718000000.0,4957000000.0,,4957000000.0,4131000000.0,674000000.0,152000000.0,1027000000.0,12933000000.0,4626000000.0,8307000000.0,,182000000.0,182000000.0,8125000000.0,58602000000.0,38358000000.0,11542000000.0,,,,,,2249000000.0,2249000000.0,18570000000.0,582000000.0,17988000000.0,5997000000.0,-6180000000.0,12177000000.0,,10564000000.0,1547000000.0,66000000.0,0.0,20244000000.0,3027000000.0,,6049000000.0,1316000000.0,4733000000.0,7410000000.0,-36000000.0,3906000000.0,3540000000.0,,,3758000000.0,3758000000.0,2024-01-31
