tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
193143.097716,0.226694,949840000.0,852000.0,852000.0,484921000.0,157415000.0,4050660000.0,950692000.0,793277000.0,-166202000.0,166202000.0,484262143.097716,484921000.0,4275219000.0,756812000.0,,,,,484646000.0,0.0,484646000.0,275000.0,484921000.0,484921000.0,484921000.0,142154000.0,627075000.0,36465000.0,-957000.0,852000.0,-852000.0,,36570000.0,-166202000.0,166202000.0,756812000.0,224559000.0,-97580000.0,47400000.0,981371000.0,4050660000.0,5032031000.0,5032031000.0,2022-12-31
0.0,0.239304,1707000000.0,,,1049000000.0,162000000.0,3509000000.0,1707000000.0,1545000000.0,-166000000.0,166000000.0,1049000000.0,1049000000.0,3024000000.0,1497000000.0,449000000.0,448000000.0,2.34,2.34,1049000000.0,0.0,1049000000.0,,1049000000.0,1049000000.0,1049000000.0,330000000.0,1379000000.0,48000000.0,8000000.0,,,,40000000.0,-166000000.0,166000000.0,1497000000.0,-485000000.0,-781000000.0,57000000.0,1012000000.0,3509000000.0,4521000000.0,4521000000.0,2023-03-31
0.0,0.236542,963000000.0,,,468000000.0,170000000.0,2652000000.0,963000000.0,793000000.0,-180000000.0,180000000.0,468000000.0,468000000.0,2995000000.0,737000000.0,449000000.0,448300000.0,1.04,1.04,468000000.0,0.0,468000000.0,,468000000.0,468000000.0,468000000.0,145000000.0,613000000.0,56000000.0,13000000.0,,,,43000000.0,-180000000.0,180000000.0,737000000.0,343000000.0,,47000000.0,1080000000.0,2652000000.0,3732000000.0,3732000000.0,2023-06-30
-29147899.159664,0.236975,1110000000.0,-123000000.0,-123000000.0,454000000.0,177000000.0,2976000000.0,987000000.0,810000000.0,-215000000.0,215000000.0,547852100.840336,454000000.0,3327000000.0,739000000.0,458200000.0,457300000.0,0.99,0.99,453000000.0,0.0,453000000.0,1000000.0,454000000.0,454000000.0,454000000.0,141000000.0,595000000.0,-52000000.0,22000000.0,-123000000.0,,123000000.0,49000000.0,-215000000.0,215000000.0,862000000.0,351000000.0,-1000000.0,44000000.0,1213000000.0,2976000000.0,4189000000.0,4189000000.0,2023-09-30
-6098901.098901,0.243956,1500000000.0,-25000000.0,-25000000.0,688000000.0,260000000.0,3561000000.0,1475000000.0,1215000000.0,-305000000.0,305000000.0,706901098.901099,688000000.0,4111000000.0,1099000000.0,,,,,688000000.0,0.0,688000000.0,0.0,688000000.0,688000000.0,688000000.0,222000000.0,910000000.0,91000000.0,46000000.0,-25000000.0,,25000000.0,70000000.0,-305000000.0,305000000.0,1124000000.0,550000000.0,-4000000.0,68000000.0,1674000000.0,3561000000.0,5235000000.0,5235000000.0,2023-12-31
