free_cash_flow,repurchase_of_capital_stock,issuance_of_capital_stock,capital_expenditure,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,proceeds_from_stock_option_exercised,net_common_stock_issuance,common_stock_payments,common_stock_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,purchase_of_business,net_intangibles_purchase_and_sale,purchase_of_intangibles,net_ppe_purchase_and_sale,sale_of_ppe,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_prepaid_assets,change_in_inventory,change_in_receivables,other_non_cash_items,stock_based_compensation,unrealized_gain_loss_on_investment_securities,provisionand_write_offof_assets,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,gain_loss_on_investment_securities,gain_loss_on_sale_of_ppe,net_income_from_continuing_operations,date
119422000.0,0.0,,-11698000.0,3005000.0,355552000.0,149430000.0,3403000.0,202719000.0,600565000.0,600565000.0,-197473000.0,,0.0,0.0,,-528966000.0,-528966000.0,-517329000.0,56653000.0,-573982000.0,0.0,0.0,-114000.0,-114000.0,-11523000.0,61000.0,-11584000.0,131120000.0,131120000.0,74366000.0,44531000.0,52073000.0,52073000.0,52073000.0,-34336000.0,-29720000.0,41818000.0,735000.0,31722000.0,,130000.0,-8303000.0,-8303000.0,6210000.0,6210000.0,-2915000.0,-6445000.0,3530000.0,29175000.0,2022-12-31
-64961000.0,,33650000.0,-8638000.0,20936000.0,265324000.0,355552000.0,779000.0,-91007000.0,37990000.0,37990000.0,-34841000.0,39181000.0,33650000.0,,33650000.0,-72674000.0,-72674000.0,-64036000.0,81088000.0,-145124000.0,,,-125000.0,-125000.0,-8513000.0,0.0,-8513000.0,-56323000.0,-56323000.0,-117434000.0,50199000.0,-37043000.0,-37043000.0,-37043000.0,-64348000.0,-15811000.0,-50431000.0,-876000.0,34350000.0,-15570000.0,28000.0,-8805000.0,-8805000.0,6689000.0,6689000.0,156000.0,,156000.0,45139000.0,2023-03-31
29457000.0,,61156000.0,-13199000.0,4116000.0,476201000.0,265324000.0,27000.0,210850000.0,14264000.0,14264000.0,-62214000.0,15322000.0,61156000.0,,61156000.0,153930000.0,153930000.0,188152000.0,299994000.0,-111842000.0,,,-62000.0,-62000.0,-13134000.0,3000.0,-13137000.0,42656000.0,42656000.0,-43736000.0,19687000.0,1067000.0,1067000.0,1067000.0,15058000.0,-27774000.0,-51774000.0,-1715000.0,31891000.0,61912000.0,313000.0,-25933000.0,-25933000.0,7480000.0,7480000.0,24000.0,,24000.0,12420000.0,2023-06-30
48526000.0,,-101000.0,-14366000.0,22637000.0,408011000.0,476201000.0,-2007000.0,-66183000.0,-7122000.0,-7122000.0,-7021000.0,0.0,-101000.0,,-101000.0,-121953000.0,-121953000.0,-107587000.0,80132000.0,-187719000.0,-64000.0,-64000.0,-392000.0,-392000.0,-13910000.0,64000.0,-13974000.0,62892000.0,62892000.0,-13753000.0,48408000.0,49399000.0,49399000.0,49399000.0,-15318000.0,-15979000.0,-80263000.0,-2329000.0,29987000.0,-4036000.0,,-14271000.0,-14271000.0,8418000.0,8418000.0,,,,59397000.0,2023-09-30
115971000.0,,0.0,-24067000.0,16803000.0,600670000.0,408011000.0,3266000.0,189393000.0,-3818000.0,-3818000.0,-3818000.0,0.0,0.0,,0.0,53173000.0,53173000.0,77209000.0,196204000.0,-118995000.0,0.0,0.0,-56000.0,-56000.0,-23980000.0,31000.0,-24011000.0,140038000.0,140038000.0,56560000.0,45749000.0,50961000.0,50961000.0,50961000.0,-37762000.0,-12332000.0,9944000.0,765000.0,35130000.0,,,-19218000.0,-19218000.0,10051000.0,10051000.0,,,,57271000.0,2023-12-31
