treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,long_term_equity_investment,investmentsin_joint_venturesat_cost,investments_in_other_ventures_under_equity_method,investmentsin_associatesat_cost,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,prepaid_assets,inventory,inventories_adjustments_allowances,finished_goods,raw_materials,receivables,other_receivables,duefrom_related_parties_current,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,current_debt,other_current_borrowings
,103969805.0,103969805.0,802600000.0,1070100000.0,182600000.0,2342500000.0,611800000.0,182600000.0,79300000.0,1351700000.0,2342500000.0,1351700000.0,1351700000.0,-33100000.0,-33100000.0,1280800000.0,104000000.0,104000000.0,0.0,2204300000.0,1140700000.0,42000000.0,44300000.0,44300000.0,1054400000.0,63600000.0,990800000.0,1063600000.0,15700000.0,15700000.0,101400000.0,946500000.0,367800000.0,11400000.0,578700000.0,578700000.0,3556000000.0,1880600000.0,19100000.0,5300000.0,5300000.0,39300000.0,39300000.0,39300000.0,39349000.0,39349000.0,1169100000.0,585800000.0,583300000.0,647800000.0,-844800000.0,1492600000.0,144400000.0,302000000.0,662300000.0,324300000.0,59600000.0,0.0,1675400000.0,103400000.0,103279000.0,1051100000.0,-169900000.0,738100000.0,482900000.0,332700000.0,25000000.0,17700000.0,290000000.0,-3300000.0,293300000.0,188200000.0,188200000.0,2022-10-31,,
,104283002.0,104283002.0,916978000.0,1167657000.0,282557000.0,2535186000.0,769721000.0,282557000.0,76642000.0,1444171000.0,2535186000.0,1444171000.0,1444171000.0,-28605000.0,-28605000.0,1368493000.0,104283000.0,104283000.0,0.0,2210775000.0,1222802000.0,39663000.0,31444000.0,31444000.0,1151695000.0,60680000.0,1091015000.0,987973000.0,15962000.0,15962000.0,,972011000.0,496793000.0,,475218000.0,475218000.0,3654946000.0,1897252000.0,19445000.0,11747000.0,11747000.0,45726000.0,45726000.0,,45726000.0,,1161614000.0,577064000.0,584550000.0,658720000.0,-866354000.0,1525074000.0,169103000.0,301534000.0,665290000.0,327731000.0,61416000.0,0.0,1757694000.0,74957000.0,,1131438000.0,-169872000.0,803027000.0,498283000.0,377262000.0,,,377262000.0,,,174037000.0,174037000.0,2023-01-31,,
,104135643.0,104135643.0,889858000.0,1115041000.0,407032000.0,2601159000.0,802833000.0,407032000.0,73879000.0,1559997000.0,2601159000.0,1559997000.0,1559997000.0,-29185000.0,-29185000.0,1485046000.0,104136000.0,104136000.0,0.0,2181378000.0,1157377000.0,39734000.0,18515000.0,18515000.0,1099128000.0,57966000.0,1041162000.0,1024001000.0,15913000.0,15913000.0,,1008088000.0,493264000.0,,514824000.0,514824000.0,3741375000.0,1914541000.0,19357000.0,11348000.0,11348000.0,53244000.0,53244000.0,,53244000.0,53244000.0,1152965000.0,568356000.0,584609000.0,677627000.0,-884195000.0,1561822000.0,199861000.0,227033000.0,673135000.0,400189000.0,61604000.0,0.0,1826834000.0,86076000.0,,1127474000.0,-169872000.0,844596000.0,452750000.0,461980000.0,,,461980000.0,,,151304000.0,151304000.0,2023-04-30,,
,103834891.0,103834891.0,913383000.0,1180358000.0,476629000.0,2538392000.0,824290000.0,476629000.0,119049000.0,1477083000.0,2538392000.0,1477083000.0,1477083000.0,-30592000.0,-30592000.0,1403840000.0,103835000.0,103835000.0,0.0,2108807000.0,1201309000.0,38670000.0,109000.0,109000.0,1162530000.0,101221000.0,1061309000.0,907498000.0,17828000.0,17828000.0,,889670000.0,482304000.0,,407366000.0,407366000.0,3585890000.0,1854102000.0,21823000.0,41711000.0,41711000.0,48528000.0,48528000.0,,48528000.0,48528000.0,1000454000.0,549190000.0,451264000.0,741586000.0,-902391000.0,1643977000.0,204317000.0,352040000.0,693548000.0,331052000.0,63020000.0,0.0,1731788000.0,80493000.0,,1112692000.0,-169872000.0,847494000.0,435070000.0,390677000.0,,,390677000.0,,,147926000.0,147926000.0,2023-07-31,,
0.0,103843485.0,103843485.0,838400000.0,1163100000.0,520000000.0,2542400000.0,850200000.0,520000000.0,131600000.0,1510900000.0,2542400000.0,1510900000.0,1510900000.0,-37000000.0,-37000000.0,1444100000.0,103800000.0,103800000.0,0.0,2133400000.0,1184800000.0,40800000.0,400000.0,400000.0,1143600000.0,112100000.0,1031500000.0,948600000.0,19500000.0,19500000.0,98700000.0,830400000.0,400400000.0,11600000.0,430000000.0,430000000.0,3644300000.0,1845500000.0,22800000.0,14200000.0,14200000.0,50600000.0,50600000.0,50600000.0,,,990900000.0,540100000.0,450800000.0,767000000.0,-899300000.0,1666300000.0,133200000.0,385700000.0,722600000.0,355800000.0,69000000.0,0.0,1798800000.0,110500000.0,,1087800000.0,-156700000.0,844200000.0,400300000.0,407400000.0,23500000.0,34400000.0,349500000.0,-3000000.0,352500000.0,193100000.0,193100000.0,2023-10-31,,
,104013541.0,104013541.0,988100000.0,1313800000.0,565200000.0,2734500000.0,1044600000.0,565200000.0,127200000.0,1547900000.0,2727700000.0,1547900000.0,1547900000.0,-35000000.0,-35000000.0,1478900000.0,104000000.0,104000000.0,0.0,2253200000.0,1331300000.0,42700000.0,400000.0,400000.0,1288200000.0,108400000.0,1179800000.0,921900000.0,25600000.0,18800000.0,,896300000.0,474500000.0,,421800000.0,421800000.0,3801100000.0,1834600000.0,22200000.0,20300000.0,20300000.0,48400000.0,48400000.0,48400000.0,,,982700000.0,531500000.0,451200000.0,761000000.0,-923400000.0,1684400000.0,151800000.0,382500000.0,724500000.0,356200000.0,69400000.0,0.0,1966500000.0,101800000.0,,1177100000.0,-156700000.0,902800000.0,431000000.0,489100000.0,,,489100000.0,,,198500000.0,198500000.0,2024-01-31,6800000.0,6800000.0
