tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,write_off,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-7520746.042971,0.241949,1213951000.0,-31084000.0,-31084000.0,882231000.0,18984000.0,3657625000.0,1182867000.0,1163883000.0,855000.0,68000.0,923000.0,905794253.957029,882231000.0,4027440000.0,228102000.0,227200000.0,3.85,3.86,877009000.0,31000.0,876978000.0,5253000.0,882231000.0,882231000.0,882231000.0,281584000.0,1163815000.0,19022000.0,1816000.0,-31084000.0,,31084000.0,48290000.0,855000.0,68000.0,923000.0,1143938000.0,353596000.0,2765000.0,2765000.0,2765000.0,2765000.0,350831000.0,1497534000.0,3673844000.0,5171378000.0,5171378000.0,2022-12-31
-1375286.0,0.242,727051000.0,-5683000.0,-5683000.0,532259000.0,19139000.0,2524863000.0,721368000.0,702229000.0,6989000.0,107000.0,7096000.0,536566714.0,532259000.0,2880520000.0,225957000.0,225127000.0,2.35,2.35,529998000.0,13000.0,529985000.0,2274000.0,532259000.0,532259000.0,532259000.0,169863000.0,702122000.0,12000.0,3182000.0,-5683000.0,,5683000.0,2513000.0,6989000.0,107000.0,7096000.0,695121000.0,339188000.0,2670000.0,2670000.0,2670000.0,2670000.0,336518000.0,1034309000.0,2541332000.0,3575641000.0,3575641000.0,2023-03-31
-363560.0,0.244,974688000.0,-1490000.0,-1490000.0,720345000.0,20065000.0,2918191000.0,973198000.0,953133000.0,15182000.0,120000.0,15302000.0,721471440.0,720345000.0,3252893000.0,223392000.0,222160000.0,3.21,3.23,717876000.0,18000.0,717858000.0,2487000.0,720345000.0,720345000.0,720345000.0,232668000.0,953013000.0,1971000.0,2517000.0,-1490000.0,,1490000.0,944000.0,15182000.0,120000.0,15302000.0,935860000.0,317260000.0,2623000.0,2623000.0,2623000.0,2623000.0,314637000.0,1253120000.0,2935633000.0,4188753000.0,4188753000.0,2023-06-30
-515124.0,0.246,870089000.0,-2094000.0,-2094000.0,638775000.0,20561000.0,2803096000.0,867995000.0,847434000.0,19183000.0,120000.0,19303000.0,640353876.0,638775000.0,3176824000.0,219682000.0,218288000.0,2.9,2.92,636588000.0,17000.0,636571000.0,2204000.0,638775000.0,638775000.0,638775000.0,208539000.0,847314000.0,1422000.0,2625000.0,-2094000.0,-362000.0,2456000.0,891000.0,19183000.0,120000.0,19303000.0,826709000.0,355790000.0,2623000.0,2623000.0,2623000.0,2623000.0,353167000.0,1182499000.0,2821034000.0,4003533000.0,4003533000.0,2023-09-30
-3382883.669301,0.249071,981581000.0,-13582000.0,-13582000.0,710993000.0,21059000.0,3025659000.0,967999000.0,946940000.0,19710000.0,122000.0,19832000.0,721192116.330699,710993000.0,3355037000.0,215763000.0,214399000.0,3.28,3.3,708564000.0,18000.0,708546000.0,2447000.0,710993000.0,710993000.0,710993000.0,235825000.0,946818000.0,-11507000.0,1862000.0,-13582000.0,-301000.0,13883000.0,213000.0,19710000.0,122000.0,19832000.0,938615000.0,310942000.0,2623000.0,2623000.0,2623000.0,2623000.0,308319000.0,1249557000.0,3044095000.0,4293652000.0,4293652000.0,2023-12-31
-960798.0,0.237,893873000.0,-4054000.0,-4054000.0,662976000.0,21061000.0,2758987000.0,889819000.0,868758000.0,17264000.0,115000.0,17379000.0,666069202.0,662976000.0,3137642000.0,213546000.0,211837000.0,3.1,3.13,662976000.0,,662976000.0,,662976000.0,662976000.0,662976000.0,205667000.0,868643000.0,39861000.0,6013000.0,-4054000.0,64000.0,3990000.0,37902000.0,17264000.0,115000.0,17379000.0,811518000.0,360134000.0,2540000.0,2540000.0,2540000.0,2540000.0,357594000.0,1171652000.0,2777508000.0,3949160000.0,3949160000.0,2024-03-31
