treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,current_assets,other_current_assets,assets_held_for_sale_current,restricted_cash,inventory,finished_goods,work_in_process,raw_materials,receivables,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,commercial_paper
,132900000.0,132900000.0,3814300000.0,4524100000.0,1536900000.0,10904300000.0,945400000.0,1536900000.0,548400000.0,6928600000.0,10803800000.0,6952200000.0,23600000.0,6928600000.0,-154700000.0,,4111400000.0,2839000000.0,132900000.0,132900000.0,7282400000.0,6325800000.0,276100000.0,82200000.0,82200000.0,1232600000.0,159800000.0,1072800000.0,4423600000.0,548400000.0,3875200000.0,311300000.0,956600000.0,268900000.0,100500000.0,100500000.0,,,587200000.0,132700000.0,20000000.0,454500000.0,454500000.0,14234600000.0,12332600000.0,285200000.0,31800000.0,5391700000.0,1702100000.0,3689600000.0,6623900000.0,-5347900000.0,11971800000.0,378700000.0,924500000.0,6454200000.0,223300000.0,3991100000.0,1902000000.0,115900000.0,,100000.0,579300000.0,439300000.0,6000000.0,134000000.0,1045300000.0,199700000.0,845600000.0,-10900000.0,856500000.0,161400000.0,161400000.0,2022-12-31,
,133100000.0,133100000.0,3737800000.0,4423300000.0,1618100000.0,10864300000.0,1035600000.0,1618100000.0,545900000.0,6986900000.0,10863800000.0,7010700000.0,23800000.0,6986900000.0,-153100000.0,-153100000.0,4174000000.0,2832900000.0,133100000.0,133100000.0,7066200000.0,6309300000.0,668600000.0,,,1217900000.0,157800000.0,1060100000.0,4422800000.0,545900000.0,3876900000.0,,756900000.0,386100000.0,500000.0,500000.0,500000.0,0.0,370300000.0,,,,,14076900000.0,12284400000.0,269900000.0,31300000.0,5368800000.0,1679200000.0,3689600000.0,6614400000.0,-5468700000.0,12083100000.0,,12083100000.0,,,,1792500000.0,91900000.0,,400000.0,585600000.0,437800000.0,6200000.0,141600000.0,975000000.0,,975000000.0,-13100000.0,988100000.0,139600000.0,139600000.0,2023-03-31,
,132900000.0,132900000.0,3707700000.0,4411200000.0,1860000000.0,11076300000.0,1250400000.0,1860000000.0,537500000.0,7202600000.0,11075800000.0,7226400000.0,23800000.0,7202600000.0,-151400000.0,-151400000.0,4375700000.0,2845400000.0,132900000.0,132900000.0,7107200000.0,6313900000.0,683500000.0,,,1219700000.0,149900000.0,1069800000.0,4410700000.0,537500000.0,3873200000.0,,793300000.0,390700000.0,500000.0,500000.0,500000.0,0.0,402100000.0,,,,,14333600000.0,12289900000.0,251900000.0,31200000.0,5342600000.0,1653100000.0,3689500000.0,6664200000.0,-5566800000.0,12231000000.0,,12231000000.0,,,,2043700000.0,120500000.0,,2200000.0,594600000.0,455300000.0,7200000.0,132100000.0,1160400000.0,,1160400000.0,-14200000.0,1174600000.0,166000000.0,166000000.0,2023-06-30,
0.0,132900000.0,132900000.0,3534800000.0,4390800000.0,2437100000.0,11315400000.0,1837000000.0,2437100000.0,516000000.0,7440600000.0,11314900000.0,7465200000.0,24600000.0,7440600000.0,-149700000.0,-149700000.0,4595000000.0,2862400000.0,132900000.0,132900000.0,7155300000.0,6291100000.0,685100000.0,,,1215700000.0,147400000.0,1068300000.0,4390300000.0,516000000.0,3874300000.0,,864200000.0,450900000.0,500000.0,500000.0,500000.0,0.0,412800000.0,,,,,14620500000.0,11919300000.0,251100000.0,31200000.0,5003500000.0,1471800000.0,3531700000.0,6633500000.0,-5498400000.0,12131900000.0,,12131900000.0,,,,2701200000.0,106000000.0,495100000.0,5000000.0,570600000.0,448100000.0,8600000.0,113900000.0,1184500000.0,,1184500000.0,-14700000.0,1199200000.0,340000000.0,340000000.0,2023-09-30,
,132100000.0,132100000.0,2946700000.0,4385200000.0,2491000000.0,11361200000.0,1727300000.0,2491000000.0,507400000.0,7483400000.0,11360700000.0,7507900000.0,24500000.0,7483400000.0,-143800000.0,-143800000.0,4615000000.0,2880100000.0,132100000.0,132100000.0,7037800000.0,6240200000.0,273600000.0,83600000.0,83600000.0,1174200000.0,145300000.0,1028900000.0,4384700000.0,507400000.0,3877300000.0,324100000.0,797600000.0,238100000.0,500000.0,500000.0,500000.0,0.0,559000000.0,168600000.0,32800000.0,390400000.0,390400000.0,14545700000.0,12020800000.0,267700000.0,31300000.0,4992400000.0,1460700000.0,3531700000.0,6729400000.0,-5742200000.0,12471600000.0,319400000.0,869700000.0,6785500000.0,204400000.0,4292600000.0,2524900000.0,70400000.0,,18100000.0,615600000.0,494400000.0,6500000.0,114700000.0,889700000.0,,889700000.0,-13600000.0,903300000.0,931100000.0,931100000.0,2023-12-31,0.0
