tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-1826370.0,0.21,-116916000.0,-8697000.0,-8697000.0,-135876000.0,5249000.0,22964000.0,-125613000.0,-130862000.0,28000.0,4861000.0,4889000.0,-129005370.0,-135876000.0,154856000.0,,,,,-135876000.0,-135876000.0,-135876000.0,-135876000.0,-135876000.0,153000.0,-135723000.0,-8528000.0,169000.0,-8697000.0,28000.0,4861000.0,4889000.0,-127223000.0,131892000.0,-1368000.0,80756000.0,52504000.0,25823000.0,26681000.0,26681000.0,4669000.0,22964000.0,27633000.0,27441000.0,2022-12-31
4200000.0,0.21,-126860000.0,20000000.0,20000000.0,-112101000.0,,35613000.0,-106860000.0,-106860000.0,-5113000.0,5113000.0,,-127901000.0,-112101000.0,160661000.0,165248536.0,165248536.0,-0.68,-0.68,-112101000.0,-112101000.0,-112101000.0,-112101000.0,-112101000.0,128000.0,-111973000.0,17465000.0,-2535000.0,20000000.0,-5113000.0,5113000.0,,-124325000.0,125048000.0,,84889000.0,40159000.0,17954000.0,22205000.0,22205000.0,723000.0,35613000.0,36336000.0,36280000.0,2023-03-31
-22048740.0,0.21,-88659000.0,-104994000.0,-104994000.0,-199128000.0,,32672000.0,-193653000.0,-193653000.0,13580000.0,5185000.0,,-116182740.0,-199128000.0,176293000.0,,,,,-199128000.0,-199128000.0,-199128000.0,-199128000.0,-199128000.0,290000.0,-198838000.0,-109455000.0,-4461000.0,-104994000.0,13580000.0,5185000.0,,-102963000.0,143621000.0,,95791000.0,49182000.0,21429000.0,27753000.0,27753000.0,40658000.0,32672000.0,73330000.0,73267000.0,2023-06-30
46876.326106,0.004608,-61820000.0,10172000.0,10172000.0,-62207000.0,5171000.0,43479000.0,-51648000.0,-56819000.0,12744000.0,5676000.0,18420000.0,-72332123.673894,-62207000.0,188360000.0,,,,,-62207000.0,-62207000.0,-62207000.0,-62207000.0,-62207000.0,-288000.0,-62495000.0,17108000.0,6936000.0,10172000.0,12744000.0,5676000.0,18420000.0,-92347000.0,144881000.0,-176000.0,95855000.0,49202000.0,21098000.0,28104000.0,28104000.0,52534000.0,43479000.0,96013000.0,95994000.0,2023-09-30
-139419.189167,0.013582,-125376000.0,-10265000.0,-10265000.0,-144818000.0,5351000.0,32450000.0,-135641000.0,-140992000.0,11482000.0,5820000.0,17302000.0,-134692419.189167,-144818000.0,199314000.0,,,,,-144818000.0,-144818000.0,-144818000.0,-144818000.0,-144818000.0,-1994000.0,-146812000.0,-38444000.0,-28179000.0,-10265000.0,11482000.0,5820000.0,17302000.0,-119850000.0,166864000.0,-1203000.0,105683000.0,62384000.0,33677000.0,28707000.0,28707000.0,47014000.0,32450000.0,79464000.0,79423000.0,2023-12-31
