tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_taxes,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.21,2242000000.0,0.0,0.0,432000000.0,1433000000.0,2195000000.0,2242000000.0,809000000.0,-384000000.0,384000000.0,432000000.0,432000000.0,3957000000.0,709000000.0,1004651163.0,994000000.0,0.43,0.434608,432000000.0,432000000.0,432000000.0,0.0,432000000.0,0.0,432000000.0,-7000000.0,425000000.0,100000000.0,100000000.0,0.0,0.0,-384000000.0,384000000.0,709000000.0,1182000000.0,329000000.0,853000000.0,853000000.0,1891000000.0,2775000000.0,4666000000.0,4666000000.0,2022-12-31
0.0,0.166874,2075000000.0,,,669000000.0,860000000.0,3242000000.0,2075000000.0,1215000000.0,-412000000.0,412000000.0,669000000.0,669000000.0,4457000000.0,1106000000.0,998507463.0,994568998.0,0.67,0.672653,669000000.0,669000000.0,669000000.0,0.0,669000000.0,0.0,669000000.0,134000000.0,803000000.0,109000000.0,109000000.0,,,-412000000.0,412000000.0,1106000000.0,1215000000.0,355000000.0,860000000.0,860000000.0,2321000000.0,3242000000.0,5563000000.0,5563000000.0,2023-03-31
0.0,0.175481,1710000000.0,0.0,0.0,343000000.0,867000000.0,2923000000.0,1710000000.0,843000000.0,-427000000.0,427000000.0,343000000.0,343000000.0,4114000000.0,704000000.0,1008823529.0,995219195.0,0.34,0.344648,343000000.0,343000000.0,343000000.0,0.0,343000000.0,0.0,343000000.0,73000000.0,416000000.0,139000000.0,139000000.0,0.0,0.0,-427000000.0,427000000.0,704000000.0,1190000000.0,324000000.0,866000000.0,866000000.0,1894000000.0,2924000000.0,4818000000.0,4818000000.0,2023-06-30
0.0,0.087353,2094000000.0,0.0,0.0,700000000.0,352000000.0,4122000000.0,2094000000.0,1204000000.0,-437000000.0,437000000.0,700000000.0,700000000.0,4857000000.0,1123000000.0,1000000000.0,995437416.0,0.7,0.703208,700000000.0,700000000.0,700000000.0,0.0,700000000.0,0.0,700000000.0,67000000.0,767000000.0,81000000.0,81000000.0,0.0,0.0,-437000000.0,437000000.0,1123000000.0,1273000000.0,383000000.0,890000000.0,890000000.0,2396000000.0,3584000000.0,5980000000.0,5980000000.0,2023-09-30
1394700.13947,0.13947,2049000000.0,10000000.0,10000000.0,617000000.0,707000000.0,3233000000.0,2059000000.0,1169000000.0,-452000000.0,452000000.0,608394700.13947,617000000.0,4285000000.0,1092000000.0,,,,,617000000.0,617000000.0,617000000.0,0.0,617000000.0,0.0,617000000.0,100000000.0,717000000.0,87000000.0,77000000.0,10000000.0,,-452000000.0,452000000.0,1082000000.0,1235000000.0,345000000.0,890000000.0,890000000.0,2317000000.0,3050000000.0,5367000000.0,5367000000.0,2023-12-31
