tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,write_off,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-1269532.342221,0.243019,250550000.0,-5224000.0,-5224000.0,92305000.0,74239000.0,747595000.0,245326000.0,171087000.0,-49002000.0,49002000.0,96259467.657779,92305000.0,855507000.0,166952000.0,156372000.0,154127000.0,0.59,0.6,92305000.0,92305000.0,92305000.0,-111000.0,92416000.0,92416000.0,29669000.0,122085000.0,-1089000.0,4135000.0,-5224000.0,-4569000.0,0.0,655000.0,-49002000.0,49002000.0,172176000.0,107912000.0,107912000.0,107912000.0,107912000.0,280088000.0,747595000.0,1027683000.0,964742000.0,2022-12-31
-90405.0,0.245,317326000.0,-369000.0,-369000.0,144763000.0,71183000.0,739615000.0,316957000.0,245774000.0,-53916000.0,53916000.0,145041595.0,144763000.0,783775000.0,245625000.0,155300000.0,153125000.0,0.93,0.95,144763000.0,144763000.0,144763000.0,-66000.0,144829000.0,144829000.0,47029000.0,191858000.0,840000.0,1209000.0,-369000.0,691000.0,1060000.0,,-53916000.0,53916000.0,244934000.0,44160000.0,44160000.0,44160000.0,44160000.0,289094000.0,739615000.0,1028709000.0,954747000.0,2023-03-31
1690500.0,0.245,306824000.0,6900000.0,6900000.0,132188000.0,78967000.0,751946000.0,313724000.0,234757000.0,-59476000.0,59476000.0,126978500.0,132188000.0,786867000.0,233501000.0,153132000.0,151233000.0,0.86,0.87,132188000.0,132188000.0,132188000.0,-164000.0,132352000.0,132352000.0,42929000.0,175281000.0,8210000.0,1310000.0,6900000.0,6954000.0,54000.0,0.0,-59476000.0,59476000.0,226547000.0,34921000.0,34921000.0,34921000.0,34921000.0,261468000.0,751946000.0,1013414000.0,942800000.0,2023-06-30
622790.0,0.245,297726000.0,2542000.0,2542000.0,121971000.0,77128000.0,748176000.0,300268000.0,223140000.0,-61512000.0,61512000.0,120051790.0,121971000.0,781389000.0,223012000.0,152289000.0,150630000.0,0.8,0.81,121971000.0,121971000.0,121971000.0,-72000.0,122043000.0,122043000.0,39585000.0,161628000.0,2670000.0,128000.0,2542000.0,2542000.0,,0.0,-61512000.0,61512000.0,220470000.0,33213000.0,33213000.0,33213000.0,33213000.0,253683000.0,748176000.0,1001859000.0,928122000.0,2023-09-30
-85410.517185,0.230217,328717000.0,-371000.0,-371000.0,138395000.0,83964000.0,768234000.0,328346000.0,244382000.0,-64543000.0,64543000.0,138680589.482815,138395000.0,813308000.0,242117000.0,,,,,138395000.0,138395000.0,138395000.0,-42000.0,138437000.0,138437000.0,41402000.0,179839000.0,1894000.0,2265000.0,-371000.0,2356000.0,0.0,2727000.0,-64543000.0,64543000.0,242488000.0,45074000.0,45074000.0,45074000.0,45074000.0,287562000.0,768234000.0,1055796000.0,982348000.0,2023-12-31
