treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_note_receivables,non_current_accounts_receivable,investments_and_advances,other_investments,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,restricted_cash,prepaid_assets,inventory,receivables,taxes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,current_provisions
2148073.0,153940365.0,156088438.0,4189501000.0,4433836000.0,-753407000.0,6054630000.0,-439434000.0,-753407000.0,52397000.0,1673191000.0,5924274000.0,1673423000.0,232000.0,1673191000.0,16538000.0,16538000.0,544384000.0,958329000.0,153940000.0,153940000.0,13392614000.0,12593334000.0,1708969000.0,13670000.0,13670000.0,127662000.0,6408831000.0,5961583000.0,447248000.0,4296397000.0,45314000.0,4251083000.0,37805000.0,799280000.0,137439000.0,7083000.0,130356000.0,90661000.0,39695000.0,198260000.0,463581000.0,269329000.0,23602000.0,194252000.0,16282000.0,1131000.0,177970000.0,15066037000.0,14706191000.0,262836000.0,390018000.0,5910000.0,6821000.0,1402209000.0,5877603000.0,5877603000.0,2426598000.0,481010000.0,1945588000.0,4340106000.0,-2021191000.0,6361297000.0,44044000.0,1017344000.0,702028000.0,2581695000.0,2016186000.0,0.0,359846000.0,17055000.0,10379000.0,5035000.0,31740000.0,103699000.0,7018000.0,96681000.0,-6186000.0,102867000.0,191938000.0,191938000.0,44530000.0,147408000.0,2022-12-31,
4579686.0,151939138.0,156518824.0,4241314000.0,4399145000.0,-326303000.0,6020856000.0,-441285000.0,-326303000.0,,1621711000.0,5949498000.0,1621901000.0,190000.0,1621711000.0,16837000.0,16837000.0,499567000.0,953368000.0,151939000.0,151939000.0,13722011000.0,12954612000.0,2190027000.0,,,,6436798000.0,5992314000.0,444484000.0,4327787000.0,,4327787000.0,,767399000.0,71358000.0,,71358000.0,,,,696041000.0,,,696041000.0,36929000.0,36929000.0,659112000.0,15343912000.0,15017798000.0,1196326000.0,1196326000.0,,,1416722000.0,6135364000.0,6135364000.0,1948014000.0,,1948014000.0,4321372000.0,,4321372000.0,,4321372000.0,,,,,326114000.0,32219000.0,,,35200000.0,100864000.0,,100864000.0,-5112000.0,105976000.0,157831000.0,157831000.0,,,2023-03-31,
5839532.0,150934682.0,156774214.0,4341198000.0,4513714000.0,-313905000.0,6158851000.0,-365417000.0,-313905000.0,,1645137000.0,6097510000.0,1645391000.0,254000.0,1645137000.0,24621000.0,24621000.0,513979000.0,955602000.0,150935000.0,150935000.0,14033170000.0,13344837000.0,2279398000.0,,,,6613066000.0,6159477000.0,453589000.0,4452373000.0,,4452373000.0,,688333000.0,61341000.0,,61341000.0,,,,626992000.0,,,626992000.0,248000.0,248000.0,626744000.0,15678561000.0,15355645000.0,1230891000.0,1230891000.0,,,1445295000.0,6356248000.0,6356248000.0,1959042000.0,,1959042000.0,4364169000.0,,4364169000.0,,4364169000.0,,,,,322916000.0,31789000.0,,,34599000.0,84012000.0,,84012000.0,-4423000.0,88435000.0,172516000.0,172516000.0,,,2023-06-30,
7279482.0,149555188.0,156834670.0,4401469000.0,4574179000.0,-334256000.0,6204610000.0,-259071000.0,-334256000.0,,1630431000.0,6141964000.0,1630695000.0,264000.0,1630431000.0,15326000.0,15326000.0,514811000.0,950739000.0,149555000.0,149555000.0,14052442000.0,13339570000.0,2213011000.0,,,,6615026000.0,6003350000.0,611676000.0,4511533000.0,,4511533000.0,,712872000.0,62646000.0,,62646000.0,,,,650226000.0,,,650226000.0,8469000.0,8469000.0,641757000.0,15683137000.0,15229336000.0,1227196000.0,,,,1470713000.0,6136019000.0,6136019000.0,1964687000.0,,1964687000.0,4430721000.0,,4430721000.0,,4430721000.0,,,,,453801000.0,31631000.0,,,34190000.0,215270000.0,131152000.0,84118000.0,-4224000.0,88342000.0,172710000.0,172710000.0,,,2023-09-30,
1973702.0,146323340.0,148297042.0,4527501000.0,4802890000.0,-921031000.0,6290322000.0,-250814000.0,-921031000.0,53832000.0,1541264000.0,6190419000.0,1541473000.0,209000.0,1541264000.0,24891000.0,24891000.0,432454000.0,937596000.0,146323000.0,146323000.0,14813927000.0,14064827000.0,1954052000.0,13539000.0,,150516000.0,7213786000.0,6374393000.0,638106000.0,4695205000.0,46050000.0,4649155000.0,37729000.0,749100000.0,107685000.0,7782000.0,99903000.0,63341000.0,36562000.0,169164000.0,305359000.0,88056000.0,25632000.0,217303000.0,13951000.0,60000.0,203352000.0,16355400000.0,15857114000.0,289750000.0,413501000.0,7320000.0,8497000.0,1513933000.0,6617220000.0,6617220000.0,2462295000.0,485109000.0,1977186000.0,4551918000.0,-2169111000.0,6721029000.0,46254000.0,1082856000.0,816602000.0,2685867000.0,2089450000.0,0.0,498286000.0,4103000.0,370000.0,18537000.0,33597000.0,220122000.0,122183000.0,97939000.0,-4382000.0,102321000.0,221557000.0,221557000.0,69949000.0,151608000.0,2023-12-31,166892000.0
